PRD_D26383A636BE42F09D6B|스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」|64|2026-05-07 17:19:54.7265
PRD_48B06855BF394BE69706|XY 확장팩 제3탄 「라이징피스트」|9|2026-05-07 17:19:54.095347
PRD_FA31487748A24EAF9EE3|스칼렛&바이올렛 확장팩 「로켓단의 영광」|37|2026-05-07 17:19:52.355106
PRD_B8A7BADF7613420288AC|스칼렛&바이올렛 확장팩 「사이버저지」|30|2026-05-07 17:19:52.030917
PRD_B6A92B9A3823440F8F49|소드&실드 강화 확장팩 「배틀리전」|31|2026-05-07 17:19:51.103556
PRD_8A0B1007C3C94557BB73|썬&문 강화 확장팩 「새로운 시련」|11|2026-05-07 17:19:46.839883
PRD_D59FE8DA38A0461A8AB8|썬&문 강화 확장팩 「페어리라이즈」|9|2026-05-07 17:19:45.967431
PRD_D2B25BD104C94F7CA1E1|BW 확장팩 제8탄 「스파이럴포스」|4|2026-05-07 17:19:44.407651
PRD_595A32AA23664B6ABD92|소드&실드 하이클래스팩 「샤이니스타 V」|56|2026-05-07 17:19:44.37937
PRD_F201E3D7E4F640C7847E|썬&문 확장팩 제5탄 「울트라문」|11|2026-05-07 17:19:41.195619
PRD_D785A25B9DFD4C32AE7C|소드&실드 강화 확장팩 「VMAX라이징」|23|2026-05-07 17:19:41.103359
PRD_7293190A22224C0598D5|스칼렛&바이올렛 강화 확장팩 「나이트원더러」|29|2026-05-07 17:19:38.372042
PRD_3AD5C945B465480BA36C|소드 & 실드 확장팩 「창공스트림」|22|2026-05-03 23:16:04.047835
PRD_B30DFCBCDFBA21BE1C07|미미큐 스페셜 박스 피카츄 프로모|1|2026-04-27 03:42:21.351718
PRD_F44C2F2640AB4792CB65|포켓몬 카드 페스타 피카츄 프로모|1|2026-04-27 03:42:21.351718
PRD_0B188D85E3A44B03D1BA|판초 이브이 프로모 SM-P138|1|2026-04-27 03:42:21.351718
PRD_A25CB6E36FC71EBDA24B|판초 피카츄 프로모 SM-P037|1|2026-04-27 03:42:21.351718
PRD_79D926D3E72B4438C2AB|팀 플라즈마 보스 피카츄 프로모|1|2026-04-27 03:42:21.351718
PRD_E070D0BFD0812AE7FEE1|판초 이브이 프로모 SM-P139|1|2026-04-27 03:42:21.351718
PRD_BCB8045CC957488BB992|소드&실드 확장팩 「마천퍼펙트」|22|2026-04-12 16:38:11.719549
PRD_FDDAB6E1AF8D49E6A224|소드&실드 확장팩 「일격마스터」|22|2026-04-12 16:38:11.71667
PRD_AD7B5C4F802F4D64BE90|소드&실드 확장팩 「연격마스터」|22|2026-04-12 16:38:11.715232
PRD_FC1A7B5927A44298A2A2|소드&실드 확장팩 「실드」|19|2026-04-12 16:38:11.714151
PRD_7CCB63858C7E43A287F2|소드&실드 확장팩 「소드」|21|2026-04-12 16:38:11.712007
PRD_E4286779F3FF4A8DA34F|소드&실드 확장팩 「반역크래시」|29|2026-04-12 16:38:11.707308
PRD_91D480C53D3248F79831|소드&실드 확장팩 「무한존」|26|2026-04-12 16:38:11.704497
PRD_FE54F67A9C114773A9CD|소드&실드 강화 확장팩 「전설의 고동」|20|2026-04-12 16:38:11.695963
PRD_0A7EE93DE4014CF7A4B6|소드 & 실드 강화 확장팩 「전설의 고동」|5|2026-04-12 16:38:11.686939
PRD_32C23D5FA71F45ADB572|소드&실드 확장팩 「앙천의 볼트태클」|30|2026-04-12 14:57:45.515737
PRD_DD94FB8DCB7C4A129478|MEGA 확장팩 「인페르노X」|34|2026-04-11 23:20:59.933706
PRD_6F0F228947EF48919808|MEGA 「스타트 덱 100 배틀컬렉션」|119|2026-04-11 23:20:59.933706
PRD_09C0DF8CCA6444FAA2B7|금단의 빛 발매 기념 이벤트|1|2026-03-26 03:52:23.572937
PRD_C3C1318A75C14510B12A|코리안리그2017-18 SPRING 참가상|1|2026-03-26 03:52:23.017329
PRD_006313F6036040A1AEF9|비크티니 BWR 쟁탈전 프로모 카드 팩|1|2026-03-26 03:37:11.162461
PRD_95C43961AC254D90A5D1|스칼렛&바이올렛 스페셜 세트 「모야모」|1|2026-03-26 03:37:09.577089
PRD_3D485613010C46EF928E|스칼렛&바이올렛 스타트 덱 Generations 스페셜 배틀 세트|2|2026-03-26 03:37:07.773207
PRD_FFB3A5A250584AA28007|스칼렛&바이올렛 스페셜 점보 카드 세트 「피카츄」|1|2026-03-26 03:37:07.752853
PRD_80BF9B42F7984F2CB85A|MEGA 프리미엄 트레이너 박스 MEGA|1|2026-03-26 03:19:34.837256
PRD_86C30C87F04C465BA58C|MEGA 확장팩 「메가심포니아」|30|2026-03-26 03:18:53.732235
PRD_488E92535E424D04B2B5|MEGA 확장팩 「메가브레이브」|29|2026-03-26 03:18:39.663087
PRD_66A71505B24242AD9875|스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」|29|2026-03-26 03:17:32.669299
PRD_93925D420D8A4C74B0D6|스칼렛&바이올렛 스타터 세트 ex 「마리의 모르페코&오롱털 ex」|2|2026-03-26 03:17:20.096049
PRD_EC14FE47676E4D529FD0|스칼렛&바이올렛 확장팩 「배틀파트너즈」|32|2026-03-26 03:16:54.280691
PRD_58FB9039FC3548478196|스칼렛&바이올렛 랜덤 스타트 덱 Generations|17|2026-03-26 03:08:34.37087
PRD_0CC50B878F5F40BAA824|스칼렛&바이올렛 확장팩 「초전브레이커」|32|2026-03-26 03:08:20.737402
PRD_3FAB90CDEC7C43B6A8DF|스칼렛&바이올렛 강화 확장팩 「낙원드래고나」|27|2026-03-26 03:08:02.916585
PRD_980F0BFCCDBB47558BFA|스칼렛&바이올렛 확장팩 「변환의 가면」|32|2026-03-26 03:06:18.059952
PRD_245223BF212C456385F3|스칼렛&바이올렛 확장팩 「미래의 일섬」|32|2026-03-26 02:55:30.875109
PRD_B7309AB1FDF64E4EA6B1|스칼렛&바이올렛 강화 확장팩 「레이징서프」|31|2026-03-26 02:55:00.689448
PRD_514C148400944D8AA72F|스칼렛&바이올렛 확장팩 「스노해저드」|29|2026-03-26 02:52:50.592103
PRD_0C8B6847314E495B9C8E|소드&실드 강화 확장팩 「백열의 아르카나」|26|2026-03-26 02:41:22.21828
PRD_FEBA8CBAF36B40D9850F|소드&실드 강화 확장팩 「Pokémon GO」|29|2026-03-26 02:40:01.488878
PRD_A34AF524E977421D94D7|소드&실드 확장팩 「타임게이저」|26|2026-03-26 02:39:17.864102
PRD_B2ACFB7F8D3D424D8D60|소드&실드 「스타트 덱 100」|60|2026-03-26 02:38:18.226225
PRD_FDF989679F15435DB74E|썬&문 강화 확장팩 「드림리그」|21|2026-03-26 02:03:07.87546
PRD_8F7CD105F639462ABA75|썬&문 강화 확장팩 「리믹스바우트」|8|2026-03-26 02:02:53.0125
PRD_85013CC4B9634E819F22|썬&문 확장팩 제11탄 「미라클트윈」|17|2026-03-26 02:02:39.526678
PRD_3E9DB59EE4A3494BAC2C|썬&문 강화 확장팩 「스카이레전드」|12|2026-03-26 02:02:12.96095
PRD_472A74A595644AAF95EA|썬&문 강화 확장팩 「GG엔드」|12|2026-03-26 02:01:59.573943
PRD_BDAF39161DD0442B99F6|썬&문 확장팩 「더블블레이즈」|16|2026-03-26 02:01:20.800115
PRD_F47B27397A4F495BA9FE|썬&문 강화 확장팩 「풀메탈월」|11|2026-03-26 02:00:49.480936
PRD_B4B304E3BD094584B09E|썬&문 강화 확장팩 「나이트유니슨」|12|2026-03-26 02:00:21.724097
PRD_AFDD781CB39B4FCD9356|썬&문 강화 확장팩 「플라스마 스파크」|4|2026-03-26 01:50:26.116891
PRD_E1C4AAB9A1BC43F5B408|썬&문 강화 확장팩 「GX 배틀부스트 REMASTER」|16|2026-03-26 01:50:13.856476
PRD_D2E62F137D9A44ACBEBC|썬&문 확장팩 제7탄 「창공의 카리스마」|13|2026-03-26 01:49:14.695911
PRD_6FAC8D9AE7E9486E91BC|썬&문 강화 확장팩 「드래곤스톰」|11|2026-03-26 01:48:35.218647
PRD_3FDB16A819514C3C85B3|썬&문 확장팩 제6탄 「금단의 빛」|13|2026-03-26 01:48:22.73927
PRD_0BF9D5EE99F244E7910D|썬&문 강화 확장팩 「울트라포스」|9|2026-03-26 01:48:01.76396
PRD_F6FE8B8F09B645B4BEA7|썬&문 확장팩 제5탄 「울트라썬」|11|2026-03-26 01:47:32.443452
PRD_5DB928790C7E449C8459|썬&문 강화 확장팩 「GX 배틀부스트」|7|2026-03-26 01:38:45.075518
PRD_308E1F33050B4777988E|썬&문 확장팩 제4탄 「각성의 용사」|5|2026-03-26 01:38:11.939022
PRD_F59042429A0444D3B06F|썬&문 강화 확장팩 「빛나는 전설」|16|2026-03-26 01:37:58.356868
PRD_CF155EC649AE400EB0D1|썬&문 확장팩 제3탄 「빛을 삼킨 어둠」|8|2026-03-26 01:37:44.180272
PRD_B037DA2FF59847768F3C|썬&문 확장팩 제2탄 「알로라의 달빛」|6|2026-03-26 01:36:45.170719
