card_id,scope,era,rarity,coef_type,coef,sample_count
CRD_24D79E9DD4E24DDFB538,CARD,,AR,BLEND,0.242952,6
CRD_24D79E9DD4E24DDFB538,CARD,,AR,JP,0.417713,6
CRD_24D79E9DD4E24DDFB538,CARD,,AR,EN,0.171289,6
CRD_43BC0926ACC14BDDAA6B,CARD,,SAR,BLEND,0.244051,7
CRD_43BC0926ACC14BDDAA6B,CARD,,SAR,JP,0.342470,7
CRD_43BC0926ACC14BDDAA6B,CARD,,SAR,EN,0.189572,7
CRD_95C332448C1748B0AA30,CARD,,SAR,BLEND,0.193593,5
CRD_95C332448C1748B0AA30,CARD,,SAR,JP,0.327000,5
CRD_95C332448C1748B0AA30,CARD,,SAR,EN,0.135435,5
,RARITY,,SAR,BLEND,0.276637,293
,RARITY,,SAR,JP,0.376892,291
,RARITY,,SAR,EN,0.235575,293
,RARITY,,RR,BLEND,0.121165,12
,RARITY,,RR,JP,0.228936,13
,RARITY,,RR,EN,0.142428,16
,RARITY,,UR,BLEND,0.360637,37
,RARITY,,UR,JP,0.491811,40
,RARITY,,UR,EN,0.304667,38
,RARITY,,MUR,JP,0.487134,12
,RARITY,,MUR,EN,0.547094,10
,RARITY,,SR,BLEND,0.489283,121
,RARITY,,SR,JP,0.388629,128
,RARITY,,SR,EN,0.658096,123
,RARITY,,PR,JP,0.085544,49
,RARITY,,AR,BLEND,0.369643,78
,RARITY,,AR,JP,0.535789,77
,RARITY,,AR,EN,0.366732,100
,RARITY,,HR,BLEND,0.435609,11
,RARITY,,HR,JP,0.432255,12
,RARITY,,HR,EN,0.357836,11
,RARITY,,S,JP,1.120000,10
,RARITY,,BWR,BLEND,0.277199,21
,RARITY,,BWR,JP,0.371918,21
,RARITY,,BWR,EN,0.214404,21
,RARITY,,MA,BLEND,0.228275,15
,RARITY,,MA,JP,0.256562,14
,RARITY,,MA,EN,0.228823,15
,RARITY,,CHR,BLEND,1.120000,12
,RARITY,,CHR,JP,1.120000,12
,RARITY,,CHR,EN,1.031360,12
