CRD_E5D6561E00FA4E9D92EC|저리릴|1640
CRD_1019C2CFB1EE47139FD8|찌리배리|900
CRD_16D569A705C64B95885E|M얼음귀신 EX|4284
CRD_16E2995DF023409E852F|강철톤 EX|1650
CRD_17C83FF85F944764957F|과미르|1280
CRD_187E76533B5540179493|지가르데 GX|1920
CRD_1D61B56A81F04560A587|염뉴트 ex|140
CRD_1E093F6900FF4470B84E|카푸나비나 GX|2406
CRD_1ED4DECEA3A14B6C81A6|갱도라|870
CRD_1F45F12DC0264E98B4E1|메가눈여아 ex|14160
CRD_1CCD9CD035A348629CD9|갸라도스 VMAX|16640
CRD_1EE8B7BE600043EF8C97|피죤투 ex|680
CRD_1D12B07C82D340E9AC74|포켓몬놀이|4782
CRD_203E701EC38E4E9A8ECE|일격 우라오스 VMAX|4899
CRD_20F5210F50C6418AB471|네르케|8400
CRD_04E7F61A130E41B8AE30|메가지가르데 ex|3422
CRD_20E1890D79D254945C3E00F70560A986|스카루단 고꼬 피카츄|5309380
CRD_231D861950D2482F92C0|아머까오 V|2937
CRD_39C73BE28BA84C03307F1717CAA31C9E|루이지 피카츄 (296)|
CRD_228710100B794B3B940D|팬텀&따라큐 GX|200461
CRD_22C99839A70742369E3E|일목|3876
CRD_2332E667E081490D836A|메가앱솔 ex|14430
CRD_22E4A9137EB24D9A80C6|아마루르가|1080
CRD_0F8A51DF3CF3497BAD9D|모험가의 발견|1158
CRD_16E335392D60451C9EA2|샤크니아 EX|2020
CRD_210F30877AE44F18910C|우락고래|750
CRD_21AFED71CBC5406A8145|개굴닌자 GX|3850
CRD_2301905FC60B4E48B82C|아머까오 V|310
CRD_21BD8B5DBB024A8FBC30|아머까오 VMAX|650
CRD_2202D899B2514A12A3B3|싸리용 ex|150
CRD_2208E78703C9455EA45A|N의 조로아|2240
CRD_235AEB6FAEA54083A5AF|무쇠암석 ex|140
CRD_2363D7E348AC45C3AD5C|카푸꼬꼬꼭 GX|1114
CRD_27BABDECB2404E3D873F|리자몽 V|8880
CRD_24141283AF4D42638547|볼가이|1724
CRD_23872FA0E5334B128E5A|파이어로 V|280
CRD_D07DE78E55D4229AB02C|라티아스&라티오스 GX|8510
CRD_238DFF5330E44802A6A3|푸크린 ex|100
CRD_238E85F07B63450BB517|무쇠손 ex|6690
CRD_24EBBFED607C41D7B562|조로아|2510
CRD_25B8055B794A45B99714|메가아쿠스타 ex|220
CRD_24845E4BD72A47AAA490|라티오스 EX|3710
CRD_254CCBD76DFA46BDB30B|스이쿤 V|240
CRD_2570702FE3854423A069|무쇠바퀴 ex|90
CRD_25C4E5DDBD5348CBACD3|윽우지 V|2363
CRD_25D1A6018B5A4A0AA38C|마스터드 일격의 태세|1832
CRD_1F0C27DC82064235A11C|글레이시아 VMAX|2460
CRD_093AB925F0C14BB1BFF6|글레이시아 VMAX|52500
