CRD_080B6E0862C44602A883,890,RAW,VALID
CRD_0810CE32B1AB400B95BA,4907,RAW,VALID
CRD_08208815CA6B42DFB7C7,1243,RAW,VALID
CRD_0822CD02EBF4BC46E659,58109,RAW,VALID
CRD_08372C116D1A44CE82AB,510,RAW,VALID
CRD_0839A3235BFC40C7A767,10206,RAW,VALID
CRD_088D2EC7F19046DCB5F5,147,RAW,VALID
CRD_088EFCFA66FD4762A236,76258,RAW,VALID
CRD_08B2DC8AD0B04FF58A33,1000,RAW,VALID
CRD_08BB039F0F51499BA059,8530,RAW,VALID
CRD_08D8EFD7132A4E838F53,576,RAW,VALID
CRD_08E2001528D84351A367,381,RAW,VALID
CRD_090216855FE241EFB18B,21026,RAW,VALID
CRD_0902F4E6CC9047A98559,4272,RAW,VALID
CRD_090C5C6FE6B34BC0A9E7,17067,RAW,VALID
CRD_0913C93AC0DD43E58008,7127,RAW,VALID
CRD_0916BCC640C24E4088BB,4290,RAW,VALID
CRD_091DC06176614517B5E1,26765,RAW,VALID
CRD_092D58F7609842FEA757,930,RAW,VALID
CRD_093AB925F0C14BB1BFF6,58730,RAW,VALID
CRD_093C06DA9ACB4816A395,2840,RAW,VALID
CRD_093F671F8D0F4F349B81,1310,RAW,VALID
CRD_09516DD8E2C14A009B0E,2711,RAW,VALID
CRD_095AFC71458E492189E1,900,RAW,VALID
CRD_096403B193C94990A6F0,17992,RAW,VALID
CRD_0989252EF29D4FAB9599,4610,RAW,VALID
CRD_098C383D6CBC4015A438,580,RAW,VALID
CRD_09A1CB4E6B9E4002ACA2,2330,RAW,VALID
CRD_09AAD6A024434832A88A,7618,RAW,VALID
CRD_09BE4064BBF541EE8222,1577,RAW,VALID
CRD_09EFFE8F5F8C4A58A5DD,1062,RAW,VALID
CRD_0A08B2E2AE7D46908548,940,RAW,VALID
CRD_0A1D6B89377D433F8DC2,2052,RAW,VALID
CRD_0A4BC771BE0743608661,11872,RAW,VALID
CRD_0A536D17231946EBBE81,9580,RAW,VALID
CRD_0A903CAA6FAE43DA81D3,9880,RAW,VALID
CRD_0A986E45BB20474CB2BF,157,RAW,VALID
CRD_0AB4A2D2E3654FD69744,2618,RAW,VALID
CRD_0AC16029AD564BF68326,1242,RAW,VALID
CRD_0AD03EC9544B43B4AF4F,828,RAW,VALID
CRD_0AD2B95BE4924784A6C4,1990,RAW,VALID
CRD_0AF83E61B4874FECB22C,3710,RAW,VALID
CRD_0B145711AB734536AD63,3890,RAW,VALID
CRD_0B17CA38B6334F20B964,401,RAW,VALID
CRD_0B188D85E3A44B03D1BA,1231100,RAW,VALID
CRD_0B22E2A33CB14A99888F,960,RAW,VALID
CRD_0B59EFE11F824CC29403,264,RAW,VALID
CRD_0B59FFD0541D47B4BE4A,2720,RAW,VALID
CRD_0B5E6A47F7A34237A44A,2980,RAW,VALID
CRD_0B802D98F17B44E8B194,1798,RAW,VALID
