code,ko_name,ko_set,rarity,ko_no,type,jp_ref,score,match_prod,match_cid
BS2024004089,날뛰는우레 ex,스칼렛&바이올렛 확장팩 「와일드포스」,SR,089,기본 포켓몬 ex,sv5k_ja-89,0.474,미라이돈 ex,CRD_DBE064C8AC1C4B42B193
BS2024004095,날뛰는우레 ex,스칼렛&바이올렛 확장팩 「와일드포스」,SAR,095,기본 포켓몬 ex,sv5k_ja-95,0.478,우렁찬꼬리,CRD_ABBEF153A31344B5ACCA
BS2024004100,날뛰는우레 ex,스칼렛&바이올렛 확장팩 「와일드포스」,UR,100,기본 포켓몬 ex,sv5k_ja-100,0.586,샤로다 VSTAR,CRD_CE735FF66AA14F35A904
BS2024007076,대코파스,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,AR,076,1진화 포켓몬,sv5a_ja-76,0.518,동탁군,CRD_E1816DF5DFB04C90965B
BS2024008113,럭키,스칼렛&바이올렛 확장팩 「변환의 가면」,AR,113,기본 포켓몬,sv6_ja-113,0.476,모야모의 찌리배리 ex,CRD_7C97C49AAB974ED1A3A3
BS2024011076,이븐곰,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,AR,076,1진화 포켓몬,sv6a_ja-76,0.568,이븐곰 GX,CRD_96FACEB498654D5F9837
BS2024016081,알로라 나시 ex,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,SR,081,1진화 포켓몬,sv7a_ja-81,0.682,키키링 ex,CRD_0EDD68B570E1472FB48A
BS2024016089,알로라 나시 ex,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,SAR,089,1진화 포켓몬,sv7a_ja-89,0.49,블래키 ex,CRD_5094F85922274E7CAC3C
BS2024016092,알로라 나시 ex,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,UR,092,1진화 포켓몬,sv7a_ja-92,0.667,삼삼드래 ex,CRD_B6DCDD8B172E42A098BE
BS2024017112,레어코일,스칼렛&바이올렛 확장팩 「초전브레이커」,AR,112,1진화 포켓몬,sv8_ja-112,0.47,싸리용 ex,CRD_2202D899B2514A12A3B3
BS2024019022,부스터 ex,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,RR,022,1진화 포켓몬,sv8a_ja-22,0.748,피카츄 ex,CRD_3C56BFC81EEB4EE89BB1
BS2024019222,날뛰는우레 ex,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,SAR,222,기본 포켓몬 ex,sv8a_ja-222,0.626,테오키스 VSTAR,CRD_BD23A2FE3D6140978DFB
BS2023001013,리자몽 V,소드&실드 하이클래스팩 「VSTAR 유니버스」,RR,013,기본 포켓몬,swsh12a_ja-13,0.563,리자몽 GX,CRD_68C455E4A71E4DBA86E7
BS2023001020,바오키 V,소드&실드 하이클래스팩 「VSTAR 유니버스」,RR,020,기본 포켓몬,swsh12a_ja-20,0.598,비버니,CRD_8710D86E084B46B1A83E
BS2023001107,레쿠쟈 V,소드&실드 하이클래스팩 「VSTAR 유니버스」,RR,107,기본 포켓몬,swshp_ja-3,0.546,석탄산 VMAX,CRD_909F8823101A4097BD2D
BS2023001130,하랑우탄 V,소드&실드 하이클래스팩 「VSTAR 유니버스」,RR,130,기본 포켓몬,swsh12a_ja-130,0.426,하랑우탄,CRD_C69B5517FEEB4D75832B
BS2023001229,히스이 대검귀 V,소드&실드 하이클래스팩 「VSTAR 유니버스」,SAR,229,기본 포켓몬,swsh12a_ja-229,0.509,팽도리,CRD_5D857A6DB3B4475CAD61
BS2023007089,떨구새,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,AR,089,기본 포켓몬,sv1v_ja-89,0.531,유토브,CRD_811F41C997424C4799EC
BS2023010075,나오하,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,AR,075,기본 포켓몬,sv1a_ja-75,0.615,빠모,CRD_D8CA3FC24E11442D97E0
BS2023011089,시비꼬 ex,스칼렛&바이올렛 확장팩 「스노해저드」,SR,089,기본 포켓몬,sv2p_ja-89,0.63,윽우지 V,CRD_25C4E5DDBD5348CBACD3
BS2023011094,시비꼬 ex,스칼렛&바이올렛 확장팩 「스노해저드」,SAR,094,기본 포켓몬,sv2p_ja-94,0.698,뮤 ex,CRD_828E8D059DF7414D891B
BS2023012080,태깅구르,스칼렛&바이올렛 확장팩 「클레이버스트」,AR,080,1진화 포켓몬,sv2d_ja-80,0.566,글라디오의 결전,CRD_873556EEE0BA8B3B376D
BS2023015127,부르르룸 ex,스칼렛&바이올렛 확장팩 「흑염의 지배자」,SR,127,1진화 포켓몬,sv3_ja-127,0.483,킬가르도 ex,CRD_6E9405D59DA14754A6EE
BS2023015135,부르르룸 ex,스칼렛&바이올렛 확장팩 「흑염의 지배자」,SAR,135,1진화 포켓몬,sv3_ja-135,0.415,조로아,CRD_24EBBFED607C41D7B562
BS2023020079,타부자고 ex,스칼렛&바이올렛 강화 확장팩 「레이징서프」,SR,079,1진화 포켓몬,sv3a_ja-79,0.533,트래피더 ex,CRD_AA42D1C0CC194B35AB8C
BS2023020087,타부자고 ex,스칼렛&바이올렛 강화 확장팩 「레이징서프」,SAR,087,1진화 포켓몬,sv3a_ja-87,0.53,지우의 피카츄,CRD_2165621DAD614A36A40F
BS2023021072,비조도,스칼렛&바이올렛 확장팩 「고대의 포효」,AR,072,1진화 포켓몬,sv4k_ja-72,0.579,히스이 포푸니크 V,CRD_9F8E15C89ACC4214A5CF
BS2023021075,더스트나,스칼렛&바이올렛 확장팩 「고대의 포효」,AR,075,1진화 포켓몬,sv4k_ja-75,0.585,어리짱,CRD_6622C5C878F244828DA2
BS2023022077,폴리곤Z,스칼렛&바이올렛 확장팩 「미래의 일섬」,AR,077,2진화 포켓몬,sv4m_ja-77,0.569,노고치,CRD_02610BA308E64C70A526
BS2022001120,레쿠쟈 VMAX,소드&실드 하이클래스팩 「VMAX 클라이맥스」,RRR,120,V진화,swsh8b_ja-120,0.711,레쿠쟈 VMAX,CRD_C0490A67B50C41B78069
