officialCardCode,name,rarityCode,collectionNumber,productId,_ko_set_name,jpScrydexRef,enScrydexRef,superType,type
BS2023015135,부르르룸 ex,SAR,135,PRD_C017B01380CF490A9480,스칼렛&바이올렛 확장팩 「흑염의 지배자」,sv3_ja-135,,POKEMON,KO
BS2023020079,타부자고 ex,SR,079,PRD_B7309AB1FDF64E4EA6B1,스칼렛&바이올렛 강화 확장팩 「레이징서프」,sv3a_ja-79,,POKEMON,KO
BS2023020087,타부자고 ex,SAR,087,PRD_B7309AB1FDF64E4EA6B1,스칼렛&바이올렛 강화 확장팩 「레이징서프」,sv3a_ja-87,,POKEMON,KO
BS2023021072,비조도,AR,072,PRD_8E32996A2E964C128DBF,스칼렛&바이올렛 확장팩 「고대의 포효」,sv4k_ja-72,sv4-97,POKEMON,KO
BS2023021075,더스트나,AR,075,PRD_8E32996A2E964C128DBF,스칼렛&바이올렛 확장팩 「고대의 포효」,sv4k_ja-75,,POKEMON,KO
BS2023022077,폴리곤Z,AR,077,PRD_245223BF212C456385F3,스칼렛&바이올렛 확장팩 「미래의 일섬」,sv4m_ja-77,,POKEMON,KO
BS2022001120,레쿠쟈 VMAX,RRR,120,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-120,,POKEMON,KO
BS2022001123,두랄루돈 VMAX,RRR,123,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-123,,POKEMON,KO
BS2022001196,가디안,CHR,196,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-196,,POKEMON,KO
BS2022001198,야느와르몽,CHR,198,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-198,,POKEMON,KO
BS2022001201,마휘핑,CHR,201,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-201,,POKEMON,KO
BS2022001237,가라르 썬더 V,CSR,237,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-237,,POKEMON,KO
BS2022001251,자마젠타 V,CSR,251,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-251,,POKEMON,KO
BS2022001253,두랄루돈 VMAX,CSR,253,PRD_767E549F894445C98D52,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-253,,POKEMON,KO
BS2022002050,엘풍 VSTAR,RRR,050,PRD_FA60964DC9AC4C999AC2,소드&실드 확장팩 「스타버스」,swsh9_ja-50,,POKEMON,KO
BS2022004123,히스이 대검귀 V,SR,078,PRD_B6A92B9A3823440F8F49,소드&실드 강화 확장팩 「배틀리전」,swsh9a_ja-78,,POKEMON,KO
BS2022007071,지라치 V,SR,071,PRD_A34AF524E977421D94D7,소드&실드 확장팩 「타임게이저」,swsh10d_ja-71,,POKEMON,KO
BS2022008076,하랑우탄 V,SR,076,PRD_7DF9CF9792C3451BBA08,소드&실드 확장팩 「스페이스 저글러」,swsh10p_ja-76,,POKEMON,KO
BS2022011129,러브로스 V,SR,080,PRD_554AB5D7D5A440D0AA2A,소드&실드 강화 확장팩 「다크판타스마」,swsh10a_ja-80,,POKEMON,KO
BS2022011137,러브로스 V,CSR,088,PRD_554AB5D7D5A440D0AA2A,소드&실드 강화 확장팩 「다크판타스마」,swsh10a_ja-88,,POKEMON,KO
BS2022014102,로토무 V,SR,103,PRD_D85C098E2C3449848167,소드&실드 확장팩 「로스트어비스」,swsh11_ja-103,,POKEMON,KO
BS2022014103,로토무 V,SR,104,PRD_D85C098E2C3449848167,소드&실드 확장팩 「로스트어비스」,swsh11_ja-104,,POKEMON,KO
BS2022016073,루브도,CHR,073,PRD_0C8B6847314E495B9C8E,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-73,,POKEMON,KO
