code,ko_name,rarity,jp_ref,score,match_prod_name,match_cid
BS2023015135,부르르룸 ex,SAR,sv3_ja-135,0.415,조로아,CRD_24EBBFED607C41D7B562
BS2023020050,타부자고 ex,RR,,0.541,벰크 BREAK,CRD_93D36BC983F24BABBFD1
BS2023020079,타부자고 ex,SR,sv3a_ja-79,0.533,트래피더 ex,CRD_AA42D1C0CC194B35AB8C
BS2023020087,타부자고 ex,SAR,sv3a_ja-87,0.53,지우의 피카츄,CRD_2165621DAD614A36A40F
BS2023021072,비조도,AR,sv4k_ja-72,0.579,히스이 포푸니크 V,CRD_9F8E15C89ACC4214A5CF
BS2023021075,더스트나,AR,sv4k_ja-75,0.585,어리짱,CRD_6622C5C878F244828DA2
BS2023022077,폴리곤Z,AR,sv4m_ja-77,0.569,노고치,CRD_02610BA308E64C70A526
BS2022001084,가라르 썬더 V,RR,,0.538,꿰뚫는화염 ex,CRD_69A3E53625B647AE962F
BS2022001118,자마젠타 V,RR,,0.716,자마젠타 V,CRD_66B86CAACE834BA39882
BS2022001119,레쿠쟈 V,RR,,0.549,석탄산 VMAX,CRD_909F8823101A4097BD2D
BS2022001120,레쿠쟈 VMAX,RRR,swsh8b_ja-120,0.711,레쿠쟈 VMAX,CRD_C0490A67B50C41B78069
BS2022001123,두랄루돈 VMAX,RRR,swsh8b_ja-123,0.692,두랄루돈 VMAX,CRD_1A87BECFAC1647F98FBC
BS2022001196,가디안,CHR,swsh8b_ja-196,0.522,차데스,CRD_F72303775E8749409E5B
BS2022001198,야느와르몽,CHR,swsh8b_ja-198,0.492,무쇠손 ex,CRD_E199C322E0DF4D0A881B
BS2022001201,마휘핑,CHR,swsh8b_ja-201,0.51,마이농,CRD_0A536D17231946EBBE81
BS2022001237,가라르 썬더 V,CSR,swsh8b_ja-237,0.635,번치코,CRD_F28F173457F54FE4BE06
BS2022001251,자마젠타 V,CSR,swsh8b_ja-251,0.689,자마젠타 V,CRD_2A1A9C89BB3947378F7C
BS2022001253,두랄루돈 VMAX,CSR,swsh8b_ja-253,0.663,두랄루돈 VMAX,CRD_1A87BECFAC1647F98FBC
BS2022002014,리자몽 V,RR,swsh9_ja-14,0.557,다태우지네 V,CRD_97AC02D307514BA797A4
BS2022002050,엘풍 VSTAR,RRR,swsh9_ja-50,0.66,레지기가스 VSTAR,CRD_B13EADBBACFC415DBE7D
BS2022002064,돈크로우 V,RR,swsh9_ja-64,0.53,히스이 모크나이퍼 V,CRD_BCA5D115D41A4E2A875F
BS2022002116,해당의 백업,SR,,0.596,아크로마플라스마단,CRD_4CCBCECB375543B99CEB
BS2022002124,해당의 백업,HR,,0.727,박사의 연구(매그놀리아박사),CRD_E4D0E0A32E434B4396AD
BS2022004085,히스이 대검귀 V,RR,,0.562,스이쿤 V,CRD_22F914B318E7499997AE
BS2022004123,히스이 대검귀 V,SR,swsh9a_ja-78,0.459,가비루사,CRD_8ACEB76FEF1F4466B0B9
BS2022007025,지라치 V,RR,,0.691,지라치 EX,CRD_5EE6DC9AFBE242028F0F
BS2022008058,하랑우탄 V,RR,,0.428,하랑우탄,CRD_C69B5517FEEB4D75832B
BS2022008076,하랑우탄 V,SR,swsh10p_ja-76,0.626,루가루암 VMAX,CRD_7287BB47FFDE4919A94C
BS2022011053,러브로스 V,RR,,0.536,히스이 조로아크 V,CRD_31C58C5A3B144203BD03
BS2022011129,러브로스 V,SR,swsh10a_ja-80,0.375,에이스번 ex,CRD_A497F0378C1349F19C8B
BS2022011137,러브로스 V,CSR,swsh10a_ja-88,0.606,아세로라의 장난,CRD_3392C238DFEC4357BA88
BS2022014037,로토무 V,RR,,0.562,비크티니 VMAX,CRD_457C08948A2D49189AA1
BS2022014102,로토무 V,SR,swsh11_ja-103,0.44,아쿠스타 V,CRD_882A64CAAD1048D2BE8D
BS2022014103,로토무 V,SR,swsh11_ja-104,0.492,로켓단의 나옹,CRD_218DB829F1974CEA95DF
BS2022016015,레시라무 V,RR,,0.737,레시라무 GX,CRD_DFA86BCCB5434D858268
BS2022016051,마기아나 V,RR,,0.662,마기아나 EX,CRD_9E959C4AF6BA480FA670
BS2022016055,칠색조 V,RR,,0.625,칠색조 EX,CRD_21362825A5DE48988411
BS2022016073,루브도,CHR,swsh11a_ja-73,0.44,메가디안시 ex,CRD_59D948D23D9B4A8997F2
BS2022016076,레시라무 V,SR,swsh11a_ja-76,0.713,레시라무 ex,CRD_3F605DD9C57145F4A405
BS2022016079,마기아나 V,SR,swsh11a_ja-79,0.64,마기아나 EX,CRD_9E959C4AF6BA480FA670
BS2022016080,칠색조 V,SR,swsh11a_ja-80,0.73,심향의 칠색조 ex,CRD_5B85A98483504BD2B701
BS2021002075,네크로즈마 V,SR,swsh5r_ja-75,0.698,무한다이노 VMAX,CRD_9A16B5CDB26D4457BDC6
BS2021003037,가라르 썬더 V,RR,,0.538,꿰뚫는화염 ex,CRD_69A3E53625B647AE962F
BS2021004047,레파르다스 V,RR,swsh6h_ja-77,0.501,갸라도스 GX,CRD_64C02283DD0E49BEA124
BS2021004077,레파르다스 V,SR,swsh6h_ja-77,0.513,스트린더 V,CRD_4F48AF7F7CD84E0EA0B1
BS2021011031,더스트나 VMAX,RRR,swsh7d_ja-31,0.591,모르페코 VMAX,CRD_7E8265C1D8B44E03910F
BS2021012015,불카모스 V,RR,,0.491,불카모스 GX,CRD_3B28179308924FD388CA
BS2021012046,레쿠쟈 V,RR,,0.553,석탄산 VMAX,CRD_909F8823101A4097BD2D
BS2021015019,자마젠타 V,RR,,0.572,자마젠타 V,CRD_0C0972C263B343A4BB0D
BS2021015020,피카츄 V,RR,,0.606,피카츄 V,CRD_F2B2E546E51145C0BB3F
BS2021015021,공중날기 피카츄 V,RR,,0.452,파비코,CRD_3B37F7C8EEF44621A6E1
BS2021015022,공중날기 피카츄 VMAX,RRR,swsh8a_ja-22,0.542,피카츄 VMAX,CRD_43A31E18194141E18BFC
BS2021015023,파도타기 피카츄 V,RR,,0.505,조타구 ex,CRD_40E593A0BF374678B1E8
BS2021015024,파도타기 피카츄 VMAX,RRR,swsh8a_ja-24,0.737,피카츄 VMAX,CRD_E7759AA33E7B4CA9AE03
BS2021018015,샹델라 VMAX,RRR,swsh8_ja-15,0.691,샹델라 V,CRD_0B17CA38B6334F20B964
BS2020003044,자마젠타 V,RR,,0.716,자마젠타 V,CRD_66B86CAACE834BA39882
BS2020003065,자마젠타 V,SR,swsh1h_ja-65,0.683,자마젠타 V,CRD_2A1A9C89BB3947378F7C
BS2020011066,핫삼 V,RR,,0.627,핫삼 ex,CRD_84F100B202834C6DAE3B
BS2020012013,자루도 V,RR,,0.65,날개치는머리,CRD_DD0DF5ACA37B41DF8B8C
BS2020012077,자루도 V,SR,swsh3a_ja-77,0.648,히스이 윈디 V,CRD_99B80601C8BF404186BC
BS2020014107,드래피온 V,SR,swsh4_ja-107,0.53,드래피온 VSTAR,CRD_9F777E2B3AF448D78288
BS2020016139,자마젠타 V,RR,,0.668,자마젠타 V,CRD_66B86CAACE834BA39882
BS2020016140,메타몽 V,RR,,0.49,고래왕 V,CRD_3F2D5876782D4E44B4B3
