code,series,product_id,product_status,ko_name,collection_no,rarity,super_type,sub_type,jp_ref,en_ref,ko_img,jp_img,en_img,reviewer_decision,review_source_version,card_id
BS2025006099,sv10_ja,PRD_FA31487748A24EAF9EE3,OK,로켓단의 트래피더,099,AR,POKEMON,STAGE1,sv10_ja-99,sv10-187,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_099.png?w=512,https://images.scrydex.com/pokemon/sv10_ja-99/medium,https://images.scrydex.com/pokemon/sv10-187/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_3D2652A213CB1E4217EF
BS2025007103,sv11b_ja,PRD_D52A4B350D2344119847,OK,활화르바,103,AR,POKEMON,BASIC,sv11b_ja-103,zsv10pt5-99,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_103.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-103/medium,https://images.scrydex.com/pokemon/zsv10pt5-99/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_A0F5DC7A82F213F8B17D
BS2025007111,sv11b_ja,PRD_D52A4B350D2344119847,OK,늑골라,111,AR,POKEMON,STAGE2,sv11b_ja-111,zsv10pt5-107,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_111.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-111/medium,https://images.scrydex.com/pokemon/zsv10pt5-107/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_06BED8DCDED386D09CC6
BS2025007150,sv11b_ja,PRD_D52A4B350D2344119847,OK,터검니,150,AR,POKEMON,BASIC,sv11b_ja-150,zsv10pt5-145,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_150.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-150/medium,https://images.scrydex.com/pokemon/zsv10pt5-145/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_5DA33B32A229766D5250
BS2025008155,sv11w_ja,PRD_53034524E98C4FE8BF8D,OK,바랜드,155,AR,POKEMON,STAGE2,sv11w_ja-155,rsv10pt5-156,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_155.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-155/medium,https://images.scrydex.com/pokemon/rsv10pt5-156/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_C57281C7453720B73003
BS2025008162,sv11w_ja,PRD_53034524E98C4FE8BF8D,OK,탱탱겔 ex,162,SR,POKEMON,STAGE1,sv11w_ja-162,rsv10pt5-160,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_162.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-162/medium,https://images.scrydex.com/pokemon/rsv10pt5-160/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_6A84D927543336D14029
BS2025008170,sv11w_ja,PRD_53034524E98C4FE8BF8D,OK,탱탱겔 ex,170,SAR,POKEMON,STAGE1,sv11w_ja-170,rsv10pt5-168,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_170.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-170/medium,https://images.scrydex.com/pokemon/rsv10pt5-168/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_A52ADAD23735C0E3C95C
BS2025009074,m1l_ja,PRD_488E92535E424D04B2B5,OK,깨비참,074,AR,POKEMON,BASIC,m1l_ja-74,me1-151,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_074.png?w=512,https://images.scrydex.com/pokemon/m1l_ja-74/medium,https://images.scrydex.com/pokemon/me1-151/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_E40D332726F7EBC2B3EE
BS2025014096,m2_ja,PRD_DD94FB8DCB7C4A129478,OK,로토무 ex,096,SR,POKEMON,BASIC,m2_ja-96,me2-111,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M2/M2_096.png?w=512,https://images.scrydex.com/pokemon/m2_ja-96/medium,https://images.scrydex.com/pokemon/me2-111/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_4875AEF7FE12F4A51EE9
BS2025014112,m2_ja,PRD_DD94FB8DCB7C4A129478,OK,로토무 ex,112,SAR,POKEMON,BASIC,m2_ja-112,me2-126,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M2/M2_112.png?w=512,https://images.scrydex.com/pokemon/m2_ja-112/medium,https://images.scrydex.com/pokemon/me2-126/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_A1B443C34FF56366CC4F
BS2024001337,sv4a_ja,PRD_219AD0EF77CA4165AD0F,OK,시비꼬 ex,337,SSR,POKEMON,BASIC,sv4a_ja-337,sv4pt5-223,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4a/SV4a_337.png?w=512,https://images.scrydex.com/pokemon/sv4a_ja-337/medium,https://images.scrydex.com/pokemon/sv4pt5-223/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_38F85DABEF2F6DCF83A5
BS2024004082,sv5k_ja,PRD_171222A74859484783EB,RESOLVED_BY_SETNAME,치라미,082,AR,POKEMON,BASIC,sv5k_ja-82,sv5-182,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_082.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-82/medium,https://images.scrydex.com/pokemon/sv5-182/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_8F7ADD803D0EF37D818A
BS2024004083,sv5k_ja,PRD_171222A74859484783EB,RESOLVED_BY_SETNAME,치라치노,083,AR,POKEMON,STAGE1,sv5k_ja-83,sv5-183,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_083.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-83/medium,https://images.scrydex.com/pokemon/sv5-183/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_5D24108CE9A30C619201
BS2024004089,sv5k_ja,PRD_171222A74859484783EB,RESOLVED_BY_SETNAME,날뛰는우레 ex,089,SR,POKEMON,BASIC,sv5k_ja-89,sv5-196,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_089.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-89/medium,https://images.scrydex.com/pokemon/sv5-196/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_02A04C78DFA5C2D39430
BS2024004095,sv5k_ja,PRD_171222A74859484783EB,RESOLVED_BY_SETNAME,날뛰는우레 ex,095,SAR,POKEMON,BASIC,sv5k_ja-95,sv5-208,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5K/SV5K_095.png?w=512,https://images.scrydex.com/pokemon/sv5k_ja-95/medium,https://images.scrydex.com/pokemon/sv5-208/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_114D84429B6042BA1484
BS2024007076,sv5a_ja,PRD_965FA5E5CD004C97AE74,RESOLVED_BY_SETNAME,대코파스,076,AR,POKEMON,STAGE1,sv5a_ja-76,sv6-182,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5a/SV5a_076.png?w=512,https://images.scrydex.com/pokemon/sv5a_ja-76/medium,https://images.scrydex.com/pokemon/sv6-182/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_943E565364AF4EFD1086
BS2024008113,sv6_ja,PRD_980F0BFCCDBB47558BFA,OK,럭키,113,AR,POKEMON,BASIC,sv6_ja-113,sv6-187,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6/SV6_113.png?w=512,https://images.scrydex.com/pokemon/sv6_ja-113/medium,https://images.scrydex.com/pokemon/sv6-187/medium,approve,v9(jp_match_preview+crosslang_sims),CRD_C0B2871F43DE5625581F
