code,ko_name,rarity,ko_no,ko_set,jp_ref,series
BS2025015229,메가루차불 ex,MA,229,MEGA 하이클래스팩 「MEGA 드림 ex」,m2a_ja-229,m2a_ja
BS2021012047,레쿠쟈 VMAX,RRR,047,소드 & 실드   확장팩   「창공스트림」,swsh7r_ja-47,swsh7r_ja
