series,ko_set,ko_name,ko_rarity,ko_no,type,jp_ref,jp_status,code
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,오거폰 벽록의 가면 ex,RR,017,기본 포켓몬,,NEEDS_MATCH,BS2025015017
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,모야모의 찌리배리 ex,RR,057,1진화 포켓몬,,NEEDS_MATCH,BS2025015057
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,릴리에의 삐삐 ex,RR,060,기본 포켓몬,,NEEDS_MATCH,BS2025015060
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,난천의 한카리아스 ex,RR,090,2진화 포켓몬,,NEEDS_MATCH,BS2025015090
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,로켓단의 크로뱃 ex,RR,101,2진화 포켓몬,,NEEDS_MATCH,BS2025015101
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,기로치 ex,RR,114,기본 포켓몬,,NEEDS_MATCH,BS2025015114
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,게노세크트 ex,RR,119,기본 포켓몬,,NEEDS_MATCH,BS2025015119
m2a_ja,MEGA 하이클래스팩 「MEGA 드림 ex」,메가루차불 ex,MA,229,기본 포켓몬,m2a_ja-229,CONFIRMED,BS2025015229
sv4a_ja,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,시비꼬 ex,RR,154,기본 포켓몬,,NEEDS_MATCH,BS2024001154
sv4a_ja,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,시비꼬 ex,SSR,337,기본 포켓몬,sv4a_ja-337,CONFIRMED,BS2024001337
sv4a_ja,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,페퍼,SAR,354,서포트,,NEEDS_MATCH,BS2024001354
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,토대부기 ex,RR,005,2진화 포켓몬,,NEEDS_MATCH,BS2024004005
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,꿰뚫는화염 ex,RR,012,기본 포켓몬 ex,,NEEDS_MATCH,BS2024004012
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,굽이치는물결 ex,RR,024,기본 포켓몬 ex,,NEEDS_MATCH,BS2024004024
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,팬텀 ex,RR,047,2진화 포켓몬,,NEEDS_MATCH,BS2024004047
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,날뛰는우레 ex,RR,053,기본 포켓몬 ex,,NEEDS_MATCH,BS2024004053
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,치라미,AR,082,기본 포켓몬,sv5k_ja-82,CONFIRMED,BS2024004082
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,치라치노,AR,083,1진화 포켓몬,sv5k_ja-83,CONFIRMED,BS2024004083
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,날뛰는우레 ex,SR,089,기본 포켓몬 ex,sv5k_ja-89,CONFIRMED,BS2024004089
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,날뛰는우레 ex,SAR,095,기본 포켓몬 ex,sv5k_ja-95,CONFIRMED,BS2024004095
sv5k_ja,스칼렛&바이올렛 확장팩 「와일드포스」,날뛰는우레 ex,UR,100,기본 포켓몬 ex,sv5k_ja-100,CONFIRMED,BS2024004100
sv5m_ja,스칼렛&바이올렛 확장팩 「사이버저지」,무쇠잎새 ex,RR,016,기본 포켓몬 ex,,NEEDS_MATCH,BS2024005016
sv5m_ja,스칼렛&바이올렛 확장팩 「사이버저지」,어흥염 ex,RR,022,2진화 포켓몬,,NEEDS_MATCH,BS2024005022
sv5m_ja,스칼렛&바이올렛 확장팩 「사이버저지」,무쇠감투 ex,RR,036,기본 포켓몬 ex,,NEEDS_MATCH,BS2024005036
sv5m_ja,스칼렛&바이올렛 확장팩 「사이버저지」,키키링 ex,RR,042,1진화 포켓몬,,NEEDS_MATCH,BS2024005042
sv5m_ja,스칼렛&바이올렛 확장팩 「사이버저지」,핫삼 ex,RR,044,1진화 포켓몬,,NEEDS_MATCH,BS2024005044
sv5a_ja,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,그우린차 ex,RR,009,1진화 포켓몬,,NEEDS_MATCH,BS2024007009
sv5a_ja,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,마그카르고 ex,RR,013,1진화 포켓몬,,NEEDS_MATCH,BS2024007013
sv5a_ja,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,무쇠가시 ex,RR,033,기본 포켓몬 ex,,NEEDS_MATCH,BS2024007033
sv5a_ja,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,우렁찬꼬리 ex,RR,040,기본 포켓몬 ex,,NEEDS_MATCH,BS2024007040
sv5a_ja,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,다투곰 붉은 달 ex,RR,052,기본 포켓몬,,NEEDS_MATCH,BS2024007052
sv5a_ja,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,대코파스,AR,076,1진화 포켓몬,sv5a_ja-76,CONFIRMED,BS2024007076
sv6_ja,스칼렛&바이올렛 확장팩 「변환의 가면」,오거폰 벽록의 가면 ex,RR,016,기본 포켓몬,,NEEDS_MATCH,BS2024008016
sv6_ja,스칼렛&바이올렛 확장팩 「변환의 가면」,돌핀맨 ex,RR,036,1진화 포켓몬,,NEEDS_MATCH,BS2024008036
sv6_ja,스칼렛&바이올렛 확장팩 「변환의 가면」,렌트라 ex,RR,041,2진화 포켓몬,,NEEDS_MATCH,BS2024008041
sv6_ja,스칼렛&바이올렛 확장팩 「변환의 가면」,해피너스 ex,RR,085,1진화 포켓몬,,NEEDS_MATCH,BS2024008085
sv6_ja,스칼렛&바이올렛 확장팩 「변환의 가면」,럭키,AR,113,기본 포켓몬,sv6_ja-113,CONFIRMED,BS2024008113
sv6_ja,스칼렛&바이올렛 확장팩 「변환의 가면」,해피너스 ex,SR,121,1진화 포켓몬,sv6_ja-121,CONFIRMED,BS2024008121
sv6a_ja,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,킹드라 ex,RR,012,2진화 포켓몬,,NEEDS_MATCH,BS2024011012
sv6a_ja,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,조타구 ex,RR,036,기본 포켓몬,,NEEDS_MATCH,BS2024011036
sv6a_ja,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,기로치 ex,RR,038,기본 포켓몬,,NEEDS_MATCH,BS2024011038
sv6a_ja,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,복숭악동 ex,RR,039,기본 포켓몬,,NEEDS_MATCH,BS2024011039
sv6a_ja,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,이븐곰,AR,076,1진화 포켓몬,sv6a_ja-76,CONFIRMED,BS2024011076
sv7_ja,스칼렛&바이올렛 확장팩 「스텔라미라클」,에이스번 ex,RR,018,2진화 포켓몬,,NEEDS_MATCH,BS2024012018
sv7_ja,스칼렛&바이올렛 확장팩 「스텔라미라클」,바우첼 ex,RR,046,1진화 포켓몬,,NEEDS_MATCH,BS2024012046
sv7_ja,스칼렛&바이올렛 확장팩 「스텔라미라클」,요가램 ex,RR,054,1진화 포켓몬,,NEEDS_MATCH,BS2024012054
sv7_ja,스칼렛&바이올렛 확장팩 「스텔라미라클」,꿈트렁 ex,RR,074,기본 포켓몬,,NEEDS_MATCH,BS2024012074
sv7_ja,스칼렛&바이올렛 확장팩 「스텔라미라클」,테라파고스 ex,RR,088,기본 포켓몬,,NEEDS_MATCH,BS2024012088
sv7a_ja,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,블랙큐레무 ex,RR,011,기본 포켓몬,,NEEDS_MATCH,BS2024016011
sv7a_ja,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,라티아스 ex,RR,019,기본 포켓몬,,NEEDS_MATCH,BS2024016019
sv7a_ja,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,브리두라스 ex,RR,037,1진화 포켓몬,,NEEDS_MATCH,BS2024016037
sv7a_ja,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,알로라 나시 ex,RR,040,1진화 포켓몬,,NEEDS_MATCH,BS2024016040
sv7a_ja,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,알로라 나시 ex,SR,081,1진화 포켓몬,sv7a_ja-81,CONFIRMED,BS2024016081
sv7a_ja,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,알로라 나시 ex,SAR,089,1진화 포켓몬,sv7a_ja-89,CONFIRMED,BS2024016089
sv7a_ja,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,알로라 나시 ex,UR,092,1진화 포켓몬,sv7a_ja-92,CONFIRMED,BS2024016092
sv8_ja,스칼렛&바이올렛 확장팩 「초전브레이커」,아이앤트 ex,RR,003,기본 포켓몬,,NEEDS_MATCH,BS2024017003
sv8_ja,스칼렛&바이올렛 확장팩 「초전브레이커」,스코빌런 ex,RR,023,1진화 포켓몬,,NEEDS_MATCH,BS2024017023
sv8_ja,스칼렛&바이올렛 확장팩 「초전브레이커」,밀로틱 ex,RR,026,1진화 포켓몬,,NEEDS_MATCH,BS2024017026
sv8_ja,스칼렛&바이올렛 확장팩 「초전브레이커」,게을킹 ex,RR,084,2진화 포켓몬,,NEEDS_MATCH,BS2024017084
sv8_ja,스칼렛&바이올렛 확장팩 「초전브레이커」,레어코일,AR,112,1진화 포켓몬,sv8_ja-112,CONFIRMED,BS2024017112
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,리피아 ex,RR,003,1진화 포켓몬,,NEEDS_MATCH,BS2024019003
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,과미드라 ex,RR,010,2진화 포켓몬,,NEEDS_MATCH,BS2024019010
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,부스터 ex,RR,022,1진화 포켓몬,sv8a_ja-22,CONFIRMED,BS2024019022
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,오거폰 화덕의 가면 ex,RR,026,기본 포켓몬,,NEEDS_MATCH,BS2024019026
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,샤미드 ex,RR,031,1진화 포켓몬,,NEEDS_MATCH,BS2024019031
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,글레이시아 ex,RR,041,1진화 포켓몬,,NEEDS_MATCH,BS2024019041
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,오거폰 우물의 가면 ex,RR,050,기본 포켓몬,,NEEDS_MATCH,BS2024019050
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,쥬피썬더 ex,RR,052,1진화 포켓몬,,NEEDS_MATCH,BS2024019052
sv8a_ja,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,에브이 ex,RR,063,1진화 포켓몬,,NEEDS_MATCH,BS2024019063
