series,ko_set,ko_name,ko_rarity,ko_no,type,jp_ref,jp_status,code
swsh10p_ja,소드&실드 확장팩 「스페이스 저글러」,하랑우탄 V,SR,076,기본 포켓몬,swsh10p_ja-76,CONFIRMED,BS2022008076
swsh10a_ja,소드&실드 강화 확장팩 「다크판타스마」,러브로스 V,RR,031,기본 포켓몬,,NEEDS_MATCH,BS2022011053
swsh10a_ja,소드&실드 강화 확장팩 「다크판타스마」,러브로스 V,SR,080,기본 포켓몬,swsh10a_ja-80,CONFIRMED,BS2022011129
swsh10a_ja,소드&실드 강화 확장팩 「다크판타스마」,러브로스 V,CSR,088,기본 포켓몬,swsh10a_ja-88,CONFIRMED,BS2022011137
swsh11_ja,소드&실드 확장팩 「로스트어비스」,로토무 V,RR,037,기본 포켓몬,,NEEDS_MATCH,BS2022014037
swsh11_ja,소드&실드 확장팩 「로스트어비스」,로토무 V,SR,103,기본 포켓몬,swsh11_ja-103,CONFIRMED,BS2022014102
swsh11_ja,소드&실드 확장팩 「로스트어비스」,로토무 V,SR,104,기본 포켓몬,swsh11_ja-104,CONFIRMED,BS2022014103
swsh11a_ja,소드&실드 강화 확장팩 「백열의 아르카나」,레시라무 V,RR,015,기본 포켓몬,,NEEDS_MATCH,BS2022016015
swsh11a_ja,소드&실드 강화 확장팩 「백열의 아르카나」,마기아나 V,RR,051,기본 포켓몬,,NEEDS_MATCH,BS2022016051
swsh11a_ja,소드&실드 강화 확장팩 「백열의 아르카나」,칠색조 V,RR,055,기본 포켓몬,,NEEDS_MATCH,BS2022016055
swsh11a_ja,소드&실드 강화 확장팩 「백열의 아르카나」,루브도,CHR,073,기본 포켓몬,swsh11a_ja-73,CONFIRMED,BS2022016073
swsh11a_ja,소드&실드 강화 확장팩 「백열의 아르카나」,레시라무 V,SR,076,기본 포켓몬,swsh11a_ja-76,CONFIRMED,BS2022016076
swsh11a_ja,소드&실드 강화 확장팩 「백열의 아르카나」,마기아나 V,SR,079,기본 포켓몬,swsh11a_ja-79,CONFIRMED,BS2022016079
swsh11a_ja,소드&실드 강화 확장팩 「백열의 아르카나」,칠색조 V,SR,080,기본 포켓몬,swsh11a_ja-80,CONFIRMED,BS2022016080
swsh5i_ja,소드&실드 확장팩 「일격마스터」,애프룡 V,RR,007,기본 포켓몬,,NEEDS_MATCH,BS2021001007
swsh5i_ja,소드&실드 확장팩 「일격마스터」,카푸꼬꼬꼭 V,RR,017,기본 포켓몬,,NEEDS_MATCH,BS2021001017
swsh5i_ja,소드&실드 확장팩 「일격마스터」,따라큐 V,RR,027,기본 포켓몬,,NEEDS_MATCH,BS2021001027
swsh5i_ja,소드&실드 확장팩 「일격마스터」,일격 우라오스 V,RR,036,기본 포켓몬,,NEEDS_MATCH,BS2021001036
swsh5i_ja,소드&실드 확장팩 「일격마스터」,마기라스 V,RR,046,기본 포켓몬,,NEEDS_MATCH,BS2021001046
swsh5i_ja,소드&실드 확장팩 「일격마스터」,바랜드 V,RR,059,기본 포켓몬,,NEEDS_MATCH,BS2021001059
swsh5r_ja,소드&실드 확장팩 「연격마스터」,귀뚤톡크 V,RR,004,기본 포켓몬,,NEEDS_MATCH,BS2021002004
swsh5r_ja,소드&실드 확장팩 「연격마스터」,비크티니 V,RR,012,기본 포켓몬,,NEEDS_MATCH,BS2021002012
swsh5r_ja,소드&실드 확장팩 「연격마스터」,엠페르트 V,RR,026,기본 포켓몬,,NEEDS_MATCH,BS2021002026
swsh5r_ja,소드&실드 확장팩 「연격마스터」,네크로즈마 V,RR,036,기본 포켓몬,,NEEDS_MATCH,BS2021002036
swsh5r_ja,소드&실드 확장팩 「연격마스터」,연격 우라오스 V,RR,050,기본 포켓몬,,NEEDS_MATCH,BS2021002050
swsh5r_ja,소드&실드 확장팩 「연격마스터」,네크로즈마 V,SR,075,기본 포켓몬,swsh5r_ja-75,CONFIRMED,BS2021002075
swsh5a_ja,소드&실드 강화 확장팩 「쌍벽의 파이터」,파치래곤 V,RR,023,기본 포켓몬,,NEEDS_MATCH,BS2021003023
swsh5a_ja,소드&실드 강화 확장팩 「쌍벽의 파이터」,가라르 프리져 V,RR,025,기본 포켓몬,,NEEDS_MATCH,BS2021003025
swsh5a_ja,소드&실드 강화 확장팩 「쌍벽의 파이터」,가라르 썬더 V,RR,037,기본 포켓몬,,NEEDS_MATCH,BS2021003037
swsh5a_ja,소드&실드 강화 확장팩 「쌍벽의 파이터」,가라르 파이어 V,RR,045,기본 포켓몬,,NEEDS_MATCH,BS2021003045
swsh5a_ja,소드&실드 강화 확장팩 「쌍벽의 파이터」,가라르 야도킹 V,RR,046,기본 포켓몬,,NEEDS_MATCH,BS2021003046
swsh6h_ja,소드&실드 확장팩 「백은의 랜스」,백마 버드렉스 V,RR,027,기본 포켓몬,,NEEDS_MATCH,BS2021004027
swsh6h_ja,소드&실드 확장팩 「백은의 랜스」,가라르 날쌩마 V,RR,029,기본 포켓몬,,NEEDS_MATCH,BS2021004029
swsh6h_ja,소드&실드 확장팩 「백은의 랜스」,사다이사 V,RR,043,기본 포켓몬,,NEEDS_MATCH,BS2021004043
swsh6h_ja,소드&실드 확장팩 「백은의 랜스」,레파르다스 V,RR,047,기본 포켓몬,swsh6h_ja-77,CONFIRMED,BS2021004047
swsh6h_ja,소드&실드 확장팩 「백은의 랜스」,레파르다스 V,SR,077,기본 포켓몬,swsh6h_ja-77,CONFIRMED,BS2021004077
swsh6k_ja,소드&실드 확장팩 「칠흑의 가이스트」,어치르돈 V,RR,017,기본 포켓몬,,NEEDS_MATCH,BS2021005017
swsh6k_ja,소드&실드 확장팩 「칠흑의 가이스트」,메타그로스 V,RR,049,기본 포켓몬,,NEEDS_MATCH,BS2021005049
swsh6a_ja,소드&실드 강화 확장팩 「이브이 히어로즈」,리피아 V,RR,002,기본 포켓몬,,NEEDS_MATCH,BS2021007002
swsh6a_ja,소드&실드 강화 확장팩 「이브이 히어로즈」,부스터 V,RR,011,기본 포켓몬,,NEEDS_MATCH,BS2021007011
swsh6a_ja,소드&실드 강화 확장팩 「이브이 히어로즈」,샤미드 V,RR,015,기본 포켓몬,,NEEDS_MATCH,BS2021007015
swsh6a_ja,소드&실드 강화 확장팩 「이브이 히어로즈」,쥬피썬더 V,RR,030,기본 포켓몬,,NEEDS_MATCH,BS2021007030
swsh6a_ja,소드&실드 강화 확장팩 「이브이 히어로즈」,에브이 V,RR,035,기본 포켓몬,,NEEDS_MATCH,BS2021007035
swsh7d_ja,소드&실드 확장팩 「마천퍼펙트」,골루그 V,RR,015,기본 포켓몬,,NEEDS_MATCH,BS2021011015
swsh7d_ja,소드&실드 확장팩 「마천퍼펙트」,루가루암 V,RR,024,기본 포켓몬,,NEEDS_MATCH,BS2021011024
swsh7d_ja,소드&실드 확장팩 「마천퍼펙트」,더스트나 V,RR,030,기본 포켓몬,swsh7d_ja-31,CONFIRMED,BS2021011030
swsh7d_ja,소드&실드 확장팩 「마천퍼펙트」,더스트나 VMAX,RRR,031,V진화,swsh7d_ja-31,CONFIRMED,BS2021011031
swsh7d_ja,소드&실드 확장팩 「마천퍼펙트」,음번 V,RR,046,기본 포켓몬,,NEEDS_MATCH,BS2021011046
swsh7d_ja,소드&실드 확장팩 「마천퍼펙트」,두랄루돈 V,RR,048,기본 포켓몬,swsh7d_ja-49,CONFIRMED,BS2021011048
swsh7d_ja,소드&실드 확장팩 「마천퍼펙트」,두랄루돈 VMAX,RRR,049,V진화,swsh7d_ja-49,CONFIRMED,BS2021011049
swsh7r_ja,소드 & 실드   확장팩   「창공스트림」,대로트 V,RR,007,기본 포켓몬,,NEEDS_MATCH,BS2021012007
swsh7r_ja,소드 & 실드   확장팩   「창공스트림」,불카모스 V,RR,015,기본 포켓몬,,NEEDS_MATCH,BS2021012015
swsh7r_ja,소드 & 실드   확장팩   「창공스트림」,요가램 V,RR,036,기본 포켓몬,,NEEDS_MATCH,BS2021012036
swsh7r_ja,소드 & 실드   확장팩   「창공스트림」,레쿠쟈 V,RR,046,기본 포켓몬,,NEEDS_MATCH,BS2021012046
swsh7r_ja,소드 & 실드   확장팩   「창공스트림」,레쿠쟈 VMAX,RRR,047,V진화,swsh7r_ja-47,CONFIRMED,BS2021012047
?,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,자시안 V,RR,018,기본 포켓몬,,NEEDS_MATCH,BS2021015018
?,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,자마젠타 V,RR,019,기본 포켓몬,,NEEDS_MATCH,BS2021015019
?,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,피카츄 V,RR,020,기본 포켓몬,,NEEDS_MATCH,BS2021015020
?,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,공중날기 피카츄 V,RR,021,기본 포켓몬,,NEEDS_MATCH,BS2021015021
swsh8a_ja,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,공중날기 피카츄 VMAX,RRR,022,V진화,swsh8a_ja-22,CONFIRMED,BS2021015022
?,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,파도타기 피카츄 V,RR,023,기본 포켓몬,,NEEDS_MATCH,BS2021015023
swsh8a_ja,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,파도타기 피카츄 VMAX,RRR,024,V진화,swsh8a_ja-24,CONFIRMED,BS2021015024
swsh8_ja,소드&실드 확장팩 「퓨전아츠」,샹델라 VMAX,RRR,015,V진화,swsh8_ja-15,CONFIRMED,BS2021018015
swsh8_ja,소드&실드 확장팩 「퓨전아츠」,모단단게 V,RR,026,기본 포켓몬,,NEEDS_MATCH,BS2021018026
swsh8_ja,소드&실드 확장팩 「퓨전아츠」,펄스멍 V,RR,034,기본 포켓몬,swsh8_ja-117,CONFIRMED,BS2021018034
swsh8_ja,소드&실드 확장팩 「퓨전아츠」,요씽리스 V,RR,085,기본 포켓몬,,NEEDS_MATCH,BS2021018085
swsh1h_ja,소드&실드 확장팩 「실드」,자마젠타 V,RR,044,기본 포켓몬,,NEEDS_MATCH,BS2020003044
swsh1h_ja,소드&실드 확장팩 「실드」,자마젠타 V,SR,065,기본 포켓몬,swsh1h_ja-65,CONFIRMED,BS2020003065
swsh3_ja,소드&실드 확장팩 「무한존」,무한다이노 V,RR,064,기본 포켓몬,,NEEDS_MATCH,BS2020011064
swsh3_ja,소드&실드 확장팩 「무한존」,핫삼 V,RR,066,기본 포켓몬,,NEEDS_MATCH,BS2020011066
swsh3_ja,소드&실드 확장팩 「무한존」,핫삼 V,SR,107,기본 포켓몬,swsh3_ja-107,CONFIRMED,BS2020011107
swsh3a_ja,소드&실드 강화 확장팩 「전설의 고동」,자루도 V,RR,013,기본 포켓몬,,NEEDS_MATCH,BS2020012013
swsh3a_ja,소드&실드 강화 확장팩 「전설의 고동」,자루도 V,SR,077,기본 포켓몬,swsh3a_ja-77,CONFIRMED,BS2020012077
swsh4_ja,소드&실드 확장팩 「앙천의 볼트태클」,드래피온 V,SR,107,기본 포켓몬,swsh4_ja-107,CONFIRMED,BS2020014107
swsh4a_ja,소드&실드 하이클래스팩 「샤이니스타 V」,자마젠타 V,RR,139,기본 포켓몬,,NEEDS_MATCH,BS2020016139
swsh4a_ja,소드&실드 하이클래스팩 「샤이니스타 V」,메타몽 V,RR,140,기본 포켓몬,,NEEDS_MATCH,BS2020016140
swsh4a_ja,소드&실드 하이클래스팩 「샤이니스타 V」,메타몽 V,SSR,323,기본 포켓몬,swsh4a_ja-323,CONFIRMED,BS2020016323
