card_id,name,official_card_code,product_id,collection_number,rarity_code,language,super_type,jp_scrydex_ref,en_scrydex_ref
CRD_51808E684CD64F418E0A,기라티나 VSTAR,BS2023001111,PRD_B4F8E0D2E2414F1DBC9B,111/172,RRR,KO,POKEMON,swsh12a_ja-111,swsh11-131
CRD_7CB68EF6CB184B0FB066,흑마 버드렉스 V,BS2022001082,PRD_767E549F894445C98D52,082/184,RR,KO,POKEMON,swsh8b_ja-82,swsh6-74
CRD_518259D3BB704065A54A,춤추새 [퓨전],BS2023001176,PRD_B4F8E0D2E2414F1DBC9B,176/172,AR,KO,POKEMON,swsh12a_ja-176,swsh12pt5gg-GG04
CRD_7FEAB602A0214CDAB632,파이리,BS2023014168,PRD_DAB43E31433041FC942F,168/165,AR,KO,POKEMON,sv2a_ja-168,sv3pt5-168
CRD_7FDEF1F24E7A4606A63F,바다그다,BS2024001226,PRD_219AD0EF77CA4165AD0F,226/190,S,KO,POKEMON,sv4a_ja-226,sv4pt5-121
CRD_519C4783A21343ABB5E8,이수재의 전송,BS2023014199,PRD_DAB43E31433041FC942F,199/165,SR,KO,TRAINER,sv2a_ja-199,sv3pt5-194
CRD_51A40A7F283548AAA8AC,갑주무사 GX,BS2017009052,PRD_CF155EC649AE400EB0D1,052/051,SR,KO,POKEMON,sm3n_ja-52,sm3-129
CRD_80E06EF89D844F93ABE5,이올브 VMAX,BS2022001215,PRD_767E549F894445C98D52,215/184,CSR,KO,POKEMON,swsh8b_ja-215,swsh11tg-TG13
CRD_3A840E756D3946778BD9,버터플 V,BS2020010001,PRD_9C4063C50B5B45C09FF9,001/070,RR,KO,POKEMON,swsh2a_ja-1,swsh3-1
CRD_51C1A941A9694DF8AA9A,알로라나시 GX,BS2017012054,PRD_B9ABCB229FAD45509D71,054/050,SR,KO,POKEMON,sm4a_ja-54,sm4-107
CRD_14DDFE1E600A4BAF8E70,헬가 V,BS2020011101,PRD_91D480C53D3248F79831,101/100,SR,KO,POKEMON,swsh3_ja-101,swsh3-178
CRD_85A4AA81199D42D8B160,피비,,PRD_FDDAB6E1AF8D49E6A224,087/070,HR,KO,TRAINER,swsh5i_ja-87,swsh5-175
CRD_51D04CC150CD4DD58F28,염버니,BS2020016214,PRD_595A32AA23664B6ABD92,214/190,S,KO,POKEMON,swsh4a_ja-214,swsh45sv-SV015
CRD_51D5975726974B7B8758,트래피더 ex,BS2023007101,PRD_5AD4DD681C694EAC8DDA,101/078,SAR,KO,POKEMON,sv1v_ja-101,sv1-243
CRD_5253E851E4414AD68104,백마 버드렉스 V,BS2021004072,PRD_83E04A9A71A74A88AB44,072/070,SR,KO,POKEMON,swsh6h_ja-72,swsh6-163
CRD_52591157ACD8487D99CF,카푸꼬꼬꼭 V,BS2022003149,PRD_B2ACFB7F8D3D424D8D60,149/414,RR,KO,POKEMON,swsh5i_ja-17,swsh5-50
CRD_2444A7B9A8EA415D8A2F,잠만보 VMAX,,PRD_FC1A7B5927A44298A2A2,070/060,HR,KO,POKEMON,swsh1h_ja-70,swsh1-206
CRD_527B58F17A3E49AEB25F,딩루 ex,BS2024001113,PRD_219AD0EF77CA4165AD0F,113/190,RR,KO,POKEMON,sv4a_ja-113,sv2-127
CRD_526DC57204B446B594BD,무쇠독나방,BS2023022069,PRD_245223BF212C456385F3,069/066,AR,KO,POKEMON,sv4m_ja-69,sv4-187
CRD_528E8910A24647CE96C3,레지락 ex,BS2026001374,PRD_6F0F228947EF48919808,374/742,RR,KO,POKEMON,sv10_ja-55,me2pt5-107
CRD_8ACA05A71DAE447AAE22,후딘 V,BS2020014105,PRD_32C23D5FA71F45ADB572,105/100,SR,KO,POKEMON,swsh4_ja-105,swsh4-172
CRD_52D2632208334D4B88B0,투로박사의 시나리오,BS2023022087,PRD_245223BF212C456385F3,087/066,SR,KO,TRAINER,sv4m_ja-86,sv4-240
CRD_4DA4E6DE9B234E42BAE2,총지엔 ex,BS2023011092,PRD_514C148400944D8AA72F,092/071,SAR,KO,POKEMON,sv2p_ja-92,sv2-257
CRD_8E2C1FBCA2F54B3FBFEA,흑마 칼레오스 VMAX,,PRD_767E549F894445C98D52,281/184,UR,KO,POKEMON,swsh8b_ja-281,swsh10tg-TG30
CRD_5308BD56BE1440DC86D2,갸라도스 GX,BS2017012051,PRD_B9ABCB229FAD45509D71,051/050,SR,KO,POKEMON,sm4a_ja-51,sm4-101
CRD_52F68E4F10704A3FB529,알로라 식스테일 VSTAR,BS2022016023,PRD_0C8B6847314E495B9C8E,023/068,RRR,KO,POKEMON,swsh11a_ja-23,swsh12-34
CRD_9327DCC9A6474DD0A15B,글레이시아 V,BS2021007024,PRD_BD7FA21EB0B4407086A0,024/069,RR,KO,POKEMON,swsh6a_ja-24,swsh7-40
CRD_94CBE75AE5E34D14A930,가라르 멘바릇,,PRD_32C23D5FA71F45ADB572,119/100,UR,KO,POKEMON,swsh4_ja-119,swsh4-198
CRD_3358929E8924485E949B,크로뱃 VMAX,BS2020016109,PRD_595A32AA23664B6ABD92,109/190,RRR,KO,POKEMON,swsh4a_ja-109,swsh45-45
CRD_5321023EE01C496BA1D8,이벨타르 ex,BS2026002052,PRD_B269D7FE35F74921BDB2,052/080,RR,KO,POKEMON,m3_ja-52,me3-53
CRD_3BE83FC74DE14380BC3B,가라르 날쌩마,BS2020016247,PRD_595A32AA23664B6ABD92,247/190,S,KO,POKEMON,swsh4a_ja-247,swsh45sv-SV048
CRD_530DC1322A98447495D2,럭시오,BS2024001241,PRD_219AD0EF77CA4165AD0F,241/190,S,KO,POKEMON,sv4a_ja-241,sv4pt5-136
CRD_53504BEF2B164AFA9492,부우부,BS2022004118,PRD_B6A92B9A3823440F8F49,073/067,CHR,KO,POKEMON,swsh9a_ja-73,swsh10tg-TG12
