product_id,name,series_name,language
PRD_B1871C80FA56423F9D00,스칼렛&바이올렛 프로모 카드 팩 제2탄,"",KO
PRD_A4F2BE85BB8147239B1D,강화 확장팩 「포켓몬 카드 151」 프로모 카드 팩,강화,KO
PRD_7A5D52D80F3F4AF985A6,스칼렛&바이올렛 프로모 카드 팩 제3탄,"",KO
PRD_BD11E7243AC24A63AFF9,포켓몬 카드 게임 Let's Play 2023,"",KO
PRD_201FAEFEBF5E4BF4B8DE,포켓몬 카드샵 대표 선발전 프로모,"",KO
PRD_4FBB447709EA4AB1BF23,2023 코리안리그 파이널 시즌 프로모,"",KO
PRD_E36B8DCC6BEC4AE38BAF,스칼렛&바이올렛 「ex 스페셜 세트」,"",KO
PRD_9A20FF5E12664EA5AFD8,2023 코리안리그 시즌4 프로모,"",KO
PRD_EC553B77FEF348318B96,극장판 포켓몬스터DP 「아르세우스 초극의 시공으로」극장 선물,"",KO
PRD_81163152C4E942D1B8B8,2023 코리안리그 시즌3 프로모,"",KO
PRD_6F7587DE4A514FBE9C4B,처음 배우는 교실 프로모,"",KO
PRD_878BCD84E3A14C879A3E,실드전 프로모 카드 팩,"",KO
PRD_D620EE82AC97457ABA0A,포켓몬 카드 게임 스칼렛&바이올렛 프리미엄 트레이너 박스 ex,"",KO
PRD_D82B81DD76C74C3C9224,포켓몬 카드 게임 스칼렛&바이올렛 스타터 세트 ex 피카츄 스페셜 세트,"",KO
PRD_D1DFAF785C7E4DAD8268,스칼렛&바이올렛 스타터 세트 ex 프로모 카드 팩,"",KO
PRD_2619CB82AD71458594DF,스칼렛&바이올렛 프로모 카드 팩 제1탄,"",KO
PRD_99B88299CF7D4863B21B,2023 코리안리그 시즌2 프로모,"",KO
PRD_38BB8CEB2E274E9799DB,소드&실드 프로모팩 제12탄,"",KO
PRD_B379D5A6AD9240D69AA4,2023 코리안리그 시즌1 프로모,"",KO
PRD_A26F397D65B548AE8F52,스칼렛&바이올렛 스타터 세트 ex 「나오하&루카리오 ex」,"",KO
PRD_FE40080E1F95492DBC55,스칼렛&바이올렛 스타터 세트 ex 「뜨아거&전룡 ex」,"",KO
