code,series,product_id,product_status,ko_name,collection_no,rarity,super_type,sub_type,jp_ref,en_ref,ko_img,jp_img,en_img,reviewer_decision,review_source_version
BS2025006099,sv10_ja,PRD_FA31487748A24EAF9EE3,OK,로켓단의 트래피더,099,AR,POKEMON,STAGE1,sv10_ja-99,sv10-187,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_099.png?w=512,https://images.scrydex.com/pokemon/sv10_ja-99/medium,https://images.scrydex.com/pokemon/sv10-187/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025007103,sv11b_ja,PRD_D52A4B350D2344119847,OK,활화르바,103,AR,POKEMON,BASIC,sv11b_ja-103,zsv10pt5-99,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_103.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-103/medium,https://images.scrydex.com/pokemon/zsv10pt5-99/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025007111,sv11b_ja,PRD_D52A4B350D2344119847,OK,늑골라,111,AR,POKEMON,STAGE2,sv11b_ja-111,zsv10pt5-107,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_111.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-111/medium,https://images.scrydex.com/pokemon/zsv10pt5-107/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025007150,sv11b_ja,PRD_D52A4B350D2344119847,OK,터검니,150,AR,POKEMON,BASIC,sv11b_ja-150,zsv10pt5-145,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_150.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-150/medium,https://images.scrydex.com/pokemon/zsv10pt5-145/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025008155,sv11w_ja,PRD_53034524E98C4FE8BF8D,OK,바랜드,155,AR,POKEMON,STAGE2,sv11w_ja-155,rsv10pt5-156,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_155.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-155/medium,https://images.scrydex.com/pokemon/rsv10pt5-156/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025008162,sv11w_ja,PRD_53034524E98C4FE8BF8D,OK,탱탱겔 ex,162,SR,POKEMON,STAGE1,sv11w_ja-162,rsv10pt5-160,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_162.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-162/medium,https://images.scrydex.com/pokemon/rsv10pt5-160/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025008170,sv11w_ja,PRD_53034524E98C4FE8BF8D,OK,탱탱겔 ex,170,SAR,POKEMON,STAGE1,sv11w_ja-170,rsv10pt5-168,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_170.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-170/medium,https://images.scrydex.com/pokemon/rsv10pt5-168/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025009074,m1l_ja,PRD_488E92535E424D04B2B5,OK,깨비참,074,AR,POKEMON,BASIC,m1l_ja-74,me1-151,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_074.png?w=512,https://images.scrydex.com/pokemon/m1l_ja-74/medium,https://images.scrydex.com/pokemon/me1-151/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025014096,m2_ja,PRD_DD94FB8DCB7C4A129478,OK,로토무 ex,096,SR,POKEMON,BASIC,m2_ja-96,me2-111,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M2/M2_096.png?w=512,https://images.scrydex.com/pokemon/m2_ja-96/medium,https://images.scrydex.com/pokemon/me2-111/medium,approve,v9(jp_match_preview+crosslang_sims)
BS2025014112,m2_ja,PRD_DD94FB8DCB7C4A129478,OK,로토무 ex,112,SAR,POKEMON,BASIC,m2_ja-112,me2-126,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M2/M2_112.png?w=512,https://images.scrydex.com/pokemon/m2_ja-112/medium,https://images.scrydex.com/pokemon/me2-126/medium,approve,v9(jp_match_preview+crosslang_sims)
