code,ko_name,rarity,ko_no,ko_set,jp_ref,series,match_cid,match_name,s1,s2,margin,nm_match,rar_match
BS2021003046,가라르 야도킹 V,RR,046,소드&실드 강화 확장팩 「쌍벽의 파이터」,,,CRD_F5AF7D246A2542E48326,가라르 야도킹 V,0.98,0,0.98,True,True
BS2021004029,가라르 날쌩마 V,RR,029,소드&실드 확장팩 「백은의 랜스」,,,CRD_DC0D44D9E66D45FA907B,가라르 날쌩마 V,0.962,0,0.962,True,True
BS2021004043,사다이사 V,RR,043,소드&실드 확장팩 「백은의 랜스」,,,CRD_E7DB54455C61431B8B1B,사다이사 V,0.953,0,0.953,True,True
BS2021005017,어치르돈 V,RR,017,소드&실드 확장팩 「칠흑의 가이스트」,,,CRD_1189D005D21D4ED69DBF,어치르돈 V,0.979,0,0.979,True,True
BS2021005049,메타그로스 V,RR,049,소드&실드 확장팩 「칠흑의 가이스트」,,,CRD_49A64C751A444FF7B85C,메타그로스 V,0.983,0,0.983,True,True
BS2021007011,부스터 V,RR,011,소드&실드 강화 확장팩 「이브이 히어로즈」,,,CRD_1164B69A14F3417EBA5C,부스터 V,0.959,0,0.959,True,True
BS2021007015,샤미드 V,RR,015,소드&실드 강화 확장팩 「이브이 히어로즈」,,,CRD_E493F0082A45481EA7EE,샤미드 V,0.939,0,0.939,True,True
BS2021007030,쥬피썬더 V,RR,030,소드&실드 강화 확장팩 「이브이 히어로즈」,,,CRD_A313B53B087D4A94B80A,쥬피썬더 V,0.981,0,0.981,True,True
BS2021007035,에브이 V,RR,035,소드&실드 강화 확장팩 「이브이 히어로즈」,,,CRD_5751676A34FF4B128A73,에브이 V,0.964,0,0.964,True,True
BS2021011015,골루그 V,RR,015,소드&실드 확장팩 「마천퍼펙트」,,,CRD_33D12892FE0A448BA1C5,골루그 V,0.941,0,0.941,True,True
BS2021011024,루가루암 V,RR,024,소드&실드 확장팩 「마천퍼펙트」,,,CRD_E506A487DE8C45099602,루가루암 V,0.956,0,0.956,True,True
BS2021011030,더스트나 V,RR,030,소드&실드 확장팩 「마천퍼펙트」,swsh7d_ja-31,swsh7d_ja,CRD_B8BC4E618338434C9925,더스트나 V,0.96,0,0.96,True,True
BS2021011046,음번 V,RR,046,소드&실드 확장팩 「마천퍼펙트」,,,CRD_A9AEC318816D44429B63,음번 V,0.967,0,0.967,True,True
BS2021012007,대로트 V,RR,007,소드 & 실드   확장팩   「창공스트림」,,,CRD_F3E837515D0E435AA991,대로트 V,0.931,0,0.931,True,True
BS2021012036,요가램 V,RR,036,소드 & 실드   확장팩   「창공스트림」,,,CRD_CC13B8F8C8BC49B092D7,요가램 V,0.976,0,0.976,True,True
BS2021015018,자시안 V,RR,018,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,,,CRD_EC412671D4E6458C9C17,자시안 V,0.981,0,0.981,True,True
BS2021018026,모단단게 V,RR,026,소드&실드 확장팩 「퓨전아츠」,,,CRD_4C8698FF6B3849B49B28,모단단게 V,0.973,0,0.973,True,True
BS2021018034,펄스멍 V,RR,034,소드&실드 확장팩 「퓨전아츠」,swsh8_ja-117,swsh8_ja,CRD_D70F5446D2974DDC8EB0,펄스멍 V,0.947,0,0.947,True,True
BS2021018085,요씽리스 V,RR,085,소드&실드 확장팩 「퓨전아츠」,,,CRD_9987ACD7E7C54BF8A0F8,요씽리스 V,0.983,0,0.983,True,True
