set_code,sample_pages,first_seen_page,last_seen_page,estimated_page_min,estimated_page_max,sample_count,matched_our_card_count,is_ours,notes
DP5-CS,2181,2181,2181,2171,2191,24,0,,
DP5-TW,2181,2181,2181,2171,2191,7,0,,
PCG-WCP,2191,2191,2191,2181,2201,99,0,,
DP3-D,2191,2191,2191,2181,2201,1,0,,
DP-P-0024,2201,2201,2201,2191,2211,1,0,,
EN-2006-WCD-JB-E-108,2201,2201,2201,2191,2211,1,0,,
DP1-D,2201,2201,2201,2191,2211,6,0,,
DP1-I,2201,2201,2201,2191,2211,2,0,,
DP1-E,2201,2201,2201,2191,2211,2,0,,
PCG6,2211,2211,2211,2201,2221,82,0,,
PCG4,2221,2221,2221,2211,2231,61,0,,
PCG-QCP-FIG,2231,2231,2231,2221,2241,13,0,,
PCG-QCP-LIG,2231,2231,2231,2221,2241,30,0,,
PLAY6,2251,2251,2251,2241,2261,3,0,,
PLAY7,2251,2251,2251,2241,2261,6,0,,
PLAY1,2251,2251,2251,2241,2261,3,0,,
ADV-S,2261,2261,2261,2251,2271,16,0,,
ADV3,2261,2261,2261,2251,2271,78,0,,
E3,2281,2281,2281,2271,2291,91,0,,
E1,2291,2291,2291,2281,2301,2,0,,
E-ST,2291,2291,2291,2281,2301,1,0,,
NEO-P,2301,2301,2301,2291,2311,2,0,,
PRMF,2301,2301,2301,2291,2311,5,0,,
NEO3,2301,2301,2301,2291,2311,4,0,,
EN-BASE-SET-2,2311,2311,2311,2301,2321,25,0,,
NEO1,2311,2311,2311,2301,2321,73,0,,
PMCG-G1,2321,2321,2321,2311,2331,46,0,,
PMCG-P,2321,2321,2321,2311,2331,6,0,,
LT. SURGE,2321,2321,2321,2311,2331,19,0,,
ERIKA,2321,2321,2321,2311,2331,22,0,,
PMCG-RED,2321,2321,2321,2311,2331,4,0,,
S-P,2411 2421,2411,2421,2401,2431,20,0,,
EN-SVP,2411,2411,2411,2401,2421,1,0,,
PTR,2411,2411,2411,2401,2421,1,0,,
DPT,2411,2411,2411,2401,2421,1,0,,
MS-PCS,2411,2411,2411,2401,2421,9,0,,
EN-SVP-EN,2411,2411,2411,2401,2421,22,0,,
S4A,2421,2421,2421,2411,2431,12,0,,
