card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_243B025EA81342949B2D,피카츄,PR,,475194,13936,145028,41297,0.096,0.337,3.512,10.41,2.96,A_1M,19000,58,0.733,RAW_STALE_LOW,REPLACE_WITH_SNK_A,,LADDER_INFO_ONLY,
CRD_243CD02D3D3B494795CF,한카리아스 ex,RR,039/187,427218,507,17036,,0.03,,,33.6,,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_2444A7B9A8EA415D8A2F,잠만보 VMAX,HR,070/060,96566,91421,213757,46008,0.428,1.987,4.646,2.34,0.5,A_3M,108300,2,0.844,RAW_OVER_PSA9,REVIEW_SNK_THIN,,KEEP,
CRD_244EB50258FC45D58BB7,이브이 ex,RR,566/742,427228,2305,70432,38194,0.033,0.06,1.844,30.56,16.57,A_3M,9500,2,0.243,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,MAPPING_REVIEW,,MAPPING_REVIEW,Y
CRD_24845E4BD72A47AAA490,라티오스 EX,RR,048/078,382140,14020,159202,100915,0.088,0.139,1.578,11.36,7.2,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_249FD650FBBB4F8C8E9F,AZ의 평온,SR,108/083,776359,3718,,33813,,0.11,,,9.09,A_3M,9500,1,0.391,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,Y
CRD_24A7755304AF47CF931D,로켓단의 따라큐,AR,205/193,730942,8458,105434,34151,0.08,0.248,3.087,12.47,4.04,A_1M,9500,27,0.89,RAW_STALE_LOW,REPLACE_WITH_SNK_A,,LADDER_INFO_ONLY,Y
CRD_24E2B7E72A25492F960D,푸크린 ex,SSR,336/190,160958,1997,38592,23730,0.052,0.084,1.626,19.32,11.88,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_24E953E56C044EFFAEB2,뮤 V,RR,053/172,103804,3165,139243,21181,0.023,0.149,6.574,43.99,6.69,A_1M,9500,17,0.333,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,REVIEW_REPLACE,Y
CRD_24FAA1F19A0941A2BB96,보미카,SR,194/173,91267,125515,138116,97292,0.909,1.29,1.42,1.1,0.78,NONE,,0,,RAW_OVER_PSA9,KEEP_SCRYDEX,,KEEP,
