our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,source_set,notes
CRD_24EB8C7EAF8344B58654,샤미드 VMAX,NO_JP,,002/004,RR,cards/CRD_24EB8C7EAF8344B58654_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_24EBBFED607C41D7B562,조로아,sv6a_ja-72,SV6A,072/064,AR,cards/CRD_24EBBFED607C41D7B562_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6A,
CRD_24FAA1F19A0941A2BB96,보미카,sm12a_ja-197,SM12A,194/173,SR,cards/CRD_24FAA1F19A0941A2BB96_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM12A,
CRD_251F9092AFDE47718BB3,로켓단의 아테나,sv10_ja-119,SV10,122/098,SR,cards/CRD_251F9092AFDE47718BB3_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV10,
CRD_2521A01014064B6586BA,앤테이 EX,bw4_ja-70,BW4,070/069,SR,cards/CRD_2521A01014064B6586BA_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,BW4,
CRD_2531910728D94C05A9E9,팔자크,sv6_ja-124,SV6,124/101,SR,cards/CRD_2531910728D94C05A9E9_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6,
CRD_254CCBD76DFA46BDB30B,스이쿤 V,swsh12a_ja-24,SWSH12A,024/172,RR,cards/CRD_254CCBD76DFA46BDB30B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH12A,
CRD_255CB9C1E0E948988562,잠만보 ex,NO_JP,,094/175,RR,cards/CRD_255CB9C1E0E948988562_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_2570702FE3854423A069,무쇠바퀴 ex,sv4a_ja-132,SV4A,132/190,RR,cards/CRD_2570702FE3854423A069_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_25909EEE9FBE41E08266,에이스번 VMAX,swsh1a_ja-80,SWSH1A,080/070,HR,cards/CRD_25909EEE9FBE41E08266_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH1A,
CRD_25A76CC236D74FF2B49A,웨이니발 ex,sv1a_ja-98,SV1A,098/073,SAR,cards/CRD_25A76CC236D74FF2B49A_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV1A,
CRD_25A858D01145493BB66AF82B8EA32B7C,메가리자몽Y ex,NO_JP,,766/742,MUR,cards/CRD_25A858D01145493BB66AF82B8EA32B7C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_25B8055B794A45B99714,메가아쿠스타 ex,m3_ja-21,M3,021/080,RR,cards/CRD_25B8055B794A45B99714_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M3,
CRD_25B97585CC304F538181,잉어킹&고래왕 GX,sm9_ja-99,SM9,099/095,SR,cards/CRD_25B97585CC304F538181_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM9,
CRD_25C230DC064948798E98,코르니의 기합,swsh5r_ja-86,SWSH5R,086/070,HR,cards/CRD_25C230DC064948798E98_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH5R,
CRD_25C4E5DDBD5348CBACD3,윽우지 V,swsh1w_ja-66,SWSH1W,066/060,SR,cards/CRD_25C4E5DDBD5348CBACD3_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH1W,
CRD_25D1A6018B5A4A0AA38C,마스터드 일격의 태세,swsh5i_ja-81,SWSH5I,079/070,SR,cards/CRD_25D1A6018B5A4A0AA38C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH5I,
CRD_261019703FC444A39023,흉내내기 아가씨,swsh7d_ja-86,SWSH7D,086/067,HR,cards/CRD_261019703FC444A39023_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH7D,
CRD_262F67E35B964E6B9C67,야도킹 ex,sv2p_ja-86,SV2P,086/071,SR,cards/CRD_262F67E35B964E6B9C67_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV2P,
CRD_2642CE7CAA28482ABC0C,핫삼,sv3_ja-116,SV3,116/108,AR,cards/CRD_2642CE7CAA28482ABC0C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV3,
CRD_2673A337A01243339EC5,악식킹 GX,sm8b_ja-232,SM8B,232/150,SSR,cards/CRD_2673A337A01243339EC5_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_2685F2D324BF4D0495CF,대여르 V,swsh4a_ja-319,SWSH4A,319/190,SSR,cards/CRD_2685F2D324BF4D0495CF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_26947826E457449096C5,마스터드 연격의 태세,swsh5r_ja-80,SWSH5R,079/070,SR,cards/CRD_26947826E457449096C5_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH5R,
CRD_269A7AD114DA491CA9AC,레시라무 ex,sv11w_ja-174,SV11W,174/086,BWR,cards/CRD_269A7AD114DA491CA9AC_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_26AE57743E2F41B084F2,차곡차곡 GX,sm8b_ja-88,SM8B,088/150,RR,cards/CRD_26AE57743E2F41B084F2_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_26B8AD9FA6554601A3B7,뮤츠 GX,sm8b_ja-219,SM8B,219/150,SSR,cards/CRD_26B8AD9FA6554601A3B7_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_26C2FFF3ECDC4C2B8EE6,보스의 지령,NO_JP,,760/742,SR,cards/CRD_26C2FFF3ECDC4C2B8EE6_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_26CD880191FC48B2BE27,벨의 진심,sv5m_ja-92,SV5M,090/071,SR,cards/CRD_26CD880191FC48B2BE27_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV5M,
CRD_26F927BEACCC4E94ABAB,테오키스 VMAX,NO_JP,,006/020,RR,cards/CRD_26F927BEACCC4E94ABAB_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_2706BD8A739F4460B703,로켓단의 뮤츠 ex,m2a_ja-237,M2A,237/193,SAR,cards/CRD_2706BD8A739F4460B703_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M2A,
CRD_274BA225B19844028DDF,총지엔 ex,sv4a_ja-355,SV4A,355/190,UR,cards/CRD_274BA225B19844028DDF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_274ED0D22EC54F229DAE,포켓몬 브리더,sm3p_ja-77,SM3P,077/072,SR,cards/CRD_274ED0D22EC54F229DAE_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM3P,
CRD_274FD14AB17940EB8528,골루그 V,swsh7d_ja-70,SWSH7D,070/067,SR,cards/CRD_274FD14AB17940EB8528_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH7D,
CRD_275591C4CE6A45D2A1B4,메가이어롭 ex,m2_ja-114,M2,114/080,SAR,cards/CRD_275591C4CE6A45D2A1B4_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M2,
CRD_2757D35F33AC4CF99CC7,모야모,sv2d_ja-91,SV2D,090/071,SR,cards/CRD_2757D35F33AC4CF99CC7_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV2D,
CRD_27858E2B38CF47A7A939,페르시온,sv6a_ja-75,SV6A,075/064,AR,cards/CRD_27858E2B38CF47A7A939_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6A,
CRD_278AFBE27D01417B9CBC,칼라마네로,xyp_ja-130,XYP,,PR,cards/CRD_278AFBE27D01417B9CBC_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XYP,
CRD_2794B6F1FB74431BA82B,폭슬라이,swsh4a_ja-281,SWSH4A,281/190,S,cards/CRD_2794B6F1FB74431BA82B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_279CE3C2D7CE469A85E7,메탕,sm8b_ja-190,SM8B,190/150,S,cards/CRD_279CE3C2D7CE469A85E7_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_27A8BA338F90422EA5E0,금경,swsh9a_ja-88,SWSH9A,088/067,HR,cards/CRD_27A8BA338F90422EA5E0_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH9A,
CRD_27BABDECB2404E3D873F,리자몽 V,swsh9_ja-102,SWSH9,102/100,SR,cards/CRD_27BABDECB2404E3D873F_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH9,
CRD_27CAC15F8DE54882AA0F,퍼퓨돈 ex,sv1s_ja-96,SV1S,096/078,SR,cards/CRD_27CAC15F8DE54882AA0F_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV1S,
CRD_27D5FC7D18F54B668AE2,대왕끼리동,swsh4a_ja-290,SWSH4A,290/190,S,cards/CRD_27D5FC7D18F54B668AE2_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_27D9B5525E234D2E9F03,할비롱 V,NO_JP,,359/414,RR,cards/CRD_27D9B5525E234D2E9F03_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_27DC42C3D270417B9335,님피아 VMAX,swsh8b_ja-75,SWSH8B,192/414,RR,cards/CRD_27DC42C3D270417B9335_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_27DD36DAE86F45C69DEB,메가가디안 ex,m1s_ja-87,M1S,087/063,SAR,cards/CRD_27DD36DAE86F45C69DEB_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M1S,
CRD_27E9FB0B75EB487ABBF6,가디안 EX,xy_ja-91,XY,091/171,RR,cards/CRD_27E9FB0B75EB487ABBF6_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY,
CRD_27F3781C418A41E795E5,규리,sm8a_ja-58,SM8A,057/052,SR,cards/CRD_27F3781C418A41E795E5_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8A,
CRD_27F9714CA8CF4C0D8906,비조도,sv11w_ja-132,SV11W,132/086,AR,cards/CRD_27F9714CA8CF4C0D8906_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_280E5479B51D442889C9,춤추새 ex,m2_ja-111,M2,111/080,SAR,cards/CRD_280E5479B51D442889C9_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M2,
CRD_281071E67CFC40DD8688,빠모트,sv4a_ja-248,SV4A,248/190,S,cards/CRD_281071E67CFC40DD8688_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_2816C9B402A643F99D42,이상해꽃 ex,sv2a_ja-184,SV2A,184/165,SR,cards/CRD_2816C9B402A643F99D42_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV2A,
CRD_2821F636689C4FCE8CCC,쉐이미,dp6_ja-12,DP6,09/40,HR,cards/CRD_2821F636689C4FCE8CCC_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,DP6,
CRD_2832ADAFA5F4490F8898,엘레이드 EX,xy6_ja-30,XY6,030/078,RR,cards/CRD_2832ADAFA5F4490F8898_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY6,
CRD_28347CC12F42441E8376,이상해꽃&주리비얀 GX,sm11a_ja-1,SM11A,001/064,RR,cards/CRD_28347CC12F42441E8376_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM11A,
CRD_283662D99DED475396E1,기라티나 VSTAR,swsh11_ja-81,SWSH11,081/100,RRR,cards/CRD_283662D99DED475396E1_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH11,
CRD_2847A51BC6AB4B00BB53,아크로마의 집념,sv6a_ja-83,SV6A,084/064,SR,cards/CRD_2847A51BC6AB4B00BB53_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6A,
CRD_284CA7EBBD6A4A86BDFF,바닥트리오,sv4a_ja-227,SV4A,227/190,S,cards/CRD_284CA7EBBD6A4A86BDFF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_285E533D9D2F4E4F94A6,팔데아의 학생,sv4a_ja-345,SV4A,345/190,SR,cards/CRD_285E533D9D2F4E4F94A6_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_287970473FD84B928D5D,카푸꼬꼬꼭(프리즘스타),sm8a_ja-14,SM8A,014/052,PR,cards/CRD_287970473FD84B928D5D_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8A,
CRD_287F04A23D8D4624B994,마스,sm5s_ja-72,SM5S,070/066,SR,cards/CRD_287F04A23D8D4624B994_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM5S,
CRD_2893BDF7C7674E7A8E66,게치스플라스마단,bw8s_ja-55,BW8S,055/051,SR,cards/CRD_2893BDF7C7674E7A8E66_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,BW8S,
CRD_28A90C6383DF4C73AFEA,아스나,swsh6h_ja-88,SWSH6H,088/070,HR,cards/CRD_28A90C6383DF4C73AFEA_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH6H,
CRD_28E64B8B572C4910BC20,헬가 V,swsh3_ja-9,SWSH3,009/100,RR,cards/CRD_28E64B8B572C4910BC20_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH3,
CRD_28EAE8B1B5464580A078,나로테,sv4a_ja-202,SV4A,202/190,S,cards/CRD_28EAE8B1B5464580A078_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_28FD2B5F4CE248369764,히스이 조로아크 VSTAR,swsh10a_ja-62,SWSH10A,062/071,RRR,cards/CRD_28FD2B5F4CE248369764_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10A,
CRD_290E399FA6ED4C67A8C8,히스이 미끄래곤 VSTAR,swsh10a_ja-57,SWSH10A,057/071,RRR,cards/CRD_290E399FA6ED4C67A8C8_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10A,
CRD_292EB503923B4ADDAA36,테오키스 V,NO_JP,,005/020,RR,cards/CRD_292EB503923B4ADDAA36_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_2936DD31DD3F4679992B,팬텀&따라큐 GX,sm9_ja-38,SM9,038/095,RR,cards/CRD_2936DD31DD3F4679992B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM9,
CRD_2938D81021984B85A99B,로켓단의 페르시온 ex,NO_JP,,560/742,RR,cards/CRD_2938D81021984B85A99B_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_2940721DC8F64D6382C2,M앱솔 EX,NO_JP,,,PR,cards/CRD_2940721DC8F64D6382C2_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_2942A77E70D64CD79DC5,킬가르도 ex,sv4m_ja-45,SV4M,045/066,RR,cards/CRD_2942A77E70D64CD79DC5_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4M,
CRD_29464E6CFC1448969B4A,무청,swsh12_ja-113,SWSH12,113/098,SR,cards/CRD_29464E6CFC1448969B4A_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH12,
CRD_294D19F698F24BE39387,나무킹 EX,xy_ja-6,XY,006/171,RR,cards/CRD_294D19F698F24BE39387_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY,
CRD_2951B02D3BE7488DA649,피카츄,sm0_ja-4,SM0,005/SM-P,SM-P,cards/CRD_2951B02D3BE7488DA649_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM0,
CRD_29545D8447D54F8F9E57,게노세크트 EX플라스마단,bw9_ja-78,BW9,078/076,SR,cards/CRD_29545D8447D54F8F9E57_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,BW9,
CRD_295D5C65BB2240D6ACE9,울머기,swsh4a_ja-224,SWSH4A,224/190,S,cards/CRD_295D5C65BB2240D6ACE9_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_29775D0DA6924EA992F1,배우르,swsh4a_ja-303,SWSH4A,303/190,S,cards/CRD_29775D0DA6924EA992F1_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_297BD701806B4583B02D,헬가,sv6a_ja-66,SV6A,066/064,AR,cards/CRD_297BD701806B4583B02D_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6A,
CRD_298C0EBA7D414B2DB409,삼삼드래 EX,xy6_ja-84,XY6,084/078,SR,cards/CRD_298C0EBA7D414B2DB409_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY6,
CRD_298C5CE24A9343B9AF00,N의 조로아크 ex,sv9_ja-131,SV9,131/100,UR,cards/CRD_298C5CE24A9343B9AF00_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV9,
CRD_29E34E5A35CC4FFAB36C,후파 EX,xy7_ja-87,XY7,087/081,SR,cards/CRD_29E34E5A35CC4FFAB36C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY7,
CRD_29E55FFA536646B6A891,히스이 블레이범 VSTAR,swsh9a_ja-85,SWSH9A,085/067,HR,cards/CRD_29E55FFA536646B6A891_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH9A,
CRD_2A1817BBD07C4C22A018,나오하 ex,NO_JP,,002/066,RR,cards/CRD_2A1817BBD07C4C22A018_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_2A1A9C89BB3947378F7C,자마젠타 V,swsh1h_ja-73,SWSH1H,073/060,UR,cards/CRD_2A1A9C89BB3947378F7C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH1H,
CRD_2A25393A383641F7BD29,안농 VSTAR,swsh12_ja-36,SWSH12,036/098,RRR,cards/CRD_2A25393A383641F7BD29_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH12,
CRD_2A2AA65BC13345549AD1,마스터드 연격의 태세,swsh8b_ja-273,SWSH8B,259/184,SR,cards/CRD_2A2AA65BC13345549AD1_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_2A2C765236DC4E0DA39B,비크티니 V,swsh5r_ja-12,SWSH5R,059/414,RR,cards/CRD_2A2C765236DC4E0DA39B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH5R,
CRD_2A44F68D825C43749B38,크리만,sv11w_ja-150,SV11W,150/086,AR,cards/CRD_2A44F68D825C43749B38_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_2A51F7848C3F425BADD0,치릴리,sv11b_ja-91,SV11B,091/086,AR,cards/CRD_2A51F7848C3F425BADD0_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11B,
CRD_2A6241DAD8844867AA49,활화르바,sv8_ja-108,SV8,108/106,AR,cards/CRD_2A6241DAD8844867AA49_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV8,
CRD_2A791989EEEC43F481BB,메가지가르데 ex,m3_ja-113,M3,113/080,SAR,cards/CRD_2A791989EEEC43F481BB_jp.png,753318,https://snkrdunk.com/apparels/753318,メガジガルデex SAR [M3 113/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-113,https://cdn.snkrdunk.com/upload_bg_removed/20260123012032-0.webp,snk_images/753318.png,CRD_2A791989EEEC43F481BB,CRD_2A791989EEEC43F481BB,메가지가르데 ex,0.7987,"[{""cardId"": ""CRD_2A791989EEEC43F481BB"", ""name"": ""메가지가르데 ex"", ""rarity"": ""SAR"", ""ref"": ""m3_ja-113"", ""score"": 0.7987}]",HIGH_CONFIDENCE,HIGH,M3,
CRD_2A8D1058C4D1432DA733,버터플 V,swsh2a_ja-71,SWSH2A,071/070,SR,cards/CRD_2A8D1058C4D1432DA733_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH2A,
CRD_2ACE89E68BFA4F5BA7C3,석탄산 V,swsh3a_ja-80,SWSH3A,080/076,SR,cards/CRD_2ACE89E68BFA4F5BA7C3_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH3A,
CRD_2ADA9594E1954CF89E7B,깨봉이,sv11w_ja-138,SV11W,138/086,AR,cards/CRD_2ADA9594E1954CF89E7B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_2AFC7629A65B45FBBCC8,복숭악동 ex,sv6a_ja-90,SV6A,090/064,SAR,cards/CRD_2AFC7629A65B45FBBCC8_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6A,
CRD_2B0E8A61C671491BBA15,카푸꼬꼬꼭 GX,smp_ja-48,SMP,023/SM-P,SM-P,cards/CRD_2B0E8A61C671491BBA15_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SMP,
CRD_2B512D9C6B334EA6B3B5,캠프파이어,swsh9_ja-113,SWSH9,115/100,SR,cards/CRD_2B512D9C6B334EA6B3B5_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH9,
CRD_2B58D40C1AE74F69A349,성화,swsh10a_ja-95,SWSH10A,093/071,HR,cards/CRD_2B58D40C1AE74F69A349_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10A,
CRD_2B9182A2EF634F7E8973,올림박사의 기백,sv4k_ja-91,SV4K,092/066,SAR,cards/CRD_2B9182A2EF634F7E8973_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4K,
CRD_2BA1CDC0E4B94B79A0AC,배우르 V,swsh1a_ja-76,SWSH1A,076/070,SR,cards/CRD_2BA1CDC0E4B94B79A0AC_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH1A,
CRD_2BAD952E439344719A81,레쿠쟈 VMAX,swsh8b_ja-284,SWSH8B,284/184,UR,cards/CRD_2BAD952E439344719A81_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_2BB68D76B2954C079D6A,펄스멍 V,swsh1a_ja-31,SWSH1A,031/070,RR,cards/CRD_2BB68D76B2954C079D6A_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH1A,
CRD_2BCC60756DD640D68C16,두랄루돈 V,swsh8b_ja-122,SWSH8B,122/184,RR,cards/CRD_2BCC60756DD640D68C16_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_2BD596750DCC46F5BF44,달코퀸 ex,sv4k_ja-80,SV4K,080/066,SR,cards/CRD_2BD596750DCC46F5BF44_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4K,
CRD_2BD642F0ABE84DA8BDCF,테라파고스 ex,sv7_ja-133,SV7,133/102,UR,cards/CRD_2BD642F0ABE84DA8BDCF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV7,
CRD_2BDD89F3616849468EE4,데스니칸,sv11w_ja-120,SV11W,120/086,AR,cards/CRD_2BDD89F3616849468EE4_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_2BE0C7968F004557B9AB,자포코일 VSTAR,swsh10a_ja-17,SWSH10A,017/071,RRR,cards/CRD_2BE0C7968F004557B9AB_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10A,
CRD_2BE2AAD4366A40AAB96E,아르세우스 V,swsh9_ja-111,SWSH9,111/100,SR,cards/CRD_2BE2AAD4366A40AAB96E_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH9,
CRD_2BE4A0CA25944D3292C7,히드런 V,swsh10p_ja-72,SWSH10P,072/067,SR,cards/CRD_2BE4A0CA25944D3292C7_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10P,
CRD_2C17B97D2D95413699E9,뮤츠&뮤 GX,sm11_ja-98,SM11,098/094,SR,cards/CRD_2C17B97D2D95413699E9_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM11,
CRD_2C1B8B60A6A24410B160,멜리사,swsh11_ja-124,SWSH11,121/100,HR,cards/CRD_2C1B8B60A6A24410B160_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH11,
CRD_2C1DA4E5D17E428CB8AF,M얼음귀신 EX,xy8b_ja-15,XY8B,015/059,RR,cards/CRD_2C1DA4E5D17E428CB8AF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY8B,
CRD_2C1EDC815A2644BEB9DE,푸크린,m2_ja-91,M2,091/080,AR,cards/CRD_2C1EDC815A2644BEB9DE_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M2,
CRD_2C36A353792C402C93E8,번치코 VMAX,swsh8b_ja-20,SWSH8B,020/184,RRR,cards/CRD_2C36A353792C402C93E8_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_2C4C0A40740543B09035,돌핀맨,sv4a_ja-339,SV4A,339/190,AR,cards/CRD_2C4C0A40740543B09035_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_2C540CA835784066A98A,M메타그로스 EX,xyp_ja-102,XYP,,PR,cards/CRD_2C540CA835784066A98A_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XYP,
CRD_2C78DB6891D243219B2F,비퀸 ex,sv3_ja-123,SV3,123/108,SR,cards/CRD_2C78DB6891D243219B2F_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV3,
