apparel_id,detail_url,jp_title,en_name,product_number,image_url,set,number,rarity,used_listing_count
740500,https://snkrdunk.com/apparels/740500,サマヨール [MC 309/742](スタートデッキ100「バトルコレクション」),"Dusclops [MC 309/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-309,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49025-of.webp,MC,309/742,,
740501,https://snkrdunk.com/apparels/740501,ヨノワール [MC 310/742](スタートデッキ100「バトルコレクション」),"Dusknoir [MC 310/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-310,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49026-of.webp,MC,310/742,,
740502,https://snkrdunk.com/apparels/740502,ラティアス [MC 311/742](スタートデッキ100「バトルコレクション」),"Latias [MC 311/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-311,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49027-of.webp,MC,311/742,,
740503,https://snkrdunk.com/apparels/740503,ラティアスex [MC 312/742](スタートデッキ100「バトルコレクション」),"Latias ex [MC 312/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-312,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49028-of.webp,MC,312/742,,
740504,https://snkrdunk.com/apparels/740504,ラティアスex :ミラー [MC 312/742](スタートデッキ100「バトルコレクション」),"Latias ex :Mirror [MC 312/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-312,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49524-of.webp,MC,312/742,,
740505,https://snkrdunk.com/apparels/740505,ラティオス [MC 313/742](スタートデッキ100「バトルコレクション」),"Latios [MC 313/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-313,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49029-of.webp,MC,313/742,,
740506,https://snkrdunk.com/apparels/740506,ラティオス :ミラー [MC 313/742](スタートデッキ100「バトルコレクション」),"Latios :Mirror [MC 313/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-313,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49525-of.webp,MC,313/742,,
740507,https://snkrdunk.com/apparels/740507,ユクシー [MC 314/742](スタートデッキ100「バトルコレクション」),"Uxie [MC 314/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-314,https://cdn.snkrdunk.com/upload_bg_removed/20251219095523-6.webp,MC,314/742,,
740508,https://snkrdunk.com/apparels/740508,エムリット [MC 315/742](スタートデッキ100「バトルコレクション」),"Mesprit [MC 315/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-315,https://cdn.snkrdunk.com/upload_bg_removed/20251219095523-7.webp,MC,315/742,,
740509,https://snkrdunk.com/apparels/740509,アグノム [MC 316/742](スタートデッキ100「バトルコレクション」),"Azelf [MC 316/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-316,https://cdn.snkrdunk.com/upload_bg_removed/20251219095523-8.webp,MC,316/742,,
740510,https://snkrdunk.com/apparels/740510,クレセリア [MC 317/742](スタートデッキ100「バトルコレクション」),"Cresselia [MC 317/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-317,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49033-of.webp,MC,317/742,,
740511,https://snkrdunk.com/apparels/740511,シンボラー [MC 318/742](スタートデッキ100「バトルコレクション」),"Sigilyph [MC 318/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-318,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49034-of.webp,MC,318/742,,
740512,https://snkrdunk.com/apparels/740512,デスマス [MC 319/742](スタートデッキ100「バトルコレクション」),"Yamask [MC 319/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-319,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49035-of.webp,MC,319/742,,
740513,https://snkrdunk.com/apparels/740513,デスマス [MC 320/742](スタートデッキ100「バトルコレクション」),"Yamask [MC 320/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-320,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49036-of.webp,MC,320/742,,
740514,https://snkrdunk.com/apparels/740514,デスカーン [MC 321/742](スタートデッキ100「バトルコレクション」),"Cofagrigus [MC 321/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-321,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49037-of.webp,MC,321/742,,
740515,https://snkrdunk.com/apparels/740515,デスカーン [MC 322/742](スタートデッキ100「バトルコレクション」),"Cofagrigus [MC 322/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-322,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49038-of.webp,MC,322/742,,
740516,https://snkrdunk.com/apparels/740516,ゴチム [MC 323/742](スタートデッキ100「バトルコレクション」),"Gothita [MC 323/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-323,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49039-of.webp,MC,323/742,,
740517,https://snkrdunk.com/apparels/740517,ゴチミル [MC 324/742](スタートデッキ100「バトルコレクション」),"Gothorita [MC 324/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-324,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49040-of.webp,MC,324/742,,
740518,https://snkrdunk.com/apparels/740518,ゴチルゼル [MC 325/742](スタートデッキ100「バトルコレクション」),"Gothitelle [MC 325/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-325,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49041-of.webp,MC,325/742,,
740519,https://snkrdunk.com/apparels/740519,リグレー [MC 326/742](スタートデッキ100「バトルコレクション」),"Elgyem [MC 326/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-326,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49042-of.webp,MC,326/742,,
740520,https://snkrdunk.com/apparels/740520,オーベム [MC 327/742](スタートデッキ100「バトルコレクション」),"Beheeyem [MC 327/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-327,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49043-of.webp,MC,327/742,,
740521,https://snkrdunk.com/apparels/740521,フラベベ [MC 328/742](スタートデッキ100「バトルコレクション」),"Flabebe [MC 328/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-328,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49044-of.webp,MC,328/742,,
740522,https://snkrdunk.com/apparels/740522,フラエッテ [MC 329/742](スタートデッキ100「バトルコレクション」),"Floette [MC 329/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-329,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49045-of.webp,MC,329/742,,
740523,https://snkrdunk.com/apparels/740523,フラージェス [MC 330/742](スタートデッキ100「バトルコレクション」),"Florges [MC 330/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-330,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49046-of.webp,MC,330/742,,
740524,https://snkrdunk.com/apparels/740524,ニャスパー [MC 331/742](スタートデッキ100「バトルコレクション」),"Espurr [MC 331/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-331,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49047-of.webp,MC,331/742,,
740525,https://snkrdunk.com/apparels/740525,ニャオニクス [MC 332/742](スタートデッキ100「バトルコレクション」),"Meowstic [MC 332/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-332,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49048-of.webp,MC,332/742,,
740526,https://snkrdunk.com/apparels/740526,ペロッパフ [MC 333/742](スタートデッキ100「バトルコレクション」),"Swirlix [MC 333/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-333,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49049-of.webp,MC,333/742,,
740527,https://snkrdunk.com/apparels/740527,ペロリーム [MC 334/742](スタートデッキ100「バトルコレクション」),"Slurpuff [MC 334/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-334,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49050-of.webp,MC,334/742,,
740528,https://snkrdunk.com/apparels/740528,ゼルネアス [MC 335/742](スタートデッキ100「バトルコレクション」),"Xerneas [MC 335/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-335,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49051-of.webp,MC,335/742,,
740529,https://snkrdunk.com/apparels/740529,オドリドリ [MC 336/742](スタートデッキ100「バトルコレクション」),"Oricorio [MC 336/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-336,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49052-of.webp,MC,336/742,,
740530,https://snkrdunk.com/apparels/740530,オドリドリ [MC 337/742](スタートデッキ100「バトルコレクション」),"Oricorio [MC 337/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-337,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49053-of.webp,MC,337/742,,
740531,https://snkrdunk.com/apparels/740531,リーリエのアブリー :ミラー [MC 338/742](スタートデッキ100「バトルコレクション」),"Lillie's Cutiefly :Mirror [MC 338/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-338,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49054-of.webp,MC,338/742,,
740532,https://snkrdunk.com/apparels/740532,リーリエのアブリボン :ミラー [MC 339/742](スタートデッキ100「バトルコレクション」),"Lillie's Ribombee :Mirror [MC 339/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-339,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49055-of.webp,MC,339/742,,
740533,https://snkrdunk.com/apparels/740533,リーリエのキュワワー :ミラー [MC 340/742](スタートデッキ100「バトルコレクション」),"Lillie's Comfey :Mirror [MC 340/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-340,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49056-of.webp,MC,340/742,,
740534,https://snkrdunk.com/apparels/740534,ロケット団のミミッキュ [MC 341/742](スタートデッキ100「バトルコレクション」),"Team Rocket's Mimikyu [MC 341/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-341,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49057-of.webp,MC,341/742,,
740535,https://snkrdunk.com/apparels/740535,カプ・テテフ [MC 342/742](スタートデッキ100「バトルコレクション」),"Tapu Lele [MC 342/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-342,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49058-of.webp,MC,342/742,,
740536,https://snkrdunk.com/apparels/740536,ベロバー [MC 343/742](スタートデッキ100「バトルコレクション」),"Impidimp [MC 343/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-343,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49059-of.webp,MC,343/742,,
740537,https://snkrdunk.com/apparels/740537,ギモー [MC 344/742](スタートデッキ100「バトルコレクション」),"Morgrem [MC 344/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-344,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49060-of.webp,MC,344/742,,
740538,https://snkrdunk.com/apparels/740538,オーロンゲ [MC 345/742](スタートデッキ100「バトルコレクション」),"Grimmsnarl [MC 345/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-345,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49061-of.webp,MC,345/742,,
740539,https://snkrdunk.com/apparels/740539,ラブトロス [MC 346/742](スタートデッキ100「バトルコレクション」),"Enamorus [MC 346/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-346,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49062-of.webp,MC,346/742,,
740540,https://snkrdunk.com/apparels/740540,パピモッチ [MC 347/742](スタートデッキ100「バトルコレクション」),"Fidough [MC 347/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-347,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49063-of.webp,MC,347/742,,
740541,https://snkrdunk.com/apparels/740541,バウッツェルex [MC 348/742](スタートデッキ100「バトルコレクション」),"Dachsbun ex [MC 348/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-348,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49064-of.webp,MC,348/742,,
740542,https://snkrdunk.com/apparels/740542,ボチ [MC 349/742](スタートデッキ100「バトルコレクション」),"Greavard [MC 349/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-349,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49065-of.webp,MC,349/742,,
740543,https://snkrdunk.com/apparels/740543,ボチ :ミラー [MC 349/742](スタートデッキ100「バトルコレクション」),"Greavard :Mirror [MC 349/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-349,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49526-of.webp,MC,349/742,,
740544,https://snkrdunk.com/apparels/740544,ハカドッグ [MC 350/742](スタートデッキ100「バトルコレクション」),"Houndstone [MC 350/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-350,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49066-of.webp,MC,350/742,,
740545,https://snkrdunk.com/apparels/740545,ハカドッグex [MC 351/742](スタートデッキ100「バトルコレクション」),"Houndstone ex [MC 351/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-351,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49067-of.webp,MC,351/742,,
740546,https://snkrdunk.com/apparels/740546,ハカドッグex :ミラー [MC 351/742](スタートデッキ100「バトルコレクション」),"Houndstone ex :Mirror [MC 351/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-351,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49527-of.webp,MC,351/742,,
740547,https://snkrdunk.com/apparels/740547,サケブシッポ [MC 352/742](スタートデッキ100「バトルコレクション」),"Scream Tail [MC 352/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-352,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49068-of.webp,MC,352/742,,
740548,https://snkrdunk.com/apparels/740548,ハバタクカミ [MC 354/742](スタートデッキ100「バトルコレクション」),"Flutter Mane [MC 354/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-354,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49070-of.webp,MC,354/742,,
740549,https://snkrdunk.com/apparels/740549,ハバタクカミ [MC 355/742](スタートデッキ100「バトルコレクション」),"Flutter Mane [MC 355/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-355,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49071-of.webp,MC,355/742,,
740550,https://snkrdunk.com/apparels/740550,コレクレー [MC 356/742](スタートデッキ100「バトルコレクション」),"Gimmighoul [MC 356/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-356,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49072-of.webp,MC,356/742,,
740551,https://snkrdunk.com/apparels/740551,テツノブジン [MC 357/742](スタートデッキ100「バトルコレクション」),"Iron Valiant [MC 357/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-357,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49073-of.webp,MC,357/742,,
740552,https://snkrdunk.com/apparels/740552,マシマシラ [MC 358/742](スタートデッキ100「バトルコレクション」),"Munkidori [MC 358/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-358,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49074-of.webp,MC,358/742,,
740553,https://snkrdunk.com/apparels/740553,キチキギス [MC 359/742](スタートデッキ100「バトルコレクション」),"Fezandipiti [MC 359/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-359,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49075-of.webp,MC,359/742,,
740554,https://snkrdunk.com/apparels/740554,テツノイワオ [MC 360/742](スタートデッキ100「バトルコレクション」),"Iron Boulder [MC 360/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-360,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49076-of.webp,MC,360/742,,
740555,https://snkrdunk.com/apparels/740555,テツノカシラex [MC 361/742](スタートデッキ100「バトルコレクション」),"Iron Crown ex [MC 361/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-361,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49077-of.webp,MC,361/742,,
740556,https://snkrdunk.com/apparels/740556,ウリムー [MC 362/742](スタートデッキ100「バトルコレクション」),"Swinub [MC 362/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-362,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49078-of.webp,MC,362/742,,
740557,https://snkrdunk.com/apparels/740557,イノムー [MC 363/742](スタートデッキ100「バトルコレクション」),"Piloswine [MC 363/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-363,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49079-of.webp,MC,363/742,,
740558,https://snkrdunk.com/apparels/740558,マンムーex [MC 364/742](スタートデッキ100「バトルコレクション」),"Mamoswine ex [MC 364/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-364,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49080-of.webp,MC,364/742,,
740559,https://snkrdunk.com/apparels/740559,ゴマゾウ [MC 365/742](スタートデッキ100「バトルコレクション」),"Phanpy [MC 365/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-365,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49081-of.webp,MC,365/742,,
740560,https://snkrdunk.com/apparels/740560,ドンファン [MC 366/742](スタートデッキ100「バトルコレクション」),"Donphan [MC 366/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-366,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49082-of.webp,MC,366/742,,
740561,https://snkrdunk.com/apparels/740561,カポエラー [MC 367/742](スタートデッキ100「バトルコレクション」),"Hitmontop [MC 367/742](Start Deck 100 ""Battle Collection"")",pkmn-tcg-MC-367,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-12-49083-of.webp,MC,367/742,,
