our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,notes
CRD_D629521D90F54884A73E,유카리,m3_ja-116,M3,116/080,SAR,cards/CRD_D629521D90F54884A73E_jp.png,753275,https://snkrdunk.com/apparels/753275,ユカリ SAR [M3 116/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-116,https://cdn.snkrdunk.com/upload_bg_removed/20260122103103-0.webp,snktest_m3/753275.png,CRD_D629521D90F54884A73E,CRD_D629521D90F54884A73E,유카리,0.8649,"[{""cardId"": ""CRD_D629521D90F54884A73E"", ""name"": ""유카리"", ""rarity"": ""SAR"", ""ref"": ""m3_ja-116"", ""score"": 0.8649}]",HIGH_CONFIDENCE,HIGH,
CRD_9C2FBC6E628A43679527,명희의 격려,m3_ja-115,M3,115/080,SAR,cards/CRD_9C2FBC6E628A43679527_jp.png,753274,https://snkrdunk.com/apparels/753274,メイのはげまし SAR [M3 115/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-115,https://cdn.snkrdunk.com/upload_bg_removed/20260121064939-0.webp,snktest_m3/753274.png,CRD_9C2FBC6E628A43679527,CRD_9C2FBC6E628A43679527,명희의 격려,0.7941,"[{""cardId"": ""CRD_9C2FBC6E628A43679527"", ""name"": ""명희의 격려"", ""rarity"": ""SAR"", ""ref"": ""m3_ja-115"", ""score"": 0.7941}]",HIGH_CONFIDENCE,HIGH,
CRD_3430850B62B446C68A45A9CFE3741141,메가지가르데 EX,m3_ja-117,M3,117/080,MUR,cards/CRD_3430850B62B446C68A45A9CFE3741141_jp.png,753276,https://snkrdunk.com/apparels/753276,メガジガルデex MUR [M3 117/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-117,https://cdn.snkrdunk.com/upload_bg_removed/20260122103053-0.webp,snktest_m3/753276.png,CRD_3430850B62B446C68A45A9CFE3741141,CRD_3430850B62B446C68A45A9CFE3741141,메가지가르데 EX,0.7063,"[{""cardId"": ""CRD_3430850B62B446C68A45A9CFE3741141"", ""name"": ""메가지가르데 EX"", ""rarity"": ""MUR"", ""ref"": ""m3_ja-117"", ""score"": 0.7063}, {""cardId"": ""CRD_16D77C3BD5F547639930"", ""name"": ""오리진 디아루가 VSTAR"", ""rarity"": ""HR"", ""ref"": ""swsh10d_ja-82"", ""score"": 0.6965}, {""cardId"": ""CRD_45D3A4AB841C4BAAA951"", ""name"": ""두랄루돈 VMAX"", ""rarity"": ""UR"", ""ref"": ""swsh8b_ja-285"", ""score"": 0.6898}]",HIGH_CONFIDENCE,HIGH,low_confidence
CRD_22E4A9137EB24D9A80C6,아마루르가,m3_ja-84,M3,084/080,AR,cards/CRD_22E4A9137EB24D9A80C6_jp.png,753307,https://snkrdunk.com/apparels/753307,アマルルガ AR [M3 084/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-084,https://cdn.snkrdunk.com/upload_bg_removed/20260122103609-0.webp,snktest_m3/753307.png,CRD_22E4A9137EB24D9A80C6,CRD_22E4A9137EB24D9A80C6,아마루르가,0.8721,"[{""cardId"": ""CRD_22E4A9137EB24D9A80C6"", ""name"": ""아마루르가"", ""rarity"": ""AR"", ""ref"": ""m3_ja-84"", ""score"": 0.8721}]",HIGH_CONFIDENCE,HIGH,
CRD_8262D9F6F80441E59604,드래피온,m3_ja-90,M3,090/080,AR,cards/CRD_8262D9F6F80441E59604_jp.png,753310,https://snkrdunk.com/apparels/753310,ドラピオン AR [M3 090/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-090,https://cdn.snkrdunk.com/upload_bg_removed/20260122103458-0.webp,snktest_m3/753310.png,CRD_8262D9F6F80441E59604,CRD_8262D9F6F80441E59604,드래피온,0.812,"[{""cardId"": ""CRD_8262D9F6F80441E59604"", ""name"": ""드래피온"", ""rarity"": ""AR"", ""ref"": ""m3_ja-90"", ""score"": 0.812}]",HIGH_CONFIDENCE,HIGH,
CRD_A5AE23F47A2B49218CB4,대코파스,m3_ja-88,M3,088/080,AR,cards/CRD_A5AE23F47A2B49218CB4_jp.png,753308,https://snkrdunk.com/apparels/753308,ダイノーズ AR [M3 088/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-088,https://cdn.snkrdunk.com/upload_bg_removed/20260122103527-0.webp,snktest_m3/753308.png,CRD_A5AE23F47A2B49218CB4,CRD_A5AE23F47A2B49218CB4,대코파스,0.8374,"[{""cardId"": ""CRD_A5AE23F47A2B49218CB4"", ""name"": ""대코파스"", ""rarity"": ""AR"", ""ref"": ""m3_ja-88"", ""score"": 0.8374}]",HIGH_CONFIDENCE,HIGH,
CRD_FC1C8B1689F940ADBE7B,염뉴트 ex,m3_ja-94,M3,094/080,SR,cards/CRD_FC1C8B1689F940ADBE7B_jp.png,753311,https://snkrdunk.com/apparels/753311,エンニュートex SR [M3 094/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-094,https://cdn.snkrdunk.com/upload_bg_removed/20260122103351-0.webp,snktest_m3/753311.png,CRD_FC1C8B1689F940ADBE7B,CRD_FC1C8B1689F940ADBE7B,염뉴트 ex,0.8955,"[{""cardId"": ""CRD_FC1C8B1689F940ADBE7B"", ""name"": ""염뉴트 ex"", ""rarity"": ""SR"", ""ref"": ""m3_ja-94"", ""score"": 0.8955}]",HIGH_CONFIDENCE,HIGH,
CRD_A3B4ED53661A41AD9BE6,티고라스,m3_ja-89,M3,089/080,AR,cards/CRD_A3B4ED53661A41AD9BE6_jp.png,753309,https://snkrdunk.com/apparels/753309,チゴラス AR [M3 089/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-089,https://cdn.snkrdunk.com/upload_bg_removed/20260122103517-0.webp,snktest_m3/753309.png,CRD_A3B4ED53661A41AD9BE6,CRD_A3B4ED53661A41AD9BE6,티고라스,0.756,"[{""cardId"": ""CRD_A3B4ED53661A41AD9BE6"", ""name"": ""티고라스"", ""rarity"": ""AR"", ""ref"": ""m3_ja-89"", ""score"": 0.756}]",HIGH_CONFIDENCE,HIGH,
,,,M3,101/080,,,753312,https://snkrdunk.com/apparels/753312,エネルギーリサイクル SR [M3 101/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-101,https://cdn.snkrdunk.com/upload_bg_removed/20260122103257-0.webp,snktest_m3/753312.png,,,,,[],NOT_FOUND,LOW,scan error (not_found)
,,,M3,103/080,,,753314,https://snkrdunk.com/apparels/753314,ポケパッド SR [M3 103/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-103,https://cdn.snkrdunk.com/upload_bg_removed/20260122103243-0.webp,snktest_m3/753314.png,,,,,[],NOT_FOUND,LOW,scan error (not_found)
,,,M3,102/080,,,753313,https://snkrdunk.com/apparels/753313,せいなるはい SR [M3 102/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-102,https://cdn.snkrdunk.com/upload_bg_removed/20260122103250-0.webp,snktest_m3/753313.png,,,,,[],NOT_FOUND,LOW,scan error (not_found)
,,,M3,104/080,,,753315,https://snkrdunk.com/apparels/753315,ワンダーパッチ SR [M3 104/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-104,https://cdn.snkrdunk.com/upload_bg_removed/20260122103235-0.webp,snktest_m3/753315.png,,,,,[],NOT_FOUND,LOW,scan error (not_found)
,,,M3,109/080,,,753316,https://snkrdunk.com/apparels/753316,活力の森 SR [M3 109/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-109,https://cdn.snkrdunk.com/upload_bg_removed/20260122103157-0.webp,snktest_m3/753316.png,,CRD_80D85D7E34F6498CA2BB,과사삭벌레,0.7291,"[{""cardId"": ""CRD_80D85D7E34F6498CA2BB"", ""name"": ""과사삭벌레"", ""rarity"": ""AR"", ""ref"": ""sv5a_ja-77"", ""score"": 0.7291}]",IMAGE_MATCH_ONLY,MED,low_confidence
,,,M3,110/080,,,753317,https://snkrdunk.com/apparels/753317,ミアレシティ SR [M3 110/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-110,https://cdn.snkrdunk.com/upload_bg_removed/20260122103150-0.webp,snktest_m3/753317.png,,,,,[],NOT_FOUND,LOW,scan error (not_found)
CRD_2A791989EEEC43F481BB,메가지가르데 ex,m3_ja-113,M3,113/080,SAR,cards/CRD_2A791989EEEC43F481BB_jp.png,753318,https://snkrdunk.com/apparels/753318,メガジガルデex SAR [M3 113/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-113,https://cdn.snkrdunk.com/upload_bg_removed/20260123012032-0.webp,snktest_m3/753318.png,CRD_2A791989EEEC43F481BB,CRD_2A791989EEEC43F481BB,메가지가르데 ex,0.7987,"[{""cardId"": ""CRD_2A791989EEEC43F481BB"", ""name"": ""메가지가르데 ex"", ""rarity"": ""SAR"", ""ref"": ""m3_ja-113"", ""score"": 0.7987}]",HIGH_CONFIDENCE,HIGH,
