card_id,card_name,snkrdunk_apparel_id,usedMinPrice,usedListingCount,A1m_n,A1m_med,A1m_latest,A3m_n,A3m_med,A3m_latest,PSA10_1m_n,PSA10_1m_med,PSA10_3m_n,PSA10_3m_med,PSA9_1m_n,PSA9_1m_med,PSA9_3m_n,PSA9_3m_med,data_quality
CRD_A5262AA512774BD48654,오거폰 벽록의 가면 ex,256066,0,0,0,0,0,1,1000,1000,1,7680,1,7680,0,0,0,0,A_3M_FB
CRD_73D90A06E6DB40DDAA41,드래펄트 ex,256072,1480,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_C6416A62FDD4411AB1F8,오거폰 벽록의 가면 ex,256075,1820,3,0,0,0,0,0,0,1,15000,1,15000,0,0,0,0,PSA_ONLY
CRD_866697DBC93748BB918F,해골몽,277252,1000,6,0,0,0,0,0,0,1,7316,4,7657,3,3000,3,3000,PSA_ONLY
CRD_70077C9FC60D4FE79B50,미라몽,277253,1000,5,0,0,0,0,0,0,2,6740,3,7200,2,2500,3,2500,PSA_ONLY
CRD_8E2251855B704464BC69,야느와르몽,277254,1000,11,0,0,0,0,0,0,4,6875,7,6899,1,2500,1,2500,PSA_ONLY
CRD_B974BC191042453495AE,부르르룸 ex,284954,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_86A21D43FBB24CD683A0,킹드라 ex,283610,1000,1,0,0,0,0,0,0,1,7500,0,0,0,0,0,0,PSA_ONLY
CRD_C196FA6AC8E54F73BCFC,끼리동,284952,1000,5,0,0,0,0,0,0,1,6800,5,6600,0,0,0,0,PSA_ONLY
CRD_DD06C8FFD2E54F1D8E3A,기로치 ex,284962,4500,14,0,0,0,2,4675,4700,1,8900,5,8900,0,0,0,0,A_3M_FB
CRD_B2DC0D2AA6314050AD58,복숭악동 ex,284958,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_7C85BF18CA654083A203,조타구 ex,284955,8888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_E72D415657964CCC8728,크세로시키의 속셈,284959,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_0F7A7025AB184454A00D,알로라 식스테일 V,288632,1500,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_16E335392D60451C9EA2,샤크니아 EX,381820,6980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_ACB87F5FA19140FD900F,이벨타르 BREAK,387181,2980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_82D8D5556A4F436CBB28,과미드라 ex,307292,3000,4,0,0,0,1,3000,3000,0,0,2,10650,0,0,0,0,A_3M_FB
CRD_79AB9AEE4B68458A98DD,비리디온,608541,7700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_9A786ECB0C1441ADB6E9,야부엉,307291,1000,6,1,1000,1000,2,1000,1000,1,6800,4,7016,0,0,0,0,A_1M_OK
CRD_A6FB671794764AE49A66,모단단게,318879,7667,2,0,0,0,0,0,0,1,6099,9,6500,0,0,1,2500,PSA_ONLY
CRD_AF8F92C88D0B402AAEA9,래비풋,318878,1000,7,0,0,0,0,0,0,1,6800,3,6750,0,0,0,0,PSA_ONLY
CRD_E71149545CE345E28C39,요가램 ex,320233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_E500DF40158C4A7EA42A,꼴깍몬,320346,1000,5,0,0,0,1,1000,1000,2,7240,5,6680,0,0,0,0,A_3M_FB
CRD_EFC2C3BACC80463C9CF8,마빌크,320345,1000,9,0,0,0,0,0,0,2,6534,3,6500,1,2899,1,2899,PSA_ONLY
CRD_C481BCD104FC4D799A10,타로,320348,1200,20,1,1200,1200,3,1700,1200,2,11390,10,10500,0,0,6,2540,A_1M_OK
CRD_6F764A195E6E4FF8BE8B,프테라 GX,321556,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_6424F4FA8DB0409195E6,라프라스 ex,325074,3500,4,0,0,0,0,0,0,3,12500,8,11750,0,0,0,0,PSA_ONLY
CRD_AC9F89AB71524BC4AD8B,라티오스 GX,321603,4800,9,0,0,0,0,0,0,1,28500,3,17800,0,0,1,4980,PSA_ONLY
