gap_type,source,our_card_id_if_any,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,scanner_top1_card_id,scanner_top1_score,scanner_top5_json,reason,action
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93002,pkmn-tcg-5,ハイパーボール: プロモ[S-P 277](プロモーションカード「S-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240812093948-3.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93004,pkmn-tcg-10,エーフィVMAX: SA/プロモ[S-P 189](プロモーションカード「S-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240228072428-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93008,pkmn-tcg-38,ミュウツーV: プロモ[S-P 273](プロモーションカード「S-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240812093949-7.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_E22C2110EB8743EFA3E1,팔데아의 학생,sv4a_ja-346,SR,93046,pkmn-tcg-SM-P-401,アローラの仲間たち: プロモ[SM-P 401](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20230629020006-0.webp,CRD_E22C2110EB8743EFA3E1,0.7186,"[{""cardId"": ""CRD_E22C2110EB8743EFA3E1"", ""name"": ""팔데아의 학생"", ""rarity"": ""SR"", ""ref"": ""sv4a_ja-346"", ""score"": 0.7186}, {""cardId"": ""CRD_59D5ED41D1EE424B829A"", ""name"": ""찬석"", ""rarity"": ""SAR"", ""ref"": ""swsh12a_ja-240"", ""score"": 0.7056}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93055,pkmn-tcg-SM-P-396,グズマ エクストラバトルの日: プロモ[SM-P 396](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831092600-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93054,pkmn-tcg-SM-P-248,プレイヤーズセレモニー: プロモ[SM-P 248](プロモーションカード「SM-P」2018),https://cdn.snkrdunk.com/upload_bg_removed/20220831092530-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93051,pkmn-tcg-SM-P-397,リーリエ エクストラバトルの日: プロモ[SM-P 397](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20230725032752-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_A126650873921A29A1AC79F0125D6C30,요코하마 피카츄 (282),smp_ja-282,PR,93050,pkmn-tcg-SM-P-282,ヨコハマのピカチュウ: プロモ[SM-P 282](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831092150-0.webp,CRD_A126650873921A29A1AC79F0125D6C30,0.833,"[{""cardId"": ""CRD_A126650873921A29A1AC79F0125D6C30"", ""name"": ""요코하마 피카츄 (282)"", ""rarity"": ""PR"", ""ref"": ""smp_ja-282"", ""score"": 0.833}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_1490247326A741529076,삐삐,smp_ja-381,SM-P,93048,pkmn-tcg-SM-P-381,ピッピ (リーリエ) : プロモ[SM-P 381](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20230706053136-0.webp,CRD_1490247326A741529076,0.8285,"[{""cardId"": ""CRD_1490247326A741529076"", ""name"": ""삐삐"", ""rarity"": ""SM-P"", ""ref"": ""smp_ja-381"", ""score"": 0.8285}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_906D53B007894C89866E,뮤츠 GX,smp_ja-364,SM-P,93052,pkmn-tcg-SM-P-364,ミュウツーGX: 争奪戦プロモ[SM-P 364](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831092420-0.webp,CRD_906D53B007894C89866E,0.9079,"[{""cardId"": ""CRD_906D53B007894C89866E"", ""name"": ""뮤츠 GX"", ""rarity"": ""SM-P"", ""ref"": ""smp_ja-364"", ""score"": 0.9079}, {""cardId"": ""CRD_56E74A6F8ED840E5855A"", ""name"": ""뮤츠 GX"", ""rarity"": ""SM-P"", ""ref"": ""smp_ja-363"", ""score"": 0.8824}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_5E8B9D8B826549B5BE0E,글레이시아 GX,sm8b_ja-27,RR,93049,pkmn-tcg-SM-P-269,グレイシアGX: プロモ[SM-P 269](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831092106-0.webp,CRD_5E8B9D8B826549B5BE0E,0.6371,"[{""cardId"": ""CRD_5E8B9D8B826549B5BE0E"", ""name"": ""글레이시아 GX"", ""rarity"": ""RR"", ""ref"": ""sm8b_ja-27"", ""score"": 0.6371}, {""cardId"": ""CRD_326058E0F4514E8083F0"", ""name"": ""글레이시아 GX"", ""rarity"": ""RR"", ""ref"": ""sm5m_ja-11"", ""score"": 0.6371}, {""cardId"": ""CRD_CC95EE0439504360B961"", ""name"": ""글레이시아 GX"", ""rarity"": ""SM-P"", ""ref"": ""smp-SM147"", ""score"": 0.6047}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93053,pkmn-tcg-SM-P-395,アセロラ エクストラバトルの日: プロモ[SM-P 395](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831092452-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_F42636A1EA3142B89771,리피아 GX,NO_JP,SM-P,93047,pkmn-tcg-SM-P-268,リーフィアGX: プロモ[SM-P 268](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831091939-0.webp,CRD_F42636A1EA3142B89771,0.6522,"[{""cardId"": ""CRD_F42636A1EA3142B89771"", ""name"": ""리피아 GX"", ""rarity"": ""SM-P"", ""ref"": ""smp-SM146"", ""score"": 0.6522}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93056,pkmn-tcg-SM-P-289,ミミッキュ ムンク展: プロモ[SM-P 289](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831092724-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_A6337035E8634701BFAB,피카츄,smp_ja-249,SM-P,93059,pkmn-tcg-173,チャンピオンズフェスティバル 2019: プロモ[SM-P](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831092925-0.webp,CRD_A6337035E8634701BFAB,0.74,"[{""cardId"": ""CRD_A6337035E8634701BFAB"", ""name"": ""피카츄"", ""rarity"": ""SM-P"", ""ref"": ""smp_ja-249"", ""score"": 0.74}, {""cardId"": ""CRD_1EB1317E215A4D5FABEE"", ""name"": ""피카츄"", ""rarity"": ""SM-P"", ""ref"": ""smp_ja-242"", ""score"": 0.7356}, {""cardId"": ""CRD_7EBB72125E6E436B8589"", ""name"": ""피카츄"", ""rarity"": ""SM-P"", ""ref"": ""sm11-55"", ""score"": 0.7182}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93060,pkmn-tcg-SM-P-400,ピカチュウ: プロモ[SM-P 400](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240518060259-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93063,pkmn-tcg-SM-P-209,火消し姿のピカチュウ: プロモ[SM-P 209](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831093213-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93061,pkmn-tcg-SM-P-406,ともだちてちょう: プロモ[SM-P 406](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831093105-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93071,pkmn-tcg-SM-P-369,ピカチュウ: プロモ[SM-P 369](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901015323-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93075,pkmn-tcg-224,殿堂の書: プロモ[SM-P](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240810020603-8.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_884CDFFE6A873A39565CEB82B1769CBA,마리오 피카츄 (293),xyp_ja-293,PR,93062,pkmn-tcg-190,袴姿のピカチュウ: プロモ[SM-P 208](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220831093141-0.webp,CRD_884CDFFE6A873A39565CEB82B1769CBA,0.6561,"[{""cardId"": ""CRD_884CDFFE6A873A39565CEB82B1769CBA"", ""name"": ""마리오 피카츄 (293)"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-293"", ""score"": 0.6561}, {""cardId"": ""CRD_1497BC4BBC0A034B7E00921E88FE436E"", ""name"": ""루이지 피카츄"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-295"", ""score"": 0.6192}, {""cardId"": ""CRD_79D926D3E72B4438C2AB"", ""name"": ""팀 플라즈마 보스 피카츄"", ""rarity"": ""PR"", ""ref"": ""smp_ja-195"", ""score"": 0.6074}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_CF5D258E4C4326F86707666D9357D5A2,요코하마 피카츄 (WCS),smp_ja-280,PR,93067,pkmn-tcg-SM-P-280,ヨコハマのピカチュウ: プロモ[SM-P 280](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240812092923-8.webp,CRD_CF5D258E4C4326F86707666D9357D5A2,0.8943,"[{""cardId"": ""CRD_CF5D258E4C4326F86707666D9357D5A2"", ""name"": ""요코하마 피카츄 (WCS)"", ""rarity"": ""PR"", ""ref"": ""smp_ja-280"", ""score"": 0.8943}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93070,pkmn-tcg-SM-P-236,ウルトラネクロズマ: プロモ[SM-P 236](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901015217-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93077,pkmn-tcg-SM-P-366,リザードン: プロモ[SM-P 366](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901020221-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_49B4C54D818A4CF7BA81,M리자몽 EX,xy2_ja-55,RR,93065,pkmn-tcg-SM-P-405,ミュウツー: プロモ[SM-P 405](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901014559-0.webp,CRD_49B4C54D818A4CF7BA81,0.73,"[{""cardId"": ""CRD_49B4C54D818A4CF7BA81"", ""name"": ""M리자몽 EX"", ""rarity"": ""RR"", ""ref"": ""xy2_ja-55"", ""score"": 0.73}, {""cardId"": ""CRD_67BA3BC34CA2443FAB1C"", ""name"": ""리자몽 EX"", ""rarity"": ""RR"", ""ref"": ""cp6_ja-12"", ""score"": 0.719}, {""cardId"": ""CRD_DBCFA7ECE36342E69356"", ""name"": ""리자몽 EX"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-30"", ""score"": 0.708}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_F2B2E546E51145C0BB3F,피카츄 V,NO_JP,RR,93069,pkmn-tcg-SM-P-393,ピカチュウGX: プロモ[SM-P 393](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20230628052555-0.webp,CRD_F2B2E546E51145C0BB3F,0.7148,"[{""cardId"": ""CRD_F2B2E546E51145C0BB3F"", ""name"": ""피카츄 V"", ""rarity"": ""RR"", ""ref"": ""swshp-SWSH198"", ""score"": 0.7148}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93064,pkmn-tcg-SM-P-320,あばれる君: プロモ[SM-P 320](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240810020601-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93074,pkmn-tcg-SM-P-247,イーブイ: プロモ[SM-P 247](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901015719-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_C41854F7D20E8756104AAA3F9F81E8EA,요코하마 피카츄 (283),smp_ja-283,PR,93078,pkmn-tcg-SM-P-283,ヨコハマのピカチュウ: プロモ[SM-P 283](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240812092923-7.webp,CRD_C41854F7D20E8756104AAA3F9F81E8EA,0.7093,"[{""cardId"": ""CRD_C41854F7D20E8756104AAA3F9F81E8EA"", ""name"": ""요코하마 피카츄 (283)"", ""rarity"": ""PR"", ""ref"": ""smp_ja-283"", ""score"": 0.7093}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93076,pkmn-tcg-SM-P-Movie,古代ミュウ P [SM-P 2019](プロモーションカード「映画 ミュウツーの逆襲 EVOLUTION パンフレット」),https://cdn.snkrdunk.com/upload_bg_removed/20241128043331-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_8EA0FE1484B142468656,명탐정 피카츄,NO_JP,SM-P,93066,pkmn-tcg-SM-P-338,名探偵ピカチュウ P [SM-P 338](プロモーションカード「スペシャルジャンボカードパック 名探偵ピカチュウ リザードンGX Ver.」),https://cdn.snkrdunk.com/upload_bg_removed/20220901014703-0.webp,CRD_8EA0FE1484B142468656,0.7055,"[{""cardId"": ""CRD_8EA0FE1484B142468656"", ""name"": ""명탐정 피카츄"", ""rarity"": ""SM-P"", ""ref"": ""det1-10"", ""score"": 0.7055}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_7EBB72125E6E436B8589,피카츄,NO_JP,SM-P,93081,pkmn-tcg-SM-P-291,ピカチュウ: プロモ[SM-P 291](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240812092922-5.webp,CRD_7EBB72125E6E436B8589,0.8153,"[{""cardId"": ""CRD_7EBB72125E6E436B8589"", ""name"": ""피카츄"", ""rarity"": ""SM-P"", ""ref"": ""sm11-55"", ""score"": 0.8153}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_5C104F12C3C94EE49C84,명탐정 피카츄,smp_ja-337,SM-P,93080,pkmn-tcg-SM-P-337,名探偵ピカチュウ: プロモ[SM-P 337](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901020641-0.webp,CRD_5C104F12C3C94EE49C84,0.688,"[{""cardId"": ""CRD_5C104F12C3C94EE49C84"", ""name"": ""명탐정 피카츄"", ""rarity"": ""SM-P"", ""ref"": ""smp_ja-337"", ""score"": 0.688}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_4B160DDD24C54ACA8B72,피카츄,xyp_ja-156,PR,93079,pkmn-tcg-SM-P-276,ピカチュウ: プロモ[SM-P 276](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20230628053912-0.webp,CRD_4B160DDD24C54ACA8B72,0.7628,"[{""cardId"": ""CRD_4B160DDD24C54ACA8B72"", ""name"": ""피카츄"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-156"", ""score"": 0.7628}, {""cardId"": ""CRD_7A536360D1EC48FB885A"", ""name"": ""피카츄"", ""rarity"": ""PR"", ""ref"": ""xy3-27"", ""score"": 0.7274}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_2C1DA4E5D17E428CB8AF,M얼음귀신 EX,xy8b_ja-15,RR,413492,pkmn-tcg-XY-P-C-MB-TW,ビクトリーリング P [XY-P](プロモーションカード「リザードンメガバトル 上位入賞」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-030366_T_BIKUTORIRINGU-of.webp,CRD_2C1DA4E5D17E428CB8AF,0.7125,"[{""cardId"": ""CRD_2C1DA4E5D17E428CB8AF"", ""name"": ""M얼음귀신 EX"", ""rarity"": ""RR"", ""ref"": ""xy8b_ja-15"", ""score"": 0.7125}, {""cardId"": ""CRD_C896B50891774460A672"", ""name"": ""찬란한 강철톤"", ""rarity"": ""K"", ""ref"": ""swsh10a_ja-50"", ""score"": 0.6707}, {""cardId"": ""CRD_70689C813B324C93AC03"", ""name"": ""M강철톤 EX"", ""rarity"": ""SR"", ""ref"": ""xy11f_ja-57"", ""score"": 0.6643}, {""cardId"": ""CRD_9E509ECA5F2F4685A780"", ""name"": ""M강철톤 EX"", ""rarity"": ""RR"", ""ref"": ""xy11f_ja-33"", ""score"": 0.6576}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_1D2EAA1FB1D44C0781F7,고래왕 EX,xy5t_ja-17,RR,93128,pkmn-tcg-426,基本水エネルギー 20thアニバーサリー: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240816020737-8.webp,CRD_1D2EAA1FB1D44C0781F7,0.625,"[{""cardId"": ""CRD_1D2EAA1FB1D44C0781F7"", ""name"": ""고래왕 EX"", ""rarity"": ""RR"", ""ref"": ""xy5t_ja-17"", ""score"": 0.625}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93124,pkmn-tcg-407,スズキサン: プロモ[XY-P 297/XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901031900-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_21AA8DB739564F3E9CA5,피카츄,smp_ja-44,SM-P,93123,pkmn-tcg-405,ピカチュウ 20thアニバーサリーフェスタ: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901031725-0.webp,CRD_21AA8DB739564F3E9CA5,0.7093,"[{""cardId"": ""CRD_21AA8DB739564F3E9CA5"", ""name"": ""피카츄"", ""rarity"": ""SM-P"", ""ref"": ""smp_ja-44"", ""score"": 0.7093}, {""cardId"": ""CRD_2951B02D3BE7488DA649"", ""name"": ""피카츄"", ""rarity"": ""SM-P"", ""ref"": ""sm0_ja-4"", ""score"": 0.6957}, {""cardId"": ""CRD_1F2BEBDD9D0144DC8275"", ""name"": ""피카츄"", ""rarity"": ""PR"", ""ref"": ""svp_ja-242"", ""score"": 0.6855}, {""cardId"": ""CRD_7A536360D1EC48FB885A"", ""name"": ""피카츄"", ""rarity"": ""PR"", ""ref"": ""xy3-27"", ""score"": 0.6504}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93121,pkmn-tcg-400,MサチコEX: プロモ[XY-P 298/XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901031439-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93129,pkmn-tcg-427,基本雷エネルギー 20thアニバーサリー: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901032638-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93130,pkmn-tcg-428,基本超エネルギー 20thアニバーサリー: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901033951-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_51808E684CD64F418E0A,기라티나 VSTAR,swsh12a_ja-111,RRR,93138,pkmn-tcg-586,ギラティナEX P [BW-P 146/BW-P](プロモーションカード「レックウザEX・ギラティナEX オリジナルスーパーレアカードセット ゲット!キャンペーン」),https://cdn.snkrdunk.com/upload_bg_removed/20220901035713-0.webp,CRD_51808E684CD64F418E0A,0.6669,"[{""cardId"": ""CRD_51808E684CD64F418E0A"", ""name"": ""기라티나 VSTAR"", ""rarity"": ""RRR"", ""ref"": ""swsh12a_ja-111"", ""score"": 0.6669}, {""cardId"": ""CRD_283662D99DED475396E1"", ""name"": ""기라티나 VSTAR"", ""rarity"": ""RRR"", ""ref"": ""swsh11_ja-81"", ""score"": 0.6669}, {""cardId"": ""CRD_36FC9D7A34B947999101"", ""name"": ""기라티나 EX"", ""rarity"": ""SR"", ""ref"": ""bw5s_ja-53"", ""score"": 0.6412}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93125,pkmn-tcg-414,ピカチュウ ワゴン: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901032023-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93140,pkmn-tcg-BW-P-0090,ビクトリーカップ優勝 [BW-P](プロモーションカード「バトルカーニバル2011 優勝」),https://cdn.snkrdunk.com/upload_bg_removed/20220901040019-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93133,pkmn-tcg-436,基本フェアリーエネルギー 20thアニバーサリー: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901034606-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_17EF823FA3CB4B2B8EE4,코바르온,bw2_ja-69,SR,93148,pkmn-tcg-598,コバルオン P [BW-P 037/BW-P](プロモーションカード「バトル激強化キャンペーン」),https://cdn.snkrdunk.com/upload_bg_removed/20220901042151-0.webp,CRD_17EF823FA3CB4B2B8EE4,0.6876,"[{""cardId"": ""CRD_17EF823FA3CB4B2B8EE4"", ""name"": ""코바르온"", ""rarity"": ""SR"", ""ref"": ""bw2_ja-69"", ""score"": 0.6876}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_C7804ACB352A4684AF39,비리디온 EX,bw9_ja-77,SR,93150,pkmn-tcg-600,ビリジオン P [BW-P 039/BW-P](プロモーションカード「バトル激強化キャンペーン」),https://cdn.snkrdunk.com/upload_bg_removed/20220901043046-0.webp,CRD_C7804ACB352A4684AF39,0.6901,"[{""cardId"": ""CRD_C7804ACB352A4684AF39"", ""name"": ""비리디온 EX"", ""rarity"": ""SR"", ""ref"": ""bw9_ja-77"", ""score"": 0.6901}, {""cardId"": ""CRD_742200F17881431CB52E"", ""name"": ""비리디온 V"", ""rarity"": ""SR"", ""ref"": ""swsh9a_ja-74"", ""score"": 0.6507}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93146,pkmn-tcg-595,ポカブ P [BW-P 079/BW-P](プロモーションカード「JR北海道ポケモン調査隊 2011」),https://cdn.snkrdunk.com/upload_bg_removed/20220901041822-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93145,pkmn-tcg-594,ツタージャ P [BW-P 078/BW-P](プロモーションカード「JR北海道ポケモン調査隊 2011」),https://cdn.snkrdunk.com/upload_bg_removed/20220901041708-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93134,pkmn-tcg-437,基本草エネルギー 20thアニバーサリー: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901034814-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93126,pkmn-tcg-422,基本悪エネルギー 20thアニバーサリー: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901032140-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
SNK_PROMO_MISMATCH,SNK_CATALOG,CRD_EF941452F94747E4BB8D,다크라이 EX,xy9_ja-55,RR,93152,pkmn-tcg-617,ダークライEX [BW-P](プロモーションカード「バトルカーニバル 2013 スプリング」),https://cdn.snkrdunk.com/upload_bg_removed/20240812092922-2.webp,CRD_EF941452F94747E4BB8D,0.636,"[{""cardId"": ""CRD_EF941452F94747E4BB8D"", ""name"": ""다크라이 EX"", ""rarity"": ""RR"", ""ref"": ""xy9_ja-55"", ""score"": 0.636}, {""cardId"": ""CRD_931723E024444FAA9D5A"", ""name"": ""다크라이 EX"", ""rarity"": ""SR"", ""ref"": ""bw4_ja-72"", ""score"": 0.6343}, {""cardId"": ""CRD_FFAB6C584CD745B9A717"", ""name"": ""다크라이 EX"", ""rarity"": ""RR"", ""ref"": ""bw4_ja-44"", ""score"": 0.6172}]",등록카드 매칭됐으나 번호 불일치(오매핑 의심),REVIEW_MISMATCH
SNK_PROMO_UNMAPPED,SNK_CATALOG,,,,,93135,pkmn-tcg-478,鍛冶屋: プロモ[XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/20220901035009-0.webp,,,[],프로모 의심·저득점(0),MANUAL_CHECK
