gap_type,source,our_card_id_if_any,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,scanner_top1_card_id,scanner_top1_score,scanner_top5_json,reason,action
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_05BEE743A1F84904ADE4,노고고치,sv2p_ja-83,AR,117188,pkmn-tcg-SV2P-083,ノココッチ AR[SV2P 083/071](拡張パック「スノーハザード」),https://cdn.snkrdunk.com/upload_bg_removed/20230414032034-0.webp,CRD_05BEE743A1F84904ADE4,0.8799,"[{""cardId"": ""CRD_05BEE743A1F84904ADE4"", ""name"": ""노고고치"", ""rarity"": ""AR"", ""ref"": ""sv2p_ja-83"", ""score"": 0.8799}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_0630709EA5124F718749,염뉴트,NO_JP,AR,742506,pkmn-tcg-MC-744,エンニュートAR仕様 [MC 744/742](スタートデッキ100「バトルコレクション」),https://cdn.snkrdunk.com/upload_bg_removed/20251219014448-0.webp,CRD_0630709EA5124F718749,0.8611,"[{""cardId"": ""CRD_0630709EA5124F718749"", ""name"": ""염뉴트"", ""rarity"": ""AR"", ""ref"": ""me2pt5-224"", ""score"": 0.8611}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0772C5CF7513F14CB993C2F4FEE4944E,판쵸 피카츄 (레쿠쟈 2),xyp_ja-231,PR,91397,pkmn-tcg-420,ポンチョを着たピカチュウ: プロモ[XY-P 231/XY-P](プロモーションカード「XY-P」),https://cdn.snkrdunk.com/upload_bg_removed/7314777.webp,CRD_0772C5CF7513F14CB993C2F4FEE4944E,0.8099,"[{""cardId"": ""CRD_0772C5CF7513F14CB993C2F4FEE4944E"", ""name"": ""판쵸 피카츄 (레쿠쟈 2)"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-231"", ""score"": 0.8099}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_088EFCFA66FD4762A236,파이어로 BREAK,xyp_ja-238,PR,413432,pkmn-tcg-XY-P-XYPCP7-238,ファイアローBREAK P [XY-P 238](プロモーションカードパック「第7弾」),https://cdn.snkrdunk.com/upload_bg_removed/20241013012157-0.webp,CRD_088EFCFA66FD4762A236,0.6871,"[{""cardId"": ""CRD_088EFCFA66FD4762A236"", ""name"": ""파이어로 BREAK"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-238"", ""score"": 0.6871}, {""cardId"": ""CRD_4D37677B8AA341108958"", ""name"": ""제르네아스 EX"", ""rarity"": ""RR"", ""ref"": ""xy1x_ja-44"", ""score"": 0.6127}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0902F4E6CC9047A98559,피카츄,svp_ja-218,PR,332798,pkmn-tcg-SV-P-SM-218,ピカチュウ P [SV-P 218](プロモカードパック「ポケカの夏がキタ！プロモカードGetキャンペーン！」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SV-P-SM-218-of.webp,CRD_0902F4E6CC9047A98559,0.9013,"[{""cardId"": ""CRD_0902F4E6CC9047A98559"", ""name"": ""피카츄"", ""rarity"": ""PR"", ""ref"": ""svp_ja-218"", ""score"": 0.9013}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0916BCC640C24E4088BB,드닐레이브,sv2p_ja-77,AR,120827,pkmn-tcg-SV2P-077,セグレイブ AR[SV2P 077/071](拡張パック「スノーハザード」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-SV2P-5347.webp,CRD_0916BCC640C24E4088BB,0.7641,"[{""cardId"": ""CRD_0916BCC640C24E4088BB"", ""name"": ""드닐레이브"", ""rarity"": ""AR"", ""ref"": ""sv2p_ja-77"", ""score"": 0.7641}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_092D58F7609842FEA757,베라카스,sv2p_ja-79,AR,117187,pkmn-tcg-SV2P-079,ベラカス AR[SV2P 079/071](拡張パック「スノーハザード」),https://cdn.snkrdunk.com/upload_bg_removed/20230414031738-0.webp,CRD_092D58F7609842FEA757,0.798,"[{""cardId"": ""CRD_092D58F7609842FEA757"", ""name"": ""베라카스"", ""rarity"": ""AR"", ""ref"": ""sv2p_ja-79"", ""score"": 0.798}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_0A4BC771BE0743608661,에브이 GX,NO_JP,SM-P,91221,pkmn-tcg-SM-P-124,エーフィGX: プロモ[SM-P 124](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/7325640.webp,CRD_0A4BC771BE0743608661,0.8233,"[{""cardId"": ""CRD_0A4BC771BE0743608661"", ""name"": ""에브이 GX"", ""rarity"": ""SM-P"", ""ref"": ""smp-SM35"", ""score"": 0.8233}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0A903CAA6FAE43DA81D3,M프테라 EX,xyp_ja-183,PR,413369,pkmn-tcg-XY-P-MA-MM-LB-183,MプテラEX P [XY-P 183](ダブルメガBREAKセット「メガプテラEX+メガクチートEX+レントラーBREAK」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314729-yu.webp,CRD_0A903CAA6FAE43DA81D3,0.7729,"[{""cardId"": ""CRD_0A903CAA6FAE43DA81D3"", ""name"": ""M프테라 EX"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-183"", ""score"": 0.7729}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0AF83E61B4874FECB22C,꼬지모,sv2p_ja-80,AR,120829,pkmn-tcg-SV2P-080,ウソッキー AR[SV2P 080/071](拡張パック「スノーハザード」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-SV2P-5350.webp,CRD_0AF83E61B4874FECB22C,0.8854,"[{""cardId"": ""CRD_0AF83E61B4874FECB22C"", ""name"": ""꼬지모"", ""rarity"": ""AR"", ""ref"": ""sv2p_ja-80"", ""score"": 0.8854}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0B188D85E3A44B03D1BA,판초를 입은 이브이,smp_ja-138,PR,91234,pkmn-tcg-SM-P-138,ポンチョを着たイーブイ: プロモ[SM-P 138](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240614093124-0.webp,CRD_0B188D85E3A44B03D1BA,0.7623,"[{""cardId"": ""CRD_0B188D85E3A44B03D1BA"", ""name"": ""판초를 입은 이브이"", ""rarity"": ""PR"", ""ref"": ""smp_ja-138"", ""score"": 0.7623}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0B802D98F17B44E8B194,카푸느지느 GX,sm4p_ja-27,RR,335531,pkmn-tcg-SM2+-018,カプ・レヒレGX RR [SM2+ 018/049](強化拡張パック「新たなる試練の向こう」),https://cdn.snkrdunk.com/upload_bg_removed/20240730022248-2.webp,CRD_0B802D98F17B44E8B194,0.8856,"[{""cardId"": ""CRD_0B802D98F17B44E8B194"", ""name"": ""카푸느지느 GX"", ""rarity"": ""RR"", ""ref"": ""sm4p_ja-27"", ""score"": 0.8856}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_0BB77FE2EEEC4F359733,염뉴트 GX,NO_JP,SM-P,,,,,,,[],SNK 후보 없음(소스 필요),NEEDS_SNK_SOURCE
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0BDAE7D89E874FAF958A,레시라무 EX,bwp_ja-158,PR,91551,pkmn-tcg-588,レシラムEX P [BW-P 158/BW-P](プロモーションカード「プレミアムキラカード付きスペシャルパック レシラム」),https://cdn.snkrdunk.com/upload_bg_removed/7314439.webp,CRD_0BDAE7D89E874FAF958A,0.8557,"[{""cardId"": ""CRD_0BDAE7D89E874FAF958A"", ""name"": ""레시라무 EX"", ""rarity"": ""PR"", ""ref"": ""bwp_ja-158"", ""score"": 0.8557}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0C103A2D31494C7580E2,오리진 펄기아 VSTAR,swsh10p_ja-81,HR,96637,pkmn-tcg-1581,オリジンパルキアVSTAR HR[S10P 081/067](拡張パック「スペースジャグラー」),https://cdn.snkrdunk.com/upload_bg_removed/20220915071503-0.webp,CRD_0C103A2D31494C7580E2,0.8493,"[{""cardId"": ""CRD_0C103A2D31494C7580E2"", ""name"": ""오리진 펄기아 VSTAR"", ""rarity"": ""HR"", ""ref"": ""swsh10p_ja-81"", ""score"": 0.8493}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0C248A94127B49FB8F15,라이츄 GX,sm3p_ja-30,RR,390937,pkmn-tcg-SM3+-030,ライチュウGX RR [SM3+ 030/072](強化拡張パック「ひかる伝説」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7324068-yu.webp,CRD_0C248A94127B49FB8F15,0.9051,"[{""cardId"": ""CRD_0C248A94127B49FB8F15"", ""name"": ""라이츄 GX"", ""rarity"": ""RR"", ""ref"": ""sm3p_ja-30"", ""score"": 0.9051}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_0DF80E4557DE4819B172,나오하 ex,NO_JP,RR,742517,pkmn-tcg-MC-757,ニャオハex SR仕様 [MC 757/742](スタートデッキ100「バトルコレクション」),https://cdn.snkrdunk.com/upload_bg_removed/20251219014448-2.webp,CRD_0DF80E4557DE4819B172,0.8817,"[{""cardId"": ""CRD_0DF80E4557DE4819B172"", ""name"": ""나오하 ex"", ""rarity"": ""RR"", ""ref"": ""me2pt5-251"", ""score"": 0.8817}]",매핑됨(검증필요),VERIFY_MAPPING
