CRD_02A3EEACB0F74D7F97B6,PSA9,12442,12385,29
CRD_02A3EEACB0F74D7F97B6,RAW,1291,1429,29
CRD_02BB3BE76CE644A993D6,PSA10,38892,38715,29
CRD_02BB3BE76CE644A993D6,PSA9,18878,18792,29
CRD_02BB3BE76CE644A993D6,RAW,7099,7252,29
CRD_02C67022C498491C944C,PSA10,481210,406026,29
CRD_02C67022C498491C944C,PSA9,223604,219580,29
CRD_02C67022C498491C944C,RAW,111088,111088,29
CRD_02C8FFC4897D4C2288DF,PSA10,84127,75962,29
CRD_02C8FFC4897D4C2288DF,PSA9,37955,37866,29
CRD_02C8FFC4897D4C2288DF,RAW,6991,6561,29
CRD_02EF6DD76D804F69A99C,PSA10,38596,37100,29
CRD_02EF6DD76D804F69A99C,PSA9,15396,15321,29
CRD_02EF6DD76D804F69A99C,RAW,1936,1798,29
CRD_02F5CFB869144C589BF7,PSA10,50681,50213,26
CRD_02F5CFB869144C589BF7,RAW,33250,,0
CRD_02FBE86D930D4D10A90C,PSA10,59846,58855,29
CRD_02FBE86D930D4D10A90C,PSA9,13828,13761,29
CRD_02FBE86D930D4D10A90C,RAW,768,738,29
CRD_031003EE522945D8A175,RAW,4502,4502,29
CRD_0320E0D5056F4FBDB33A,PSA10,198836,220142,29
CRD_0320E0D5056F4FBDB33A,PSA9,88824,92320,29
CRD_0320E0D5056F4FBDB33A,RAW,117495,117249,29
CRD_0323B3DF18D24127932E,PSA10,74987,67342,28
CRD_0323B3DF18D24127932E,PSA9,25731,25489,28
CRD_0323B3DF18D24127932E,RAW,5547,5700,28
CRD_032F065F3B1D42379FF6,PSA10,68942,68515,29
CRD_032F065F3B1D42379FF6,PSA9,25936,25810,29
CRD_032F065F3B1D42379FF6,RAW,4379,4164,29
CRD_034271D298BA46158444,PSA10,56279,54064,28
CRD_034271D298BA46158444,PSA9,22752,22588,28
CRD_034271D298BA46158444,RAW,2627,2512,28
CRD_0349CF2E05594460B06B,PSA10,170549,169721,29
CRD_0349CF2E05594460B06B,PSA9,230457,229338,29
CRD_0349CF2E05594460B06B,RAW,15365,15365,29
CRD_03969BCA263B42ACB41A,PSA10,72687,71911,28
CRD_03969BCA263B42ACB41A,PSA9,34360,33993,28
CRD_03969BCA263B42ACB41A,RAW,12200,11908,28
CRD_03D070826E284B2A9384,PSA10,55051,54800,29
CRD_03D070826E284B2A9384,PSA9,35221,35257,29
CRD_03D070826E284B2A9384,RAW,7898,7375,29
CRD_0400517F2E89441EAC81,PSA10,411531,423978,29
CRD_0400517F2E89441EAC81,PSA9,226738,223901,29
CRD_0400517F2E89441EAC81,RAW,236695,231225,29
CRD_0421FACBD6704E71B2CE,PSA10,38412,38129,29
CRD_0421FACBD6704E71B2CE,PSA9,32266,32029,29
CRD_0421FACBD6704E71B2CE,RAW,14597,14597,29
CRD_0422D05B3FF54A3F9FB8,PSA10,270584,256355,29
CRD_0422D05B3FF54A3F9FB8,PSA9,61732,61451,29
CRD_0422D05B3FF54A3F9FB8,RAW,50550,49659,29
CRD_042BA07087FB420BABAE,PSA10,30576,30427,29
CRD_042BA07087FB420BABAE,RAW,538,461,29
CRD_042E784E8ED640CF929D,PSA10,94785,94325,29
CRD_042E784E8ED640CF929D,RAW,15349,15349,29
CRD_047131CE3AB3482C8F7F,PSA10,56435,56244,29
CRD_047131CE3AB3482C8F7F,PSA9,34156,34156,29
CRD_047131CE3AB3482C8F7F,RAW,6038,6084,29
CRD_04C479651A454FB3A8D3,PSA10,99453,92014,28
CRD_04C479651A454FB3A8D3,PSA9,40164,45392,28
CRD_04C479651A454FB3A8D3,RAW,907,707,28
CRD_04E476A38A5347C9B184,PSA10,59585,59295,29
CRD_04E476A38A5347C9B184,PSA9,28425,28287,29
CRD_04E476A38A5347C9B184,RAW,4256,3872,29
CRD_04E7F61A130E41B8AE30,PSA10,152557,141105,29
CRD_04E7F61A130E41B8AE30,RAW,9250,9373,29
CRD_04F21DB3B3794D47B1C9,PSA10,84632,82968,24
CRD_0506892D3B1B40D3BBF2,PSA10,76129,75495,28
CRD_0506892D3B1B40D3BBF2,PSA9,26241,25960,28
CRD_0506892D3B1B40D3BBF2,RAW,12891,12207,28
CRD_05103ACFA2DD4C54AC51,PSA10,70248,69498,28
CRD_05103ACFA2DD4C54AC51,PSA9,38234,37826,28
