apparel_id,detail_url,jp_title,en_name,product_number,image_url,set,number,rarity,used_listing_count
757460,https://snkrdunk.com/apparels/757460,"Mega Audino ex UR [ASC 253/217][EN](Mega Evolution ""Ascended Heroes"")","Mega Audino ex UR [ASC 253/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-253,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-253-of.webp,ASC-EN,253,UR,0
757461,https://snkrdunk.com/apparels/757461,"Anthea & Concordia UR [ASC 254/217][EN](Mega Evolution ""Ascended Heroes"")","Anthea & Concordia UR [ASC 254/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-254,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-254-of.webp,ASC-EN,254,UR,0
757462,https://snkrdunk.com/apparels/757462,"Black Belt's Training UR [ASC 255/217][EN](Mega Evolution ""Ascended Heroes"")","Black Belt's Training UR [ASC 255/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-255,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-255-of.webp,ASC-EN,255,UR,0
757463,https://snkrdunk.com/apparels/757463,"Boss's Orders Corbeau UR [ASC 256/217][EN](Mega Evolution ""Ascended Heroes"")","Boss's Orders Corbeau UR [ASC 256/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-256,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-256-of.webp,ASC-EN,256,UR,0
757464,https://snkrdunk.com/apparels/757464,"Canari UR [ASC 257/217][EN](Mega Evolution ""Ascended Heroes"")","Canari UR [ASC 257/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-257,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-257-of.webp,ASC-EN,257,UR,0
757465,https://snkrdunk.com/apparels/757465,"Cheren UR [ASC 258/217][EN](Mega Evolution ""Ascended Heroes"")","Cheren UR [ASC 258/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-258,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-258-of.webp,ASC-EN,258,UR,0
757466,https://snkrdunk.com/apparels/757466,"Counter Gain UR [ASC 259/217][EN](Mega Evolution ""Ascended Heroes"")","Counter Gain UR [ASC 259/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-259,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-259-of.webp,ASC-EN,259,UR,0
757467,https://snkrdunk.com/apparels/757467,"Glass Trumpet UR [ASC 260/217][EN](Mega Evolution ""Ascended Heroes"")","Glass Trumpet UR [ASC 260/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-260,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-260-of.webp,ASC-EN,260,UR,0
757468,https://snkrdunk.com/apparels/757468,"Jamming Tower UR [ASC 261/217][EN](Mega Evolution ""Ascended Heroes"")","Jamming Tower UR [ASC 261/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-261,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-261-of.webp,ASC-EN,261,UR,0
757469,https://snkrdunk.com/apparels/757469,"N's PP Up UR [ASC 262/217][EN](Mega Evolution ""Ascended Heroes"")","N's PP Up UR [ASC 262/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-262,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-262-of.webp,ASC-EN,262,UR,0
757470,https://snkrdunk.com/apparels/757470,"Team Rocket's Transceiver UR [ASC 263/217][EN](Mega Evolution ""Ascended Heroes"")","Team Rocket's Transceiver UR [ASC 263/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-263,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-263-of.webp,ASC-EN,263,UR,0
757471,https://snkrdunk.com/apparels/757471,"Ultra Ball UR [ASC 264/217][EN](Mega Evolution ""Ascended Heroes"")","Ultra Ball UR [ASC 264/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-264,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-264-of.webp,ASC-EN,264,UR,0
757472,https://snkrdunk.com/apparels/757472,"Mega Froslass ex MAR [ASC 265/217][EN](Mega Evolution ""Ascended Heroes"")","Mega Froslass ex MAR [ASC 265/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-265,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-265-of.webp,ASC-EN,265,,0
757473,https://snkrdunk.com/apparels/757473,"Mega Eelektross ex MAR [ASC 266/217][EN](Mega Evolution ""Ascended Heroes"")","Mega Eelektross ex MAR [ASC 266/217][EN](Mega Evolution ""Ascended Heroes"")",pkmn-tcg-ASC-EN-266,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-en-ASC-266-of.webp,ASC-EN,266,,0
