card_id,name,rarity,num,jp_ref,en_ref,selected_source,ko_current,selected_raw_krw,coef_current,en_raw,jp_raw,snk_raw,snk_n,jp_p10,jp_p9,snk_p10,snk_p9,scry_ladder,snk_ladder,pricing_mode,jp_coef,jp_coef_scope,ko_via_jp,ko_via_snk,mult_jp,mult_snk,selection_bug_raw,underpriced_by_jp,underpriced_by_snk,coef_missing,actionable,category
CRD_49B9C68497F94042A443,일리마,SR,065/060,sm1s_ja-65,sm1-146,EN,798,4748,0.168000,4726,71250,0,0,55313,42945,114000,0,RAW > PSA10 > PSA9,PSA10,COEF,0.388629,RARITY,27690,,34.7,,True,True,False,False,True,UNDERPRICED
CRD_EB9C07F79DA046F0824B,가디안 EX,SR,056/054,xy11c_ja-56,xy11-111,EN,4287,31897,0.134400,31750,380000,0,0,390266,0,0,0,PSA10 > RAW,,COEF,0.388629,RARITY,147679,,34.4,,True,True,False,False,True,UNDERPRICED
CRD_89A20BE9777E4815B50C,M이상해꽃 EX,SR,102/100,cp6_ja-89,xy12-100,EN,7521,55959,0.134400,55959,613824,0,0,656999,89208,921500,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,238550,,31.7,,True,True,False,False,True,UNDERPRICED
CRD_274ED0D22EC54F229DAE,포켓몬 브리더,SR,077/072,sm3p_ja-77,sm35-73,EN,2948,17547,0.168000,17465,115221,237500,1,319542,0,513000,0,PSA10 > RAW,PSA10 > RAW,COEF,0.388629,RARITY,44778,92299,15.2,31.3,True,True,True,False,True,UNDERPRICED
CRD_217550E39F654896867F,AZ,SR,093/088,xy4_ja-93,xy4-117,EN,5328,39641,0.134400,39458,427500,0,0,248910,0,0,0,RAW > PSA10,,COEF,0.388629,RARITY,166139,,31.2,,True,True,False,False,True,UNDERPRICED
CRD_48B3B385581F4DFEA769,아기씨,SR,100/094,sm6_ja-100,sma-SV86,EN,3908,23262,0.168000,23262,304000,0,0,435654,87748,0,0,PSA10 > RAW > PSA9,,COEF,0.388629,RARITY,118143,,30.2,,True,True,False,False,True,UNDERPRICED
CRD_DB71489497854EF98781,M가디안 EX,SR,057/054,xy11c_ja-57,xy11-112,EN,11149,82955,0.134400,82955,855000,0,0,860429,0,1477772,0,PSA10 > RAW,PSA10,COEF,0.388629,RARITY,332278,,29.8,,True,True,False,False,True,UNDERPRICED
CRD_9522A25A78764F77B225,M리자몽 EX,SR,104/100,cp6_ja-91,xy12-101,EN,31488,234282,0.134400,234282,2304720,0,0,6178125,2220782,6460000,2850000,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,895681,,28.4,,True,True,False,False,True,UNDERPRICED
CRD_FE47117BF3F441FEA5A6,리자몽 GX,SR,052/051,sm3h_ja-52,smp-SM60,EN,13436,79974,0.168000,79974,345708,949990,1,2389211,378312,3517176,855000,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,134352,369194,10.0,27.5,True,True,True,False,True,UNDERPRICED
CRD_AE113DCC3BAE4D84AB6A,뮤츠 GX,SR,075/072,sm3p_ja-75,sm35-72,EN,7287,43375,0.168000,43375,112670,513000,3,1450176,187558,1871500,532000,PSA10 > PSA9 > RAW,PSA10 > PSA9 > RAW,COEF,0.388629,RARITY,43787,199367,6.0,27.4,True,True,True,False,True,UNDERPRICED
CRD_A078581BD72D413189A8,피카츄 V,RR,001/024,NO_JP,swshp-SWSH285,EN,1628,8650,0.188200,8610,0,180490,10,0,0,469205,147155,,PSA10 > RAW > PSA9,COEF,0.228936,RARITY,,41321,,25.4,False,False,True,False,True,UNDERPRICED
CRD_014588FE8AC842E3A70E,포켓몬애호가클럽,SR,086/080,xy2_ja-87,xy2-106,EN,5115,38059,0.134400,37882,323000,0,0,583862,0,494000,0,PSA10 > RAW,PSA10,COEF,0.388629,RARITY,125527,,24.5,,True,True,False,False,True,UNDERPRICED
CRD_64AF5808BBFB437AAAD3,블래키&다크라이 GX,SR,182/173,sm12a_ja-182,smp-SM241,JP,33127,422532,0.078400,413052,422532,2090000,4,3361680,420289,2850000,1634000,PSA10 > RAW > PSA9,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,164208,812235,5.0,24.5,False,True,True,False,True,UNDERPRICED
