card_id,name,rarity,collection_number,jp_ref,en_ref,ko_price,selected_source,coef_key,coef_value,en_raw_krw,true_raw_estimate_krw,estimate_basis,under_x,severity,snk_raw_krw,snk_n,snk_psa10_krw,jp_raw_krw,jp_psa10_krw,jp_psa9_krw,ladder_broken,blind_spot_low62,en_fallback,snk_quality
CRD_66939CDD71824EF5877F,루자미네,SR,055/050,sm4a_ja-55,sm4-110,11203,EN,en_SM_SR,0.168000,66683,1520000,SCRYDEX_JP_RAW,135.7,CRITICAL,0,0,2131762,1520000,2007542,758593,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_9B730AEF79F94A5BB4C8,선배&후배,SR,078/070,xy5g_ja-77,xy5-160,6001,EN,en_XY_SR,0.134400,44650,712500,SCRYDEX_JP_RAW,118.7,CRITICAL,0,0,1025050,712500,538123,442055,RAW_OVER_PSA9;RAW_OVER_PSA10,Y,Y,NO_SNK
CRD_7677BD40116548CBA138,포켓몬 레인저,SR,058/054,xy11c_ja-58,xy11-113,1602,EN,en_XY_SR,0.134400,11923,190000,SCRYDEX_JP_RAW,118.6,CRITICAL,0,0,254600,190000,317480,0,,Y,Y,NO_SNK
CRD_A078581BD72D413189A8,피카츄 V,RR,001/024,NO_JP,swshp-SWSH285,1628,EN,en_RR,0.188200,8650,180490,SNK_RAW(n10),110.9,CRITICAL,180490,10,469205,0,0,0,,Y,,SNK_CONFIRMED
CRD_774A388CB1DC46F384AE,뮤츠 EX,SR,108/100,cp6_ja-95,xy12-103,8047,EN,en_XY_SR,0.134400,59877,855000,SCRYDEX_JP_RAW,106.3,CRITICAL,0,0,4233827,855000,4217526,804937,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_4E8F8D42F8524276A6BD,뮤츠 GX,RR,027/080,NO_JP,sm115-31,2718,EN,en_RR,0.188200,14443,285000,SNK_RAW(n4),104.9,CRITICAL,285000,4,627000,0,0,0,,Y,,SNK_THIN
CRD_BE12D91B22794119B3E1,글레이시아 EX,SR,079/078,xy10_ja-79,xy10-116,6912,EN,en_XY_SR,0.134400,51426,712500,SCRYDEX_JP_RAW,103.1,CRITICAL,0,0,0,712500,3822550,0,,Y,Y,NO_SNK
CRD_2E8CB13E9FEE40A28A14,웅의 근성,SR,112/100,cp6_ja-100,xy12-107,2168,EN,en_XY_SR,0.134400,16133,218500,SCRYDEX_JP_RAW,100.8,CRITICAL,0,0,361000,218500,290606,20355,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_DE454A6B91944E2B8AD3,로켓단의 공작,SR,087/078,xy10_ja-87,xy10-124,5247,EN,en_XY_SR,0.134400,39042,522500,SCRYDEX_JP_RAW,99.6,CRITICAL,0,0,1130500,522500,501960,229108,RAW_OVER_PSA9;RAW_OVER_PSA10,Y,Y,NO_SNK
CRD_1EDE2D3DF6644957B409,기라티나(프리즘스타),PR,030/066,sm5m_ja-30,sm5-58,1101,JP,jp_PR,0.085500,12876,105554,SNK_RAW(n1),95.9,CRITICAL,105554,1,340100,12876,442216,77282,,,,SNK_THIN
CRD_866593D4A5494DF285FE,이브이,AR,755/742,NO_JP,svp-173,7863,EN,en_AR,0.343900,22863,746643,SNK_RAW(n73),95.0,CRITICAL,746643,73,1467740,0,0,0,,Y,,SNK_CONFIRMED
CRD_67397D46BAC44F998127,피죤투 EX,SR,109/100,cp6_ja-96,xy12-104,2342,EN,en_XY_SR,0.134400,17424,218500,SNK_RAW(n1),93.3,CRITICAL,218500,1,520600,237500,363390,54999,RAW_OVER_PSA9,Y,Y,SNK_THIN
CRD_E1885E2AE59048FFA835,파비코리 EX,SR,086/078,xy10_ja-86,xy10-123,2744,EN,en_XY_SR,0.134400,20420,247000,SCRYDEX_JP_RAW,90.0,CRITICAL,0,0,0,247000,496932,196601,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_48B3B385581F4DFEA769,아기씨,SR,100/094,sm6_ja-100,sma-SV86,3908,EN,en_SM_SR,0.168000,23262,351500,SCRYDEX_JP_RAW,89.9,CRITICAL,0,0,0,351500,433538,83691,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_89A20BE9777E4815B50C,M이상해꽃 EX,SR,102/100,cp6_ja-89,xy12-100,7521,EN,en_XY_SR,0.134400,55959,613824,SCRYDEX_JP_RAW,81.6,CRITICAL,0,0,921500,613824,654656,88551,RAW_OVER_PSA9,,Y,NO_SNK
CRD_274ED0D22EC54F229DAE,포켓몬 브리더,SR,077/072,sm3p_ja-77,sm35-73,2948,EN,en_SM_SR,0.168000,17547,237500,SNK_RAW(n1),80.6,CRITICAL,237500,1,513000,115221,317990,0,,,Y,SNK_THIN
CRD_217550E39F654896867F,AZ,SR,093/088,xy4_ja-93,xy4-117,5328,EN,en_XY_SR,0.134400,39641,427500,SCRYDEX_JP_RAW,80.2,CRITICAL,0,0,0,427500,247701,0,RAW_OVER_PSA10,Y,Y,NO_SNK
