card_id,name,rarity,officialCode,scrydexRef,vector_count
CRD_B70475A6AE864D519401,파이리,S,BS2024001210,sv4a_ja-210,10
CRD_37D87C02C8CB4E7BA771,비리디온 GX,RR,BS2018012006,sm7a_ja-6,15
CRD_291A7074290C4BB48DC9,루카리오 ex,RR,BS2024006077,sv7-82,5
CRD_DA9C642BEB844AC684CE,삼삼드래 ex,RR,BS2025008062,sv11w_ja-62,15
CRD_D9C384BA2BA5467BBEDE,하이퍼볼,SR,BS2025015217,m2a_ja-216,15
CRD_D25427DD50FB40E8BB4E,마그마번,H,BS2010002011,dp3-31,15
CRD_91BD4B6AA1134172834C,릴리에의 삐삐 ex,RR,BS2025015060,m2a_ja-60,15
CRD_DC15438B227B4662ABE4,쉐이미 EX,RR,BS2015004063,xy6_ja-63,20
CRD_82DFF8A996C7452988B7,찬란한 리자몽,K,BS2024013001,,5
CRD_5CDC415693184E96AACE,악식킹 GX,RR,BS2017013065,sm4p_ja-65,15
CRD_DEC2C78B5DB543BFBB57,모단단게 V,RR,BS2021018026,swsh8_ja-26,15
CRD_AD5E4C3BDF9A42C0AA5B,전룡,H,BS2010006024,dp3_ja-209,20
CRD_B620557D7AF54A798F50,음번 V,RR,BS2021011046,swsh7d_ja-46,15
CRD_12A3B319991E49DDA100,개조해머,UR,BS2024008132,sv6_ja-132,15
CRD_8610EF7639C648C28130,하이퍼볼,UR,BS2022002126,swsh9_ja-126,15
CRD_8EAA7B44C7824D55BBAE,어치르돈 V,RR,BS2021005017,swsh6k_ja-17,15
CRD_A4529E72086844FB8FBF,철화구야 GX,RR,BS2017013071,sm4p_ja-71,15
CRD_045F0D6428AC4D5AA584,M나무킹 EX,RR,BS2015005008,xy7_ja-8,20
CRD_6159AD6BE3D64ABCA3A1,릴리에,SR,BS2018011119,sm4p_ja-119,15
CRD_0ECD6C0FE58E4A16B3F9,파이팅공,SR,BS2025009083,m1l_ja-82,15
CRD_757F62C90F0A4F4AA641,파라블레이즈 ex,RR,BS2024015006,m2a_ja-31,15
CRD_D1568FD5074145118D55,후파 EX,RR,BS2015005036,xy7_ja-36,20
CRD_182D09232DDB4F1BB505,사다이사 VMAX,RR,BS2022003242,swsh6h_ja-44,15
CRD_2D3002A5B2F54337AD50,오리진 펄기아 V,RR,BS2024010001,swsh10p_ja-22,5
CRD_D863CCD72A9D40FCB10C,님피아 GX,RR,BS2017003040,sm1p_ja-40,15
CRD_44560444D3824BC5BF67,토대부기 ex,RR,BS2024004005,sv5k_ja-5,15
CRD_EBAB81136FDF4638AA05,오거폰 화덕의 가면 ex,RR,BS2024019026,sv8a_ja-26,15
CRD_49B7E2D6466F48A88888,루카리오 GX,RR,BS2018003030,sm5p_ja-30,15
CRD_ED7FC873824141D1A60B,프라임 캐처,ACE,BS2024019151,sv8a_ja-148,15
CRD_E38B3303D96444C0BC9A,에너지 전송 PRO,ACE,BS2024016056,sv7a_ja-52,15
CRD_F5970D7EEDB04B88BC84,화원의 스타디움,UR,,swsh6a_ja-100,10
CRD_2B83BC59F67D4D04ABD7,N의 포인트업,SR,BS2025015214,m2a_ja-214,15
CRD_D63D7726EE264FDE868F,미라클인터컴,ACE,BS2024017095,sv8_ja-97,15
CRD_078EAED55D864BFDAD8E,M뮤츠 EX,RR,BS2016004051,xy8b_ja-26,15
CRD_9AE5A1FC390341C7B8B0,다크라이 GX,RR,BS2017007040,sm2p_ja-40,15
CRD_442FC7811D6A495784D9,리피아 V,RR,BS2021007002,swsh6a_ja-2,15
CRD_35337456A4194B069444,부스터 VMAX,RR,BS2021010001,swsh7-18,10
CRD_EA6FC3EB8FC643E8BA13,이상한사탕,UR,BS2023007107,sv1v_ja-107,15
CRD_04D99176AC394E17A7AC,팬텀,P,PR2010001012,,5
CRD_263A31C3A4EE4B1BA016,부스트 쉐이크,UR,,swsh6a_ja-99,10
CRD_EF1CC5F52E9348CE945A,해피너스 V,RR,BS2022001127,swsh8b_ja-127,15
CRD_2B02B005CB184B61B23F,크로뱃 V,,BS2021009007,swshp-SWSH110,10
CRD_005486D6770C493AACF0,M가디안 EX,RR,BS2016007039,xy11c_ja-39,20
CRD_AAFCE321115E4410A267,렌트라,H,BS2010004018,dpp_ja-86,20
CRD_8B54D921E11B4546A8D4,먹고자,P,PR2010001007,,5
CRD_3C2A1D62C0444559B256,메가루차불 ex,MA,BS2025015229,m2a_ja-229,15
CRD_02DE6973A48C424E829C,테오키스 노말폼,H,BS2010005023,dp5t_ja-444,20
CRD_3C300B23607E484387D8,M레쿠쟈 EX,RR,BS2015004062,xy6_ja-62,20
CRD_C6BCC807CA5C496CAFC2,제르네아스 EX,RR,BS2014001044,xy1x_ja-44,20
CRD_F49BDB8D98FA44AE99AD,찬란한 리자몽,,BS2023001015,swsh12a_ja-15,10
CRD_3D4FFB645A094246ACDB,대단한낚싯대,UR,BS2023011098,sv2p_ja-98,15
CRD_29E688E9F3CB42C89C4E,비치코트,UR,BS2023020091,sv3a_ja-91,15
CRD_A9F185FB2D1948FE945A,M뮤츠 EX,RR,BS2015007028,xy8r_ja-28,20
CRD_A9E0B9872410433C8501,연격 우라오스 V,RR,BS2021002050,swsh5r_ja-50,15
CRD_D28B0FBAE6E94FAE9B1E,피카츄,P,PR2010001003,,5
CRD_834ACE13ABB54161A03B,파워프로틴,SR,BS2025009082,m1l_ja-81,15
CRD_555F402616DD4466A53C,라이프 포레스트(프리즘스타),PR,BS2018009050,sm7b_ja-50,10
CRD_D44CBFCAFD484A1A9BBC,단지래플 V,RR,BS2021013005,swsh8-26,10
CRD_10E91ACD1EF64DD39982,마기아나,PR,PR2015001999,xyp_ja-268,10
CRD_27E586B5F5EB4F748D68,칠색조,P,PR2010001002,,5
CRD_453FD90FCFC943ECBE27,블래키 VMAX,RR,BS2022003256,swsh8b_ja-101,15
CRD_6DC0B33B6FB748588920,지가르데 EX,RR,BS201707177,xy_ja-177,15
CRD_B0979244ABC14CFC81BF,대지의 그릇,UR,BS2024011093,sv6a_ja-93,15
CRD_5B2F9E406EA042858360,스이쿤,H,BS2010008013,dp3_ja-295,20
CRD_0C8BBE2854A84ADDA4DC,그래비티 마운틴,UR,BS2024017138,sv8_ja-138,15
CRD_825387AEB953494AB81B,페퍼의 마피티프 ex,RR,BS2025005052,sv9a_ja-52,15
CRD_21ECC569A2E3467CA36C,M뮤츠 EX,SR,BS2015006063,xy8b_ja-63,20
CRD_C42C4714DB15489799C2,백마 버드렉스 V,RR,BS2021004027,swsh6h_ja-27,15
CRD_CCD4D99170364DA08302,M캥카 EX,RR,BS2014002065,xy2_ja-65,20
CRD_BFF09CD9BE3647D995DF,뮤츠 EX,SR,BS2015006062,xy8b_ja-62,20
CRD_B943DDB4CF964E51AC2C,프라임 캐처,ACE,BS2025011015,sv8a_ja-148,15
CRD_EE55E1B7C5F4493BA18C,카푸꼬꼬꼭 GX,RR,BS2017013032,sm4p_ja-32,15
CRD_FADB782113A840B29B84,무한다이노 VMAX,RR,BS2021019011,swsh8b_ja-110,15
CRD_70238ADCC39A42FC9814,오팔,HR,,swsh3a_ja-91,10
CRD_3F2C7F4837B74B24B6C3,루카리오 EX,RR,BS2014003052,xy3_ja-52,20
CRD_0822CD02EBF4BC46E659,피카츄,PR,,smp_ja-3,5
CRD_4D759BDF090940E79C0A,찬란한 개굴닌자,K,BS2024013004,,5
CRD_4D1B9154138047289CC6,골루그 V,RR,BS2021011015,swsh7d_ja-15,15
CRD_77C6232A41FC41498955,피죤투 ex,RR,BS2024003014,ma_ja-7,15
CRD_6E65CB8A7A49437FB020,찬란한 무한다이노,,BS2023001115,swsh12a_ja-115,10
CRD_0BBF8B65F9C34656A1EF,개굴닌자 V,RR,BS2022003107,swsh8-73,10
CRD_40E4132CAF9C4482A0E7,언페어 스탬프,ACE,BS2025013017,sv5a_ja-53,15
CRD_EC9CA7B347EB464096EE,풍선,UR,,swsh1w_ja-75,10
CRD_7A67799546644DDCB6B1,볼케니온 EX,RR,BS2016006012,xy11f_ja-12,20
CRD_D07CCDD802E949BEB4EE,정상으로 가는 눈길,UR,BS2022007088,swsh10d_ja-88,15
CRD_7D3BE5F9D9094BD6AFB6,전툴라 ex,RR,BS2026001255,sv7_ja-33,15
CRD_6F8DB5E047184CCD803E,스크램블 스위치,ACE,BS2024017096,sv8_ja-95,15
CRD_264A20524B744EA88DA1,애프룡 V,RR,BS2021001007,swsh5i_ja-7,15
CRD_BA502F9E6A55434A9CC2,리피아 VMAX,RR,BS2022003018,swsh6a_ja-3,15
CRD_13CF7E35CE414B85A605,마기라스,H,BS2010003033,dp2_ja-298,15
CRD_8BA748C4806747F79E7C,볼케니온 ex,RR,BS2025001017,sv9_ja-17,15
CRD_7F6C55A1C2E845C68DE7,다크라이 GX,RR,BS2018011064,sm2p_ja-40,15
CRD_E57697CB4A964C00B4CC,미르시티,SR,BS2026002109,m3_ja-110,10
