psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
8dcd604bec3d43f4bc03d6ff226de26e,CRD_F95322AF0A1243D99F83,메가리자몽X ex,SAR,MEGA 확장팩 「인페르노X」,110/080,RAW,240000,389241,0.62,2026-05-18,0.23,,CLEAN,,3,[5/18 마감] 한판 인페르노 메가리자몽 X ex sar 싱글 경매,https://cafe.naver.com/cardmvk/567890,
66f568af88404c07821a1c0082000aac,CRD_DF3A72B78E8141B1A0D2BED89B3B20EE,메가개굴닌자 EX,MUR,MEGA 확장팩 「닌자스피너」,120/083,RAW,240000,358595,0.67,2026-05-04,0.32,,CLEAN,,3,[5월4일 마감]한판 개굴닌자 mur 싱글,https://cafe.naver.com/cardmvk/528598,
c225a4fcaca04d0b93f6e5e3125fae21,CRD_F95322AF0A1243D99F83,메가리자몽X ex,SAR,MEGA 확장팩 「인페르노X」,110/080,RAW,230000,389241,0.59,2026-05-16,0.22,,CLEAN,,3,(5/16 마감) 메가리자몽x sar 싱글,https://cafe.naver.com/cardmvk/561810,
4ab591d45d394d179699b3cec1a50f79,CRD_F95322AF0A1243D99F83,메가리자몽X ex,SAR,MEGA 확장팩 「인페르노X」,110/080,RAW,221000,389241,0.57,2026-06-11,0.21,,CLEAN,,3,(6/11 마감) SV 인페르노X 메가리자몽x SAR 싱글카드,https://cafe.naver.com/cardmvk/628000,
ce91b7bb7c3b4f78b101e8dda3eca0e5,CRD_F95322AF0A1243D99F83,메가리자몽X ex,SAR,MEGA 확장팩 「인페르노X」,110/080,RAW,220000,389241,0.57,2026-05-26,0.21,,CLEAN,,3,(5월26일 마감) 메가리자몽 sar 싱글카드 경매,https://cafe.naver.com/cardmvk/588806,
4e4aec501de94fd4b8391a268034bfc5,CRD_DF3A72B78E8141B1A0D2BED89B3B20EE,메가개굴닌자 EX,MUR,MEGA 확장팩 「닌자스피너」,120/083,RAW,205000,358595,0.57,2026-05-22,0.28,,CLEAN,,3,(5월22일 마감) 개굴닌자 mur 싱글카드 경매,https://cafe.naver.com/cardmvk/577525,
435e121c485d460ea95a1b639de1105b,CRD_F95322AF0A1243D99F83,메가리자몽X ex,SAR,MEGA 확장팩 「인페르노X」,110/080,RAW,202000,389241,0.52,2026-05-13,0.19,,CLEAN,,3,(5월13일 마감) 인페르노 메가리자몽 sar 싱글카드 경매,https://cafe.naver.com/cardmvk/553933,
3c9068e9c05e4c9dbf0fa4f356f71517,CRD_269A7AD114DA491CA9AC,레시라무 ex,BWR,스칼렛&바이올렛 확장팩 「화이트플레어」,174/086,RAW,158000,140612,1.12,2026-06-05,0.39,,CLEAN,,3,(6/6 마감) 레시라무 bwr 싱글 경매,https://cafe.naver.com/cardmvk/613609,
a2064ac253de4397927834d6480737d2,CRD_487F923F9A884FFDBD8A,메가개굴닌자 ex,SAR,MEGA 확장팩 「닌자스피너」,114/083,RAW,155000,177656,0.87,2026-05-08,0.32,,CLEAN,,3,(5/8마감) 메가개굴닌자 sar,https://cafe.naver.com/cardmvk/540245,
4f5e9ead35174f188c3bd2d9e43ab4d4,CRD_43BC0926ACC14BDDAA6B,개굴닌자 ex,SAR,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,090/066,RAW,150000,106710,1.41,2026-05-08,0.48,,CLEAN,,3,(5/8 마감)닌자스피너 개굴닌자 sar,https://cafe.naver.com/cardmvk/540322,
c0b077950b7b461a99f2cb4ccf1d84db,CRD_269A7AD114DA491CA9AC,레시라무 ex,BWR,스칼렛&바이올렛 확장팩 「화이트플레어」,174/086,RAW,148000,140612,1.05,2026-04-28,0.37,,CLEAN,,3,(4/28 마감) 등급용 레시라무 bwr 싱글카드,https://cafe.naver.com/cardmvk/513685,
0d2488f484174705a0d9e514de981f25,CRD_32C64F60484E4801A991,메가루카리오 ex,MUR,MEGA 확장팩 「메가브레이브」,092/063,RAW,146000,197098,0.74,2026-05-27,0.36,,CLEAN,,3,(5/27 마감) 한판 메가루카리오 MUR 싱글카드 m1L 092/063,https://cafe.naver.com/cardmvk/591455,
9c160f368c524061a20ae15612139801,CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,스칼렛&바이올렛 확장팩 「블랙볼트」,174/086,RAW,141000,131156,1.08,2026-06-01,0.35,,CLEAN,,3,6/1 마감) 제크로무 BWR 싱글,https://cafe.naver.com/cardmvk/602307,
f5cc3853d4a84f7cb1b10d6f97cd3cf6,CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,스칼렛&바이올렛 확장팩 「블랙볼트」,174/086,RAW,135000,131156,1.03,2026-06-13,0.34,,CLEAN,,3,(6/13마감) 제크로무 bwr 한글판,https://cafe.naver.com/cardmvk/631461,
1182ab2f55f8483caae609172daec855,CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,스칼렛&바이올렛 확장팩 「블랙볼트」,174/086,RAW,135000,131156,1.03,2026-06-13,0.34,,CLEAN,,3,[6/13 토 마감] 블랙볼트 제크로무 BWR 싱글,https://cafe.naver.com/cardmvk/631311,
518d5c3908ad41ad9e87e73ef415a8df,CRD_43BC0926ACC14BDDAA6B,개굴닌자 ex,SAR,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,090/066,RAW,132000,106710,1.24,2026-05-14,0.42,,CLEAN,,3,(5/14 마감) 닌자스피너 개굴닌자 sar,https://cafe.naver.com/cardmvk/556911,
1ef73477cb5749e69455929559c0473e,CRD_487F923F9A884FFDBD8A,메가개굴닌자 ex,SAR,MEGA 확장팩 「닌자스피너」,114/083,RAW,126000,177656,0.71,2026-05-14,0.26,,CLEAN,,3,[5월14일 마감]메가 개굴닌자 sar,https://cafe.naver.com/cardmvk/556307,
442a6d29c70f4cc5be876c7600f16d15,CRD_7633E4DC01B743F4A4BC,메가팬텀 ex,SAR,MEGA 하이클래스팩 「MEGA 드림 ex」,240/193,RAW,125000,198263,0.63,2026-04-27,0.18,,CLEAN,,3,[4/28 화요일 마감] 메가드림 메가 팬텀 ex sar,https://cafe.naver.com/cardmvk/511827,
d2a61b29ae1d480cb903b9fa9fd980f8,CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,스칼렛&바이올렛 확장팩 「블랙볼트」,174/086,RAW,125000,131156,0.95,2026-05-15,0.31,,CLEAN,,3,(5/15마감) 제크로무 ex BWR 싱글카드,https://cafe.naver.com/cardmvk/558998,
cf962d9a7e894342a62ac909df6dae4b,CRD_269A7AD114DA491CA9AC,레시라무 ex,BWR,스칼렛&바이올렛 확장팩 「화이트플레어」,174/086,RAW,123000,140612,0.87,2026-04-27,0.3,,CLEAN,,3,(4/27 마감) 레시라무 bwr 싱글,https://cafe.naver.com/cardmvk/511115,
c0dc4053c0cd4c11aa0498731cc36668,CRD_43BC0926ACC14BDDAA6B,개굴닌자 ex,SAR,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,090/066,RAW,123000,106710,1.15,2026-05-12,0.39,,CLEAN,,3,(5/12 마감) 닌자스피너 개굴닌자 sar,https://cafe.naver.com/cardmvk/551647,
42b91b172aa445f89ea4aee7649fc1ba,CRD_487F923F9A884FFDBD8A,메가개굴닌자 ex,SAR,MEGA 확장팩 「닌자스피너」,114/083,RAW,122000,177656,0.69,2026-05-19,0.25,,CLEAN,,3,(5월/19일 마감) 한판 메가개굴닌자 SAR 싱글카드 ,https://cafe.naver.com/cardmvk/568815,
7d28a0cecc214905b132630bf5c663a9,CRD_3430850B62B446C68A45A9CFE3741141,메가지가르데 EX,MUR,MEGA 확장팩 「니힐제로」,117/080,RAW,120000,133659,0.9,2026-06-10,0.43,,CLEAN,,3,(6/10마감) 메가지가르데 MUR  ccg10 블랙라벨,https://cafe.naver.com/cardmvk/625285,
54139234b38c496e8eae367823f33eff,CRD_43BC0926ACC14BDDAA6B,개굴닌자 ex,SAR,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,090/066,RAW,119000,106710,1.12,2026-05-13,0.38,,CLEAN,,3,(5/13 마감) 닌자스피너 개굴닌자 Sar,https://cafe.naver.com/cardmvk/554380,
141b432af2a3411b9b92272cd69036b1,CRD_269A7AD114DA491CA9AC,레시라무 ex,BWR,스칼렛&바이올렛 확장팩 「화이트플레어」,174/086,RAW,115000,140612,0.82,2026-06-07,0.28,,CLEAN,,3,(6/7 당일마감) 한판 레시라무 BWR ,https://cafe.naver.com/cardmvk/618283,
f6f53ba6b6dc482d8b77114f8965a152,CRD_269A7AD114DA491CA9AC,레시라무 ex,BWR,스칼렛&바이올렛 확장팩 「화이트플레어」,174/086,RAW,110000,140612,0.78,2026-05-31,0.27,,CLEAN,,3,(5/31 마감) 레시라무 BWR 프리스틴10,https://cafe.naver.com/cardmvk/601809,
dd0d19447a6f4d0587fdcca64b4ed801,CRD_269A7AD114DA491CA9AC,레시라무 ex,BWR,스칼렛&바이올렛 확장팩 「화이트플레어」,174/086,RAW,107000,140612,0.76,2026-05-15,0.26,,CLEAN,,3,(5/15마감) 레시라무 ex BWR 싱글카드,https://cafe.naver.com/cardmvk/559012,
98b94683cef54fdd9e2feb68867baf03,CRD_487F923F9A884FFDBD8A,메가개굴닌자 ex,SAR,MEGA 확장팩 「닌자스피너」,114/083,RAW,96000,177656,0.54,2026-05-31,0.2,,CLEAN,,3,(05/31 마감) 메가 개굴닌자 sar 싱글카드 판매(사진확인 필수),https://cafe.naver.com/cardmvk/600533,
