psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
bc15b4d23a174a06a9e34768a4b9b3b1,CRD_B11B7BA4E82A41EA95F8,대검귀,AR,스칼렛&바이올렛 확장팩 「화이트플레어」,104/086,GRADED,16000,25759,0.62,2026-05-07,0.68,,DIRTY,graded,0,,,SOURCE_EVIDENCE_MISSING
4b865d31ded148b6a47cf43cf9c3d7e1,CRD_F2B5F8F16749426C855A,자마젠타 V,SAR,소드&실드 하이클래스팩 「VSTAR 유니버스」,232/172,RAW,16000,7171,2.23,2026-04-18,0.83,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
08a8efe7d6874573859c52619a3407a5,CRD_3C91F57ABFE0494F9FEE,메가이상해꽃 ex,SAR,MEGA 확장팩 「메가브레이브」,087/063,RAW,16000,64353,0.25,2026-05-02,0.14,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
fe144414a6324f948c705eefaff4be08,CRD_6AC614249DBA4DD285DE,테르나,CHR,소드&실드 강화 확장팩 「백열의 아르카나」,069/068,GRADED,16000,7344,2.18,2026-04-25,2.18,,DIRTY,graded|koGtJp,2,,,NEEDS_MANUAL_SOURCE
8fac8206f95247ef88713809da22de24,CRD_888168EF50BE4F89B720,비케,SR,썬&문 확장팩 제3탄 「빛을 삼킨 어둠」,057/051,RAW,16000,5913,2.71,2026-05-06,0.05,DISPLAY_OUTLIER,REVIEW,,5,,,NEEDS_MANUAL_SOURCE
49b0895ef07c452b914db23965f583ab,CRD_275591C4CE6A45D2A1B4,메가이어롭 ex,SAR,MEGA 확장팩 「인페르노X」,114/080,GRADED,15000,6369,2.36,2026-05-09,0.87,,DIRTY,graded,2,,,NEEDS_MANUAL_SOURCE
694898618d714efab84fd93f49202e3f,CRD_6BAEC561FD824CA68028,메가리자몽X ex,MA,MEGA 하이클래스팩 「MEGA 드림 ex」,223/193,RAW,15000,15609,0.96,2026-04-21,0.22,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
36cf4adf50d3460e8ca90db2a8cb292b,CRD_53468E96BA24425694EB,초련의 암시,SR,썬&문 확장팩 「태그볼트」,,RAW,15000,10772,1.39,2026-05-06,0.11,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
55f87bd1be8149a09a0db43f07bb75fc,CRD_2A791989EEEC43F481BB,메가지가르데 ex,SAR,MEGA 확장팩 「니힐제로」,113/080,RAW,15000,15429,0.97,2026-05-10,0.31,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
dbded8192f9746f48d3eaad487ab7e8c,CRD_8B92FB178FE6408F833B,릴리에의 결심,SR,MEGA 확장팩 「메가브레이브」,085/063,RAW,15000,14930,1.0,2026-04-19,0.32,,REVIEW,,0,,,SOURCE_EVIDENCE_MISSING
